,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-01-23,16.15,18.45,13.89,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-24,17.71,20.24,13.89,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-01-25,23.96,27.38,25.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0
3,2020-01-26,30.21,34.52,36.11,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0
4,2020-01-27,33.33,38.1,41.67,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-01-28,35.42,40.48,45.37,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-01-29,37.5,42.86,49.07,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0
7,2020-01-30,37.5,42.86,49.07,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-01-31,37.5,42.86,49.07,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0
9,2020-02-01,37.5,42.86,49.07,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0
10,2020-02-02,37.5,42.86,49.07,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0
11,2020-02-03,39.58,45.24,49.07,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-02-04,39.58,45.24,49.07,0.0,17.0,2.0,1.0,1.0,0.0,0.0,0.0
13,2020-02-05,41.67,47.62,52.78,0.0,21.0,4.0,1.0,0.0,0.0,0.0,0.0
14,2020-02-06,41.67,47.62,52.78,0.0,24.0,3.0,1.0,0.0,0.0,0.0,0.0
15,2020-02-07,41.67,47.62,52.78,0.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0
16,2020-02-08,41.67,47.62,52.78,0.0,26.0,1.0,1.0,0.0,0.0,0.0,0.0
17,2020-02-09,41.67,47.62,52.78,0.0,29.0,3.0,1.0,0.0,0.0,0.0,0.0
18,2020-02-10,41.67,47.62,52.78,0.0,38.0,9.0,1.0,0.0,0.0,0.0,0.0
19,2020-02-11,41.67,47.62,52.78,0.0,49.0,11.0,1.0,0.0,0.0,0.0,0.0
20,2020-02-12,41.67,47.62,52.78,0.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0
21,2020-02-13,41.67,47.62,52.78,0.0,53.0,3.0,1.0,0.0,0.0,0.0,0.0
22,2020-02-14,41.67,47.62,52.78,0.0,56.0,3.0,1.0,0.0,0.0,0.0,0.0
23,2020-02-15,41.67,47.62,52.78,0.0,56.0,0.0,1.0,0.0,0.0,0.0,0.0
24,2020-02-16,41.67,47.62,52.78,0.0,57.0,1.0,1.0,0.0,0.0,0.0,0.0
25,2020-02-17,41.67,47.62,52.78,0.0,60.0,3.0,1.0,0.0,0.0,0.0,0.0
26,2020-02-18,41.67,47.62,52.78,0.0,62.0,2.0,1.0,0.0,0.0,0.0,0.0
27,2020-02-19,43.75,50.0,52.78,0.0,63.0,1.0,2.0,1.0,0.0,0.0,0.0
28,2020-02-20,43.75,50.0,52.78,0.0,68.0,5.0,2.0,0.0,0.0,0.0,0.0
29,2020-02-21,43.75,50.0,52.78,0.0,68.0,0.0,2.0,0.0,0.0,0.0,0.0
30,2020-02-22,43.75,50.0,52.78,0.0,69.0,1.0,2.0,0.0,0.0,0.0,0.0
31,2020-02-23,43.75,50.0,52.78,0.0,74.0,5.0,2.0,0.0,0.0,0.0,0.0
32,2020-02-24,43.75,50.0,52.78,0.0,79.0,5.0,2.0,0.0,0.0,0.0,0.0
33,2020-02-25,43.75,50.0,52.78,0.0,84.0,5.0,2.0,0.0,0.0,0.0,0.0
34,2020-02-26,56.25,50.0,52.78,100.0,91.0,7.0,2.0,0.0,0.0,0.0,0.0
35,2020-02-27,56.25,50.0,52.78,100.0,92.0,1.0,2.0,0.0,0.0,0.0,0.0
36,2020-02-28,56.25,50.0,52.78,100.0,94.0,2.0,2.0,0.0,0.0,0.0,0.0
37,2020-02-29,56.25,50.0,52.78,100.0,95.0,1.0,2.0,0.0,0.0,0.0,0.0
38,2020-03-01,56.25,50.0,52.78,100.0,96.0,1.0,2.0,0.0,0.0,0.0,0.0
39,2020-03-02,54.17,47.62,49.07,100.0,100.0,4.0,2.0,0.0,0.0,0.0,0.0
40,2020-03-03,54.17,47.62,49.07,100.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0
41,2020-03-04,54.17,47.62,49.07,100.0,105.0,5.0,2.0,0.0,0.0,0.0,0.0
42,2020-03-05,54.17,47.62,49.07,100.0,105.0,0.0,2.0,0.0,0.0,0.0,0.0
43,2020-03-06,54.17,47.62,49.07,100.0,107.0,2.0,2.0,0.0,0.0,0.0,0.0
44,2020-03-07,54.17,47.62,49.07,100.0,108.0,1.0,2.0,0.0,0.0,0.0,0.0
45,2020-03-08,54.17,47.62,49.07,100.0,114.0,6.0,3.0,1.0,0.0,0.0,0.0
46,2020-03-09,54.17,47.62,49.07,100.0,115.0,1.0,3.0,0.0,0.0,0.0,0.0
47,2020-03-10,54.17,47.62,49.07,100.0,120.0,5.0,3.0,0.0,0.0,0.0,0.0
48,2020-03-11,54.17,47.62,49.07,100.0,126.0,6.0,3.0,0.0,0.0,0.0,0.0
49,2020-03-12,54.17,47.62,49.07,100.0,129.0,3.0,3.0,0.0,0.0,0.0,0.0
50,2020-03-13,54.17,47.62,49.07,100.0,134.0,5.0,4.0,1.0,0.0,0.0,0.0
51,2020-03-14,54.17,47.62,49.07,100.0,140.0,6.0,4.0,0.0,0.0,0.0,0.0
52,2020-03-15,54.17,47.62,49.07,100.0,145.0,5.0,4.0,0.0,0.0,0.0,0.0
53,2020-03-16,54.17,47.62,49.07,100.0,155.0,10.0,4.0,0.0,0.0,0.0,0.0
54,2020-03-17,54.17,47.62,49.07,100.0,162.0,7.0,4.0,0.0,0.0,0.0,0.0
55,2020-03-18,54.17,47.62,49.07,100.0,181.0,19.0,4.0,0.0,0.0,0.0,0.0
56,2020-03-19,54.17,47.62,49.07,100.0,208.0,27.0,4.0,0.0,0.0,0.0,0.0
57,2020-03-20,54.17,47.62,49.07,100.0,256.0,48.0,4.0,0.0,0.0,0.0,0.0
58,2020-03-21,54.17,47.62,49.07,100.0,273.0,17.0,4.0,0.0,0.0,0.0,0.0
59,2020-03-22,54.17,47.62,49.07,100.0,317.0,44.0,4.0,0.0,0.0,0.0,0.0
60,2020-03-23,56.25,50.0,52.78,100.0,351.0,34.0,4.0,0.0,0.0,0.0,0.0
61,2020-03-24,56.25,50.0,52.78,100.0,382.0,31.0,4.0,0.0,0.0,0.0,0.0
62,2020-03-25,56.25,50.0,52.78,100.0,407.0,25.0,4.0,0.0,0.0,0.0,0.0
63,2020-03-26,56.25,50.0,52.78,100.0,452.0,45.0,4.0,0.0,0.0,0.0,0.0
64,2020-03-27,56.25,50.0,52.78,100.0,494.0,42.0,4.0,0.0,0.0,0.0,0.0
65,2020-03-28,56.25,50.0,52.78,100.0,526.0,32.0,4.0,0.0,0.0,0.0,0.0
