,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-28,9.38,10.71,16.67,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-02-29,9.38,10.71,16.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-01,9.38,10.71,16.67,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-02,9.38,10.71,16.67,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-03,9.38,10.71,16.67,0.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-04,9.38,10.71,16.67,0.0,26.0,15.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-05,9.38,10.71,16.67,0.0,34.0,8.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-06,15.62,17.86,16.67,0.0,43.0,9.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-07,15.62,17.86,16.67,0.0,50.0,7.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-08,15.62,17.86,16.67,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-09,26.04,29.76,16.67,0.0,58.0,8.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-10,32.29,29.76,16.67,50.0,69.0,11.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-11,32.29,29.76,16.67,50.0,85.0,16.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-12,32.29,29.76,16.67,50.0,103.0,18.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-13,34.38,32.14,16.67,50.0,134.0,31.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-14,34.38,32.14,16.67,50.0,156.0,22.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-15,39.06,37.5,25.0,50.0,171.0,15.0,5.0,5.0,0.0,0.0,0.0
17,2020-03-16,53.65,54.17,50.93,50.0,180.0,9.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-17,53.65,54.17,50.93,50.0,220.0,40.0,1.0,1.0,0.0,0.0,0.0
19,2020-03-18,53.65,54.17,50.93,50.0,250.0,30.0,1.0,0.0,0.0,0.0,0.0
20,2020-03-19,53.65,54.17,50.93,50.0,330.0,80.0,1.0,0.0,0.0,0.0,0.0
21,2020-03-20,55.21,55.95,53.7,50.0,409.0,79.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-21,61.46,55.95,53.7,100.0,473.0,64.0,1.0,1.0,0.0,0.0,0.0
23,2020-03-22,61.46,55.95,53.7,100.0,568.0,95.0,1.0,0.0,0.0,0.0,0.0
24,2020-03-23,61.46,55.95,53.7,100.0,588.0,20.0,1.0,0.0,0.0,0.0,0.0
25,2020-03-24,61.46,55.95,53.7,100.0,648.0,60.0,2.0,1.0,0.0,0.0,0.0
26,2020-03-25,61.46,55.95,53.7,100.0,737.0,89.0,2.0,0.0,0.0,0.0,0.0
27,2020-03-26,61.46,55.95,53.7,100.0,802.0,65.0,2.0,0.0,0.0,0.0,0.0
28,2020-03-27,61.46,55.95,53.7,100.0,890.0,88.0,2.0,0.0,0.0,0.0,0.0
29,2020-03-28,61.46,55.95,53.7,100.0,963.0,73.0,2.0,0.0,0.0,0.0,0.0
30,2020-03-29,61.46,55.95,53.7,100.0,1020.0,57.0,2.0,0.0,0.0,0.0,0.0
31,2020-03-30,61.46,55.95,53.7,100.0,1086.0,66.0,2.0,0.0,0.0,0.0,0.0
32,2020-03-31,61.46,55.95,53.7,100.0,1135.0,49.0,2.0,0.0,0.0,0.0,0.0
33,2020-04-01,61.46,55.95,53.7,100.0,1220.0,85.0,2.0,0.0,0.0,0.0,0.0
34,2020-04-02,61.46,55.95,53.7,100.0,1319.0,99.0,4.0,2.0,0.0,0.0,0.0
35,2020-04-03,61.46,55.95,53.7,100.0,1364.0,45.0,4.0,0.0,0.0,0.0,0.0
36,2020-04-04,61.46,55.95,53.7,100.0,1417.0,53.0,4.0,0.0,0.0,0.0,0.0
37,2020-04-05,61.46,55.95,53.7,100.0,1486.0,69.0,4.0,0.0,0.0,0.0,0.0
38,2020-04-06,61.46,55.95,53.7,100.0,1562.0,76.0,6.0,2.0,0.0,0.0,0.0
39,2020-04-07,61.46,55.95,53.7,100.0,1586.0,24.0,6.0,0.0,0.0,0.0,0.0
40,2020-04-08,61.46,55.95,53.7,100.0,1616.0,30.0,6.0,0.0,0.0,0.0,0.0
41,2020-04-09,61.46,55.95,53.7,100.0,1648.0,32.0,6.0,0.0,0.0,0.0,0.0
42,2020-04-10,61.46,55.95,53.7,100.0,1675.0,27.0,7.0,1.0,0.0,0.0,0.0
43,2020-04-11,61.46,55.95,53.7,100.0,1689.0,14.0,8.0,1.0,0.0,0.0,0.0
44,2020-04-12,61.46,55.95,53.7,100.0,1701.0,12.0,8.0,0.0,0.0,0.0,0.0
45,2020-04-13,61.46,55.95,53.7,100.0,1711.0,10.0,8.0,0.0,0.0,0.0,0.0
46,2020-04-14,61.46,55.95,53.7,100.0,1720.0,9.0,8.0,0.0,0.0,0.0,0.0
47,2020-04-15,61.46,55.95,53.7,100.0,1727.0,7.0,8.0,0.0,0.0,0.0,0.0
48,2020-04-16,61.46,55.95,53.7,100.0,1739.0,12.0,8.0,0.0,0.0,0.0,0.0
49,2020-04-17,61.46,55.95,53.7,100.0,1754.0,15.0,9.0,1.0,0.0,0.0,0.0
50,2020-04-18,61.46,55.95,53.7,100.0,1760.0,6.0,9.0,0.0,0.0,0.0,0.0
51,2020-04-19,61.46,55.95,53.7,100.0,1771.0,11.0,9.0,0.0,0.0,0.0,0.0
52,2020-04-20,61.46,55.95,53.7,100.0,1773.0,2.0,10.0,1.0,0.0,0.0,0.0
53,2020-04-21,61.46,55.95,53.7,100.0,1778.0,5.0,10.0,0.0,0.0,0.0,0.0
54,2020-04-22,61.46,55.95,53.7,100.0,1785.0,7.0,10.0,0.0,0.0,0.0,0.0
55,2020-04-23,61.46,55.95,53.7,100.0,1789.0,4.0,10.0,0.0,0.0,0.0,0.0
56,2020-04-24,61.46,55.95,53.7,100.0,1789.0,0.0,10.0,0.0,0.0,0.0,0.0
57,2020-04-25,61.46,55.95,53.7,100.0,1790.0,1.0,10.0,0.0,0.0,0.0,0.0
58,2020-04-26,61.46,55.95,53.7,100.0,1792.0,2.0,10.0,0.0,0.0,0.0,0.0
59,2020-04-27,61.46,55.95,53.7,100.0,1792.0,0.0,10.0,0.0,0.0,0.0,0.0
60,2020-04-28,61.46,55.95,53.7,100.0,1795.0,3.0,10.0,0.0,0.0,0.0,0.0
61,2020-04-29,61.46,55.95,53.7,100.0,1797.0,2.0,10.0,0.0,0.0,0.0,0.0
62,2020-04-30,61.46,55.95,53.7,100.0,1797.0,0.0,10.0,0.0,0.0,0.0,0.0
63,2020-05-01,61.46,55.95,53.7,100.0,1798.0,1.0,10.0,0.0,0.0,0.0,0.0
64,2020-05-02,61.46,55.95,53.7,100.0,1798.0,0.0,10.0,0.0,0.0,0.0,0.0
65,2020-05-03,61.46,55.95,53.7,100.0,1799.0,1.0,10.0,0.0,0.0,0.0,0.0
66,2020-05-04,57.29,51.19,50.0,100.0,1799.0,0.0,10.0,0.0,0.0,0.0,0.0
67,2020-05-05,57.29,51.19,50.0,100.0,1799.0,0.0,10.0,0.0,0.0,0.0,0.0
68,2020-05-06,57.29,51.19,50.0,100.0,1799.0,0.0,10.0,0.0,0.0,0.0,0.0
69,2020-05-07,57.29,51.19,50.0,100.0,1801.0,2.0,10.0,0.0,0.0,0.0,0.0
70,2020-05-08,57.29,51.19,50.0,100.0,1801.0,0.0,10.0,0.0,0.0,0.0,0.0
71,2020-05-09,57.29,51.19,50.0,100.0,1801.0,0.0,10.0,0.0,0.0,0.0,0.0
72,2020-05-10,57.29,51.19,50.0,100.0,1801.0,0.0,10.0,0.0,0.0,0.0,0.0
73,2020-05-11,57.29,51.19,50.0,100.0,1801.0,0.0,10.0,0.0,0.0,0.0,0.0
74,2020-05-12,57.29,51.19,50.0,100.0,1801.0,0.0,10.0,0.0,0.0,0.0,0.0
75,2020-05-13,57.29,51.19,50.0,100.0,1802.0,1.0,10.0,0.0,0.0,0.0,0.0
76,2020-05-14,57.29,51.19,50.0,100.0,1802.0,0.0,10.0,0.0,0.0,0.0,0.0
77,2020-05-15,57.29,51.19,50.0,100.0,1802.0,0.0,10.0,0.0,0.0,0.0,0.0
78,2020-05-16,57.29,51.19,50.0,100.0,1802.0,0.0,10.0,0.0,0.0,0.0,0.0
79,2020-05-17,57.29,51.19,50.0,100.0,1802.0,0.0,10.0,0.0,0.0,0.0,0.0
80,2020-05-18,57.29,51.19,50.0,100.0,1802.0,0.0,10.0,0.0,0.0,0.0,0.0
81,2020-05-19,57.29,51.19,50.0,100.0,1802.0,0.0,10.0,0.0,0.0,0.0,0.0
82,2020-05-20,57.29,51.19,50.0,100.0,1803.0,1.0,10.0,0.0,0.0,0.0,0.0
83,2020-05-21,57.29,51.19,50.0,100.0,1803.0,0.0,10.0,0.0,0.0,0.0,0.0
84,2020-05-22,57.29,51.19,50.0,100.0,1803.0,0.0,10.0,0.0,0.0,0.0,0.0
85,2020-05-23,57.29,51.19,50.0,100.0,1804.0,1.0,10.0,0.0,0.0,0.0,0.0
86,2020-05-24,57.29,51.19,50.0,100.0,1804.0,0.0,10.0,0.0,0.0,0.0,0.0
87,2020-05-25,51.56,44.64,39.81,100.0,1804.0,0.0,10.0,0.0,0.0,0.0,0.0
88,2020-05-26,51.56,44.64,39.81,100.0,1804.0,0.0,10.0,0.0,0.0,0.0,0.0
89,2020-05-27,51.56,44.64,39.81,100.0,1805.0,1.0,10.0,0.0,0.0,0.0,0.0
90,2020-05-28,51.56,44.64,39.81,100.0,1805.0,0.0,10.0,0.0,0.0,0.0,0.0
91,2020-05-29,51.56,44.64,39.81,100.0,1805.0,0.0,10.0,0.0,0.0,0.0,0.0
92,2020-05-30,51.56,44.64,39.81,100.0,1806.0,1.0,10.0,0.0,0.0,0.0,0.0
93,2020-05-31,51.56,44.64,39.81,100.0,1806.0,0.0,10.0,0.0,0.0,0.0,0.0
94,2020-06-01,51.56,44.64,39.81,100.0,1806.0,0.0,10.0,0.0,0.0,0.0,0.0
