,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-01-30,11.98,13.69,10.19,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-31,15.1,17.26,10.19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-02-01,15.1,17.26,10.19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-02-02,15.1,17.26,10.19,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
4,2020-02-03,15.1,17.26,10.19,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
5,2020-02-04,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-02-05,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-02-06,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-02-07,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-02-08,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-02-09,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-02-10,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-02-11,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-02-12,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-02-13,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-02-14,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-02-15,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-02-16,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-02-17,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-02-18,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-02-19,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-02-20,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-02-21,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-02-22,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-02-23,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2020-02-24,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-02-25,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2020-02-26,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2020-02-27,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2020-02-28,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2020-02-29,15.1,17.26,10.19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2020-03-01,21.35,17.26,10.19,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2020-03-02,21.35,17.26,10.19,50.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
33,2020-03-03,21.35,17.26,10.19,50.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2020-03-04,21.35,17.26,10.19,50.0,28.0,23.0,0.0,0.0,0.0,0.0,0.0
35,2020-03-05,30.73,27.98,26.85,50.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0
36,2020-03-06,30.73,27.98,26.85,50.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0
37,2020-03-07,30.73,27.98,26.85,50.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0
38,2020-03-08,30.73,27.98,26.85,50.0,39.0,5.0,0.0,0.0,0.0,0.0,0.0
39,2020-03-09,30.73,27.98,26.85,50.0,43.0,4.0,0.0,0.0,0.0,0.0,0.0
40,2020-03-10,30.73,27.98,26.85,50.0,56.0,13.0,0.0,0.0,0.0,0.0,0.0
41,2020-03-11,30.73,27.98,26.85,50.0,62.0,6.0,1.0,1.0,0.0,0.0,0.0
42,2020-03-12,30.73,27.98,26.85,50.0,73.0,11.0,1.0,0.0,0.0,0.0,0.0
43,2020-03-13,32.81,30.36,41.67,50.0,82.0,9.0,2.0,1.0,0.0,0.0,0.0
44,2020-03-14,32.81,30.36,41.67,50.0,102.0,20.0,2.0,0.0,0.0,0.0,0.0
45,2020-03-15,34.38,32.14,44.44,50.0,113.0,11.0,2.0,0.0,0.0,0.0,0.0
46,2020-03-16,34.38,32.14,44.44,50.0,119.0,6.0,2.0,0.0,0.0,0.0,0.0
47,2020-03-17,34.38,32.14,44.44,50.0,142.0,23.0,3.0,1.0,0.0,0.0,0.0
48,2020-03-18,34.38,32.14,44.44,50.0,156.0,14.0,3.0,0.0,0.0,0.0,0.0
49,2020-03-19,34.38,32.14,44.44,50.0,194.0,38.0,4.0,1.0,0.0,0.0,0.0
50,2020-03-20,37.5,32.14,44.44,75.0,244.0,50.0,5.0,1.0,0.0,0.0,0.0
51,2020-03-21,37.5,32.14,44.44,75.0,330.0,86.0,4.0,0.0,0.0,0.0,0.0
52,2020-03-22,80.21,80.95,100.0,75.0,396.0,66.0,7.0,3.0,0.0,0.0,0.0
53,2020-03-23,72.66,72.32,86.57,75.0,499.0,103.0,10.0,3.0,0.0,0.0,0.0
54,2020-03-24,72.66,72.32,86.57,75.0,536.0,37.0,10.0,0.0,0.0,0.0,0.0
