,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-29,13.54,15.48,11.11,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-01,13.54,15.48,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-02,13.54,15.48,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-03,13.54,15.48,11.11,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-04,13.54,15.48,11.11,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-05,13.54,15.48,11.11,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-06,13.54,15.48,11.11,0.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-07,13.54,15.48,11.11,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-08,13.54,15.48,11.11,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-09,13.54,15.48,11.11,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-10,13.54,15.48,11.11,0.0,34.0,13.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-11,13.54,15.48,11.11,0.0,43.0,9.0,1.0,1.0,0.0,0.0,0.0
12,2020-03-12,25.0,28.57,31.48,0.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0
13,2020-03-13,31.25,35.71,42.59,0.0,90.0,47.0,1.0,0.0,0.0,0.0,0.0
14,2020-03-14,31.25,35.71,42.59,0.0,129.0,39.0,2.0,1.0,0.0,0.0,0.0
15,2020-03-15,37.5,39.29,48.15,25.0,129.0,0.0,2.0,0.0,0.0,0.0,0.0
16,2020-03-16,37.5,39.29,48.15,25.0,169.0,40.0,2.0,0.0,0.0,0.0,0.0
17,2020-03-17,37.5,39.29,48.15,25.0,223.0,54.0,2.0,0.0,0.0,0.0,0.0
18,2020-03-18,37.5,39.29,48.15,25.0,292.0,69.0,2.0,0.0,0.0,0.0,0.0
19,2020-03-19,37.5,39.29,48.15,25.0,557.0,265.0,3.0,1.0,0.0,0.0,0.0
20,2020-03-20,37.5,39.29,48.15,25.0,683.0,126.0,3.0,0.0,0.0,0.0,0.0
21,2020-03-21,37.5,39.29,48.15,25.0,785.0,102.0,3.0,0.0,0.0,0.0,0.0
22,2020-03-22,37.5,39.29,48.15,25.0,906.0,121.0,4.0,1.0,0.0,0.0,0.0
23,2020-03-23,37.5,39.29,48.15,25.0,1125.0,219.0,6.0,2.0,0.0,0.0,0.0
24,2020-03-24,44.79,36.9,48.15,100.0,1329.0,204.0,7.0,1.0,0.0,0.0,0.0
25,2020-03-25,44.79,36.9,48.15,100.0,1564.0,235.0,9.0,2.0,0.0,0.0,0.0
26,2020-03-26,50.0,42.86,57.41,100.0,1819.0,255.0,19.0,10.0,0.0,0.0,0.0
27,2020-03-27,66.67,61.9,75.93,100.0,2121.0,302.0,22.0,3.0,0.0,0.0,0.0
28,2020-03-28,71.88,67.86,85.19,100.0,2415.0,294.0,36.0,14.0,0.0,0.0,0.0
29,2020-03-29,71.88,67.86,85.19,100.0,2615.0,200.0,46.0,10.0,0.0,0.0,0.0
30,2020-03-30,71.88,67.86,85.19,100.0,2910.0,295.0,54.0,8.0,0.0,0.0,0.0
31,2020-03-31,71.88,67.86,85.19,100.0,3235.0,325.0,71.0,17.0,0.0,0.0,0.0
32,2020-04-01,71.88,67.86,85.19,100.0,3447.0,212.0,85.0,14.0,0.0,0.0,0.0
33,2020-04-02,71.88,67.86,85.19,100.0,3849.0,402.0,98.0,13.0,0.0,0.0,0.0
34,2020-04-03,71.88,67.86,85.19,100.0,4273.0,424.0,120.0,22.0,0.0,0.0,0.0
35,2020-04-04,71.88,67.86,85.19,100.0,4604.0,331.0,137.0,17.0,0.0,0.0,0.0
36,2020-04-05,71.88,67.86,85.19,100.0,4994.0,390.0,158.0,21.0,0.0,0.0,0.0
37,2020-04-06,75.0,71.43,90.74,100.0,5364.0,370.0,174.0,16.0,0.0,0.0,0.0
38,2020-04-07,75.0,71.43,90.74,100.0,5709.0,345.0,210.0,36.0,0.0,0.0,0.0
39,2020-04-08,75.0,71.43,90.74,100.0,6074.0,365.0,235.0,25.0,0.0,0.0,0.0
40,2020-04-09,75.0,71.43,90.74,100.0,6574.0,500.0,263.0,28.0,0.0,0.0,0.0
41,2020-04-10,75.0,71.43,90.74,100.0,8089.0,1515.0,287.0,24.0,0.0,0.0,0.0
42,2020-04-11,75.0,71.43,90.74,100.0,8928.0,839.0,320.0,33.0,0.0,0.0,0.0
43,2020-04-12,75.0,71.43,90.74,100.0,9655.0,727.0,334.0,14.0,0.0,0.0,0.0
44,2020-04-13,75.0,71.43,90.74,100.0,10647.0,992.0,365.0,31.0,0.0,0.0,0.0
