,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-01-31,19.27,22.02,19.44,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1,2020-02-01,19.27,22.02,19.44,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-02-02,19.27,22.02,19.44,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-02-03,19.27,22.02,19.44,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-02-04,19.27,22.02,19.44,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-02-05,19.27,22.02,19.44,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-02-06,19.27,22.02,19.44,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-02-07,19.27,22.02,19.44,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
8,2020-02-08,19.27,22.02,19.44,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-02-09,19.27,22.02,19.44,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-02-10,19.27,22.02,19.44,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-02-11,19.27,22.02,19.44,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-02-12,19.27,22.02,19.44,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-02-13,19.27,22.02,19.44,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-02-14,19.27,22.02,19.44,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-02-15,19.27,22.02,19.44,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-02-16,19.27,22.02,19.44,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-02-17,19.27,22.02,19.44,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-02-18,19.27,22.02,19.44,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-02-19,19.27,22.02,19.44,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-02-20,19.27,22.02,19.44,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-02-21,23.96,27.38,27.78,0.0,20.0,17.0,1.0,1.0,0.0,0.0,0.0
22,2020-02-22,29.17,33.33,37.04,0.0,62.0,42.0,2.0,1.0,0.0,0.0,0.0
23,2020-02-23,49.74,56.85,64.35,0.0,155.0,93.0,3.0,1.0,0.0,0.0,0.0
24,2020-02-24,49.74,56.85,64.35,0.0,229.0,74.0,7.0,4.0,0.0,0.0,0.0
25,2020-02-25,49.74,56.85,64.35,0.0,322.0,93.0,10.0,3.0,0.0,0.0,0.0
26,2020-02-26,51.82,59.23,64.35,0.0,453.0,131.0,12.0,2.0,0.0,0.0,0.0
27,2020-02-27,51.82,59.23,64.35,0.0,655.0,202.0,17.0,5.0,0.0,0.0,0.0
28,2020-02-28,51.82,59.23,64.35,0.0,888.0,233.0,21.0,4.0,0.0,0.0,0.0
29,2020-02-29,51.82,59.23,64.35,0.0,1128.0,240.0,29.0,8.0,0.0,0.0,0.0
30,2020-03-01,51.82,59.23,64.35,0.0,1694.0,566.0,34.0,5.0,0.0,0.0,0.0
31,2020-03-02,54.95,62.8,69.91,0.0,2036.0,342.0,52.0,18.0,0.0,0.0,0.0
32,2020-03-03,54.95,62.8,69.91,0.0,2502.0,466.0,79.0,27.0,0.0,0.0,0.0
