,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-01-22,9.9,11.31,2.78,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-23,9.9,11.31,2.78,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-01-24,9.9,11.31,2.78,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-01-25,9.9,11.31,2.78,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-01-26,9.9,11.31,2.78,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
5,2020-01-27,9.9,11.31,2.78,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-01-28,9.9,11.31,2.78,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0
7,2020-01-29,9.9,11.31,2.78,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-01-30,9.9,11.31,2.78,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0
9,2020-01-31,9.9,11.31,2.78,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0
10,2020-02-01,13.02,14.88,8.33,0.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0
11,2020-02-02,13.02,14.88,8.33,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-02-03,13.02,14.88,8.33,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-02-04,19.27,22.02,19.44,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0
14,2020-02-05,19.27,22.02,19.44,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0
15,2020-02-06,19.27,22.02,19.44,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-02-07,19.27,22.02,19.44,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-02-08,19.27,22.02,19.44,0.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0
18,2020-02-09,19.27,22.02,19.44,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-02-10,19.27,22.02,19.44,0.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0
20,2020-02-11,19.27,22.02,19.44,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0
21,2020-02-12,19.27,22.02,19.44,0.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0
22,2020-02-13,19.27,22.02,19.44,0.0,33.0,5.0,1.0,1.0,0.0,0.0,0.0
23,2020-02-14,19.27,22.02,19.44,0.0,43.0,10.0,1.0,0.0,0.0,0.0,0.0
24,2020-02-15,19.27,22.02,19.44,0.0,54.0,11.0,1.0,0.0,0.0,0.0,0.0
25,2020-02-16,19.27,22.02,19.44,0.0,60.0,6.0,1.0,0.0,0.0,0.0,0.0
26,2020-02-17,19.27,22.02,19.44,0.0,67.0,7.0,1.0,0.0,0.0,0.0,0.0
27,2020-02-18,19.27,22.02,19.44,0.0,79.0,12.0,2.0,1.0,0.0,0.0,0.0
28,2020-02-19,19.27,22.02,19.44,0.0,85.0,6.0,2.0,0.0,0.0,0.0,0.0
29,2020-02-20,22.4,25.6,25.0,0.0,95.0,10.0,2.0,0.0,0.0,0.0,0.0
30,2020-02-21,22.4,25.6,25.0,0.0,112.0,17.0,2.0,0.0,0.0,0.0,0.0
31,2020-02-22,22.4,25.6,25.0,0.0,137.0,25.0,2.0,0.0,0.0,0.0,0.0
32,2020-02-23,22.4,25.6,25.0,0.0,149.0,12.0,2.0,0.0,0.0,0.0,0.0
33,2020-02-24,22.4,25.6,25.0,0.0,160.0,11.0,2.0,0.0,0.0,0.0,0.0
34,2020-02-25,31.77,36.31,34.26,0.0,173.0,13.0,3.0,1.0,0.0,0.0,0.0
35,2020-02-26,31.77,36.31,34.26,0.0,192.0,19.0,3.0,0.0,0.0,0.0,0.0
36,2020-02-27,31.77,36.31,34.26,0.0,218.0,26.0,4.0,1.0,0.0,0.0,0.0
37,2020-02-28,31.77,36.31,34.26,0.0,236.0,18.0,5.0,1.0,0.0,0.0,0.0
38,2020-02-29,31.77,36.31,34.26,0.0,245.0,9.0,6.0,1.0,0.0,0.0,0.0
39,2020-03-01,33.33,38.1,34.26,0.0,259.0,14.0,6.0,0.0,0.0,0.0,0.0
40,2020-03-02,38.54,44.05,43.52,0.0,278.0,19.0,6.0,0.0,0.0,0.0,0.0
41,2020-03-03,38.54,44.05,43.52,0.0,298.0,20.0,6.0,0.0,0.0,0.0,0.0
42,2020-03-04,38.54,44.05,43.52,0.0,333.0,35.0,7.0,1.0,0.0,0.0,0.0
43,2020-03-05,38.54,44.05,43.52,0.0,365.0,32.0,7.0,0.0,0.0,0.0,0.0
44,2020-03-06,38.54,44.05,43.52,0.0,420.0,55.0,7.0,0.0,0.0,0.0,0.0
45,2020-03-07,38.54,44.05,43.52,0.0,466.0,46.0,7.0,0.0,0.0,0.0,0.0
46,2020-03-08,38.54,44.05,43.52,0.0,499.0,33.0,8.0,1.0,0.0,0.0,0.0
47,2020-03-09,36.98,42.26,40.74,0.0,527.0,28.0,10.0,2.0,0.0,0.0,0.0
48,2020-03-10,36.98,42.26,40.74,0.0,585.0,58.0,13.0,3.0,0.0,0.0,0.0
49,2020-03-11,36.98,42.26,40.74,0.0,640.0,55.0,15.0,2.0,0.0,0.0,0.0
50,2020-03-12,36.98,42.26,40.74,0.0,696.0,56.0,19.0,4.0,0.0,0.0,0.0
51,2020-03-13,36.98,42.26,40.74,0.0,733.0,37.0,21.0,2.0,0.0,0.0,0.0
52,2020-03-14,36.98,42.26,40.74,0.0,795.0,62.0,22.0,1.0,0.0,0.0,0.0
53,2020-03-15,36.98,42.26,40.74,0.0,826.0,31.0,24.0,2.0,0.0,0.0,0.0
54,2020-03-16,43.23,42.26,40.74,50.0,843.0,17.0,30.0,6.0,0.0,0.0,0.0
55,2020-03-17,43.23,42.26,40.74,50.0,893.0,50.0,30.0,0.0,0.0,0.0,0.0
56,2020-03-18,43.23,42.26,40.74,50.0,928.0,35.0,32.0,2.0,0.0,0.0,0.0
57,2020-03-19,43.23,42.26,40.74,50.0,968.0,40.0,33.0,1.0,0.0,0.0,0.0
58,2020-03-20,43.23,42.26,40.74,50.0,1022.0,54.0,34.0,1.0,0.0,0.0,0.0
59,2020-03-21,43.23,42.26,40.74,50.0,1059.0,37.0,36.0,2.0,0.0,0.0,0.0
60,2020-03-22,43.23,42.26,40.74,50.0,1104.0,45.0,40.0,4.0,0.0,0.0,0.0
61,2020-03-23,43.23,42.26,40.74,50.0,1144.0,40.0,41.0,1.0,0.0,0.0,0.0
62,2020-03-24,43.23,42.26,40.74,50.0,1217.0,73.0,42.0,1.0,0.0,0.0,0.0
63,2020-03-25,43.23,42.26,40.74,50.0,1314.0,97.0,45.0,3.0,0.0,0.0,0.0
64,2020-03-26,43.23,42.26,40.74,50.0,1416.0,102.0,47.0,2.0,0.0,0.0,0.0
65,2020-03-27,43.23,42.26,40.74,50.0,1530.0,114.0,53.0,6.0,0.0,0.0,0.0
66,2020-03-28,43.23,42.26,40.74,50.0,1728.0,198.0,56.0,3.0,0.0,0.0,0.0
67,2020-03-29,43.23,42.26,40.74,50.0,1907.0,179.0,63.0,7.0,0.0,0.0,0.0
68,2020-03-30,43.23,42.26,40.74,50.0,2001.0,94.0,65.0,2.0,0.0,0.0,0.0
69,2020-03-31,43.23,42.26,40.74,50.0,2255.0,254.0,67.0,2.0,0.0,0.0,0.0
70,2020-04-01,43.23,42.26,40.74,50.0,2535.0,280.0,72.0,5.0,0.0,0.0,0.0
71,2020-04-02,43.23,42.26,40.74,50.0,2818.0,283.0,75.0,3.0,0.0,0.0,0.0
72,2020-04-03,44.79,44.05,43.52,50.0,3154.0,336.0,81.0,6.0,0.0,0.0,0.0
73,2020-04-04,44.79,44.05,43.52,50.0,3525.0,371.0,87.0,6.0,0.0,0.0,0.0
74,2020-04-05,44.79,44.05,43.52,50.0,3876.0,351.0,93.0,6.0,0.0,0.0,0.0
75,2020-04-06,44.79,44.05,43.52,50.0,4110.0,234.0,96.0,3.0,0.0,0.0,0.0
76,2020-04-07,46.88,46.43,45.37,50.0,4485.0,375.0,98.0,2.0,0.0,0.0,0.0
77,2020-04-08,46.88,46.43,45.37,50.0,5020.0,535.0,105.0,7.0,0.0,0.0,0.0
78,2020-04-09,46.88,46.43,45.37,50.0,5614.0,594.0,113.0,8.0,0.0,0.0,0.0
79,2020-04-10,46.88,46.43,45.37,50.0,6250.0,636.0,125.0,12.0,0.0,0.0,0.0
80,2020-04-11,46.88,46.43,45.37,50.0,6951.0,701.0,138.0,13.0,0.0,0.0,0.0
81,2020-04-12,46.88,46.43,45.37,50.0,7473.0,522.0,147.0,9.0,0.0,0.0,0.0
82,2020-04-13,46.88,46.43,45.37,50.0,7773.0,300.0,156.0,9.0,0.0,0.0,0.0
