,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-03,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-04,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-05,8.33,9.52,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-06,8.33,9.52,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-07,8.33,9.52,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-08,8.33,9.52,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-09,10.42,11.9,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-10,10.42,11.9,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-11,10.42,11.9,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-12,10.42,11.9,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-13,10.42,11.9,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-14,10.42,11.9,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-15,22.92,26.19,33.33,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-16,22.92,26.19,33.33,0.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-17,26.04,29.76,33.33,0.0,34.0,17.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-18,72.92,79.76,100.0,25.0,52.0,18.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-19,72.92,79.76,100.0,25.0,69.0,17.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-20,72.92,79.76,100.0,25.0,85.0,16.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-21,72.92,79.76,100.0,25.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-22,72.92,79.76,100.0,25.0,112.0,27.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-23,72.92,79.76,100.0,25.0,127.0,15.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-24,72.92,79.76,100.0,25.0,154.0,27.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-25,72.92,79.76,100.0,25.0,172.0,18.0,0.0,0.0,0.0,0.0,0.0
23,2020-03-26,72.92,79.76,100.0,25.0,212.0,40.0,0.0,0.0,0.0,0.0,0.0
24,2020-03-27,72.92,79.76,100.0,25.0,235.0,23.0,1.0,1.0,0.0,0.0,0.0
25,2020-03-28,72.92,79.76,100.0,25.0,246.0,11.0,1.0,0.0,0.0,0.0,0.0
26,2020-03-29,74.48,79.76,100.0,37.5,259.0,13.0,3.0,2.0,0.0,0.0,0.0
27,2020-03-30,74.48,79.76,100.0,37.5,268.0,9.0,5.0,2.0,0.0,0.0,0.0
28,2020-03-31,74.48,79.76,100.0,37.5,274.0,6.0,5.0,0.0,0.0,0.0,0.0
29,2020-04-01,74.48,79.76,100.0,37.5,278.0,4.0,5.0,0.0,0.0,0.0,0.0
30,2020-04-02,74.48,79.76,100.0,37.5,299.0,21.0,5.0,0.0,0.0,0.0,0.0
31,2020-04-03,74.48,79.76,100.0,37.5,310.0,11.0,5.0,0.0,0.0,0.0,0.0
32,2020-04-04,74.48,79.76,100.0,37.5,323.0,13.0,5.0,0.0,0.0,0.0,0.0
33,2020-04-05,74.48,79.76,100.0,37.5,345.0,22.0,5.0,0.0,0.0,0.0,0.0
34,2020-04-06,74.48,79.76,100.0,37.5,349.0,4.0,6.0,1.0,0.0,0.0,0.0
35,2020-04-07,74.48,79.76,100.0,37.5,353.0,4.0,6.0,0.0,0.0,0.0,0.0
36,2020-04-08,74.48,79.76,100.0,37.5,358.0,5.0,6.0,0.0,0.0,0.0,0.0
37,2020-04-09,74.48,79.76,100.0,37.5,372.0,14.0,7.0,1.0,0.0,0.0,0.0
38,2020-04-10,74.48,79.76,100.0,37.5,372.0,0.0,7.0,0.0,0.0,0.0,0.0
39,2020-04-11,74.48,79.76,100.0,37.5,381.0,9.0,7.0,0.0,0.0,0.0,0.0
40,2020-04-12,74.48,79.76,100.0,37.5,389.0,8.0,7.0,0.0,0.0,0.0,0.0
41,2020-04-13,74.48,79.76,100.0,37.5,391.0,2.0,7.0,0.0,0.0,0.0,0.0
42,2020-04-14,74.48,79.76,100.0,37.5,397.0,6.0,7.0,0.0,0.0,0.0,0.0
43,2020-04-15,74.48,79.76,100.0,37.5,401.0,4.0,7.0,0.0,0.0,0.0,0.0
44,2020-04-16,74.48,79.76,100.0,37.5,402.0,1.0,7.0,0.0,0.0,0.0,0.0
45,2020-04-17,74.48,79.76,100.0,37.5,407.0,5.0,7.0,0.0,0.0,0.0,0.0
46,2020-04-18,74.48,79.76,100.0,37.5,413.0,6.0,7.0,0.0,0.0,0.0,0.0
47,2020-04-19,74.48,79.76,100.0,37.5,417.0,4.0,7.0,0.0,0.0,0.0,0.0
48,2020-04-20,74.48,79.76,100.0,37.5,425.0,8.0,7.0,0.0,0.0,0.0,0.0
49,2020-04-21,72.4,77.38,96.3,37.5,428.0,3.0,7.0,0.0,0.0,0.0,0.0
50,2020-04-22,72.4,77.38,96.3,37.5,435.0,7.0,7.0,0.0,0.0,0.0,0.0
51,2020-04-23,72.4,77.38,96.3,37.5,437.0,2.0,7.0,0.0,0.0,0.0,0.0
52,2020-04-24,72.4,77.38,96.3,37.5,441.0,4.0,7.0,0.0,0.0,0.0,0.0
53,2020-04-25,72.4,77.38,96.3,37.5,444.0,3.0,7.0,0.0,0.0,0.0,0.0
54,2020-04-26,72.4,77.38,96.3,37.5,447.0,3.0,7.0,0.0,0.0,0.0,0.0
55,2020-04-27,66.67,70.83,89.81,37.5,449.0,2.0,7.0,0.0,0.0,0.0,0.0
56,2020-04-28,66.67,70.83,89.81,37.5,449.0,0.0,8.0,1.0,0.0,0.0,0.0
57,2020-04-29,66.67,70.83,89.81,37.5,451.0,2.0,8.0,0.0,0.0,0.0,0.0
58,2020-04-30,66.67,70.83,89.81,37.5,453.0,2.0,8.0,0.0,0.0,0.0,0.0
59,2020-05-01,66.67,70.83,89.81,37.5,459.0,6.0,8.0,0.0,0.0,0.0,0.0
60,2020-05-02,66.67,70.83,89.81,37.5,460.0,1.0,9.0,1.0,0.0,0.0,0.0
61,2020-05-03,66.67,70.83,89.81,37.5,461.0,1.0,9.0,0.0,0.0,0.0,0.0
62,2020-05-04,65.1,69.05,87.04,37.5,465.0,4.0,9.0,0.0,0.0,0.0,0.0
63,2020-05-05,65.1,69.05,87.04,37.5,471.0,6.0,9.0,0.0,0.0,0.0,0.0
64,2020-05-06,65.1,69.05,87.04,37.5,473.0,2.0,9.0,0.0,0.0,0.0,0.0
65,2020-05-07,65.1,69.05,87.04,37.5,494.0,21.0,9.0,0.0,0.0,0.0,0.0
66,2020-05-08,65.1,69.05,87.04,37.5,508.0,14.0,9.0,0.0,0.0,0.0,0.0
67,2020-05-09,65.1,69.05,87.04,37.5,522.0,14.0,9.0,0.0,0.0,0.0,0.0
68,2020-05-10,65.1,69.05,87.04,37.5,540.0,18.0,9.0,0.0,0.0,0.0,0.0
69,2020-05-11,65.1,69.05,87.04,37.5,562.0,22.0,9.0,0.0,0.0,0.0,0.0
70,2020-05-12,57.81,60.71,77.78,37.5,576.0,14.0,9.0,0.0,0.0,0.0,0.0
71,2020-05-13,57.81,60.71,77.78,37.5,582.0,6.0,9.0,0.0,0.0,0.0,0.0
72,2020-05-14,57.81,60.71,77.78,37.5,586.0,4.0,9.0,0.0,0.0,0.0,0.0
73,2020-05-15,57.81,60.71,77.78,37.5,596.0,10.0,9.0,0.0,0.0,0.0,0.0
74,2020-05-16,57.81,60.71,77.78,37.5,607.0,11.0,9.0,0.0,0.0,0.0,0.0
75,2020-05-17,57.81,60.71,77.78,37.5,613.0,6.0,9.0,0.0,0.0,0.0,0.0
76,2020-05-18,57.81,60.71,77.78,37.5,629.0,16.0,9.0,0.0,0.0,0.0,0.0
77,2020-05-19,57.81,60.71,77.78,37.5,649.0,20.0,9.0,0.0,0.0,0.0,0.0
78,2020-05-20,57.81,60.71,77.78,37.5,672.0,23.0,9.0,0.0,0.0,0.0,0.0
79,2020-05-21,57.81,60.71,77.78,37.5,684.0,12.0,9.0,0.0,0.0,0.0,0.0
80,2020-05-22,57.81,60.71,77.78,37.5,700.0,16.0,9.0,0.0,0.0,0.0,0.0
81,2020-05-23,57.81,60.71,77.78,37.5,704.0,4.0,9.0,0.0,0.0,0.0,0.0
82,2020-05-24,57.81,60.71,77.78,37.5,708.0,4.0,9.0,0.0,0.0,0.0,0.0
83,2020-05-25,57.81,60.71,77.78,37.5,711.0,3.0,9.0,0.0,0.0,0.0,0.0
84,2020-05-26,57.81,60.71,77.78,37.5,718.0,7.0,9.0,0.0,0.0,0.0,0.0
85,2020-05-27,57.81,60.71,77.78,37.5,720.0,2.0,9.0,0.0,0.0,0.0,0.0
86,2020-05-28,57.81,60.71,77.78,37.5,728.0,8.0,9.0,0.0,0.0,0.0,0.0
87,2020-05-29,57.81,60.71,77.78,37.5,730.0,2.0,9.0,0.0,0.0,0.0,0.0
88,2020-05-30,57.81,60.71,77.78,37.5,734.0,4.0,9.0,0.0,0.0,0.0,0.0
89,2020-05-31,57.81,60.71,77.78,37.5,739.0,5.0,9.0,0.0,0.0,0.0,0.0
90,2020-06-01,57.81,60.71,77.78,37.5,746.0,7.0,9.0,0.0,0.0,0.0,0.0
91,2020-06-02,57.81,60.71,77.78,37.5,755.0,9.0,9.0,0.0,0.0,0.0,0.0
92,2020-06-03,57.81,60.71,77.78,37.5,757.0,2.0,9.0,0.0,0.0,0.0,0.0
93,2020-06-04,57.81,60.71,77.78,37.5,765.0,8.0,9.0,0.0,0.0,0.0,0.0
94,2020-06-05,57.81,60.71,77.78,37.5,784.0,19.0,9.0,0.0,0.0,0.0,0.0
95,2020-06-06,41.15,41.67,48.15,37.5,795.0,11.0,9.0,0.0,0.0,0.0,0.0
96,2020-06-07,41.15,41.67,48.15,37.5,808.0,13.0,9.0,0.0,0.0,0.0,0.0
97,2020-06-08,41.15,41.67,48.15,37.5,831.0,23.0,9.0,0.0,0.0,0.0,0.0
98,2020-06-09,41.15,41.67,48.15,37.5,845.0,14.0,9.0,0.0,0.0,0.0,0.0
99,2020-06-10,41.15,41.67,48.15,37.5,863.0,18.0,9.0,0.0,0.0,0.0,0.0
100,2020-06-11,41.15,41.67,48.15,37.5,890.0,27.0,9.0,0.0,0.0,0.0,0.0
101,2020-06-12,41.15,41.67,48.15,37.5,915.0,25.0,9.0,0.0,0.0,0.0,0.0
102,2020-06-13,41.15,41.67,48.15,37.5,953.0,38.0,9.0,0.0,0.0,0.0,0.0
103,2020-06-14,41.15,41.67,48.15,37.5,961.0,8.0,9.0,0.0,0.0,0.0,0.0
104,2020-06-15,41.15,41.67,48.15,37.5,979.0,18.0,9.0,0.0,0.0,0.0,0.0
105,2020-06-16,41.15,41.67,48.15,37.5,981.0,2.0,9.0,0.0,0.0,0.0,0.0
106,2020-06-17,41.15,41.67,48.15,37.5,987.0,6.0,9.0,0.0,0.0,0.0,0.0
107,2020-06-18,41.15,41.67,48.15,37.5,1001.0,14.0,9.0,0.0,0.0,0.0,0.0
108,2020-06-19,41.15,41.67,48.15,37.5,1008.0,7.0,9.0,0.0,0.0,0.0,0.0
109,2020-06-20,41.15,41.67,48.15,37.5,1015.0,7.0,9.0,0.0,0.0,0.0,0.0
110,2020-06-21,41.15,41.67,48.15,37.5,1033.0,18.0,9.0,0.0,0.0,0.0,0.0
111,2020-06-22,41.15,41.67,48.15,37.5,1042.0,9.0,9.0,0.0,0.0,0.0,0.0
112,2020-06-23,41.15,41.67,48.15,37.5,1047.0,5.0,9.0,0.0,0.0,0.0,0.0
113,2020-06-24,41.15,41.67,48.15,37.5,1071.0,24.0,9.0,0.0,0.0,0.0,0.0
114,2020-06-25,41.15,41.67,48.15,37.5,1086.0,15.0,9.0,0.0,0.0,0.0,0.0
115,2020-06-26,41.15,41.67,48.15,37.5,1104.0,18.0,9.0,0.0,0.0,0.0,0.0
116,2020-06-27,41.15,41.67,48.15,37.5,1111.0,7.0,9.0,0.0,0.0,0.0,0.0
117,2020-06-28,41.15,41.67,48.15,37.5,1121.0,10.0,9.0,0.0,0.0,0.0,0.0
118,2020-06-29,41.15,41.67,48.15,37.5,1128.0,7.0,9.0,0.0,0.0,0.0,0.0
119,2020-06-30,41.15,41.67,48.15,37.5,1132.0,4.0,9.0,0.0,0.0,0.0,0.0
120,2020-07-01,41.15,41.67,48.15,37.5,1133.0,1.0,9.0,0.0,0.0,0.0,0.0
121,2020-07-02,41.15,41.67,48.15,37.5,1136.0,3.0,9.0,0.0,0.0,0.0,0.0
122,2020-07-03,41.15,41.67,48.15,37.5,1147.0,11.0,10.0,1.0,0.0,0.0,0.0
123,2020-07-04,41.15,41.67,48.15,37.5,1150.0,3.0,10.0,0.0,0.0,0.0,0.0
124,2020-07-05,41.15,41.67,48.15,37.5,1164.0,14.0,10.0,0.0,0.0,0.0,0.0
125,2020-07-06,41.15,41.67,48.15,37.5,1167.0,3.0,10.0,0.0,0.0,0.0,0.0
126,2020-07-07,41.15,41.67,48.15,37.5,1169.0,2.0,10.0,0.0,0.0,0.0,0.0
127,2020-07-08,41.15,41.67,48.15,37.5,1169.0,0.0,10.0,0.0,0.0,0.0,0.0
128,2020-07-09,41.15,41.67,48.15,37.5,1169.0,0.0,10.0,0.0,0.0,0.0,0.0
129,2020-07-10,41.15,41.67,48.15,37.5,1173.0,4.0,10.0,0.0,0.0,0.0,0.0
130,2020-07-11,41.15,41.67,48.15,37.5,1176.0,3.0,10.0,0.0,0.0,0.0,0.0
131,2020-07-12,41.15,41.67,48.15,37.5,1179.0,3.0,10.0,0.0,0.0,0.0,0.0
132,2020-07-13,41.15,41.67,48.15,37.5,1183.0,4.0,10.0,0.0,0.0,0.0,0.0
133,2020-07-14,41.15,41.67,48.15,37.5,1198.0,15.0,10.0,0.0,0.0,0.0,0.0
134,2020-07-15,41.15,41.67,48.15,37.5,1201.0,3.0,10.0,0.0,0.0,0.0,0.0
135,2020-07-16,41.15,41.67,48.15,37.5,1206.0,5.0,10.0,0.0,0.0,0.0,0.0
136,2020-07-17,41.15,41.67,48.15,37.5,1209.0,3.0,10.0,0.0,0.0,0.0,0.0
137,2020-07-18,41.15,41.67,48.15,37.5,1214.0,5.0,11.0,1.0,0.0,0.0,0.0
138,2020-07-19,41.15,41.67,48.15,37.5,1218.0,4.0,11.0,0.0,0.0,0.0,0.0
139,2020-07-20,41.15,41.67,48.15,37.5,1223.0,5.0,11.0,0.0,0.0,0.0,0.0
140,2020-07-21,41.15,41.67,48.15,37.5,1113.0,0.0,11.0,0.0,0.0,0.0,0.0
141,2020-07-22,41.15,41.67,48.15,37.5,1120.0,7.0,11.0,0.0,0.0,0.0,0.0
142,2020-07-23,41.15,41.67,48.15,37.5,1131.0,11.0,11.0,0.0,0.0,0.0,0.0
143,2020-07-24,41.15,41.67,48.15,37.5,1146.0,15.0,11.0,0.0,0.0,0.0,0.0
144,2020-07-25,41.15,41.67,48.15,37.5,1154.0,8.0,11.0,0.0,0.0,0.0,0.0
145,2020-07-26,41.15,41.67,48.15,37.5,1168.0,14.0,11.0,0.0,0.0,0.0,0.0
146,2020-07-27,41.15,41.67,48.15,37.5,1176.0,8.0,11.0,0.0,0.0,0.0,0.0
147,2020-07-28,41.15,41.67,48.15,37.5,1182.0,6.0,11.0,0.0,0.0,0.0,0.0
148,2020-07-29,41.15,41.67,48.15,37.5,1187.0,5.0,11.0,0.0,0.0,0.0,0.0
149,2020-07-30,41.15,41.67,48.15,37.5,1191.0,4.0,11.0,0.0,0.0,0.0,0.0
150,2020-07-31,41.15,41.67,48.15,37.5,1193.0,2.0,11.0,0.0,0.0,0.0,0.0
151,2020-08-01,41.15,41.67,48.15,37.5,1208.0,15.0,11.0,0.0,0.0,0.0,0.0
152,2020-08-02,41.15,41.67,48.15,37.5,1213.0,5.0,11.0,0.0,0.0,0.0,0.0
153,2020-08-03,41.15,41.67,48.15,37.5,1218.0,5.0,11.0,0.0,0.0,0.0,0.0
154,2020-08-04,41.15,41.67,48.15,37.5,1224.0,6.0,11.0,0.0,0.0,0.0,0.0
155,2020-08-05,41.15,41.67,48.15,37.5,1231.0,7.0,11.0,0.0,0.0,0.0,0.0
156,2020-08-06,41.15,41.67,48.15,37.5,1232.0,1.0,11.0,0.0,0.0,0.0,0.0
157,2020-08-07,45.83,47.02,56.48,37.5,1237.0,5.0,11.0,0.0,0.0,0.0,0.0
158,2020-08-08,45.83,47.02,56.48,37.5,1246.0,9.0,11.0,0.0,0.0,0.0,0.0
159,2020-08-09,45.83,47.02,56.48,37.5,1252.0,6.0,11.0,0.0,0.0,0.0,0.0
160,2020-08-10,45.83,47.02,56.48,37.5,1268.0,16.0,11.0,0.0,0.0,0.0,0.0
161,2020-08-11,45.83,47.02,56.48,37.5,1283.0,15.0,11.0,0.0,0.0,0.0,0.0
162,2020-08-12,45.83,47.02,56.48,37.5,1303.0,20.0,11.0,0.0,0.0,0.0,0.0
163,2020-08-13,45.83,47.02,56.48,37.5,1320.0,17.0,11.0,0.0,0.0,0.0,0.0
