,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-13,16.15,18.45,22.22,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-14,16.15,18.45,22.22,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-15,15.36,17.56,22.22,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-16,30.99,33.63,47.22,12.5,10.0,1.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-17,30.99,33.63,47.22,12.5,33.0,23.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-18,35.68,38.99,55.56,12.5,35.0,2.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-19,49.48,54.76,80.09,12.5,44.0,9.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-20,49.48,54.76,80.09,12.5,49.0,5.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-21,52.6,54.76,80.09,37.5,53.0,4.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-22,52.6,54.76,80.09,37.5,61.0,8.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-23,52.6,54.76,80.09,37.5,62.0,1.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-24,58.85,61.9,80.09,37.5,72.0,10.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-25,58.85,61.9,80.09,37.5,81.0,9.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-26,58.85,61.9,80.09,37.5,111.0,30.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-27,58.85,61.9,80.09,37.5,150.0,39.0,1.0,1.0,0.0,0.0,0.0
15,2020-03-28,64.06,67.86,80.09,37.5,228.0,78.0,1.0,0.0,0.0,0.0,0.0
16,2020-03-29,65.62,69.64,82.87,37.5,284.0,56.0,1.0,0.0,0.0,0.0,0.0
17,2020-03-30,70.83,75.6,92.13,37.5,302.0,18.0,1.0,0.0,0.0,0.0,0.0
18,2020-03-31,70.83,75.6,92.13,37.5,343.0,41.0,2.0,1.0,0.0,0.0,0.0
19,2020-04-01,70.83,75.6,92.13,37.5,380.0,37.0,3.0,1.0,0.0,0.0,0.0
20,2020-04-02,70.83,75.6,92.13,37.5,435.0,55.0,3.0,0.0,0.0,0.0,0.0
21,2020-04-03,70.83,75.6,92.13,37.5,464.0,29.0,3.0,0.0,0.0,0.0,0.0
22,2020-04-04,70.83,75.6,92.13,37.5,531.0,67.0,5.0,2.0,0.0,0.0,0.0
23,2020-04-05,70.83,75.6,92.13,37.5,584.0,53.0,5.0,0.0,0.0,0.0,0.0
24,2020-04-06,70.83,75.6,92.13,37.5,662.0,78.0,6.0,1.0,0.0,0.0,0.0
25,2020-04-07,70.83,75.6,92.13,37.5,697.0,35.0,6.0,0.0,0.0,0.0,0.0
26,2020-04-08,70.83,75.6,92.13,37.5,727.0,30.0,7.0,1.0,0.0,0.0,0.0
