,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2021-05-18,17.71,16.67,22.22,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2021-05-19,17.71,16.67,22.22,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-05-20,41.93,44.35,56.94,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-05-21,41.93,44.35,56.94,25.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
4,2021-05-22,41.93,44.35,56.94,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-05-23,41.93,44.35,56.94,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-05-24,41.93,44.35,56.94,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-05-25,41.93,44.35,56.94,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-05-26,45.68,48.63,56.94,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-05-27,45.68,48.63,56.94,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2021-05-28,45.68,48.63,56.94,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2021-05-29,45.68,48.63,56.94,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2021-05-30,45.68,48.63,56.94,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2021-05-31,45.68,48.63,56.94,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2021-06-01,29.27,29.88,27.78,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2021-06-02,29.27,29.88,27.78,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2021-06-03,29.27,29.88,27.78,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2021-06-04,29.27,29.88,27.78,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2021-06-05,29.27,29.88,27.78,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2021-06-06,29.27,29.88,27.78,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2021-06-07,26.15,26.31,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2021-06-08,26.15,26.31,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2021-06-09,26.15,26.31,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2021-06-10,26.15,26.31,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2021-06-11,26.15,26.31,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2021-06-12,26.15,26.31,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2021-06-13,26.15,26.31,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2021-06-14,26.15,26.31,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2021-06-15,26.15,26.31,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2021-06-16,26.15,26.31,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2021-06-17,26.15,26.31,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2021-06-18,26.15,26.31,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2021-06-19,26.15,26.31,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2021-06-20,26.15,26.31,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2021-06-21,26.15,26.31,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2021-06-22,26.15,26.31,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2021-06-23,26.15,26.31,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2021-06-24,26.15,26.31,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2021-06-25,26.15,26.31,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2021-06-26,26.15,26.31,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2021-06-27,26.15,26.31,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2021-06-28,26.15,26.31,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2021-06-29,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2021-06-30,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2021-07-01,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2021-07-02,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2021-07-03,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2021-07-04,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2021-07-05,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2021-07-06,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2021-07-07,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2021-07-08,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2021-07-09,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2021-07-10,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2021-07-11,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2021-07-12,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2021-07-13,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2021-07-14,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2021-07-15,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2021-07-16,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2021-07-17,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2021-07-18,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2021-07-19,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2021-07-20,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2021-07-21,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2021-07-22,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2021-07-23,21.46,20.95,22.22,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
