,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-18,43.23,49.4,63.89,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-19,43.23,49.4,63.89,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-20,43.23,49.4,63.89,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-21,43.23,49.4,63.89,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-22,46.35,52.98,69.44,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-23,46.35,52.98,69.44,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-24,46.35,52.98,69.44,0.0,42.0,26.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-25,62.24,71.13,92.13,0.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-26,65.36,71.13,92.13,25.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-27,65.36,71.13,92.13,25.0,58.0,14.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-28,65.36,71.13,92.13,25.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-29,65.36,71.13,92.13,25.0,84.0,26.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-30,65.36,71.13,92.13,25.0,94.0,10.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-31,65.36,71.13,92.13,25.0,107.0,13.0,0.0,0.0,0.0,0.0,0.0
14,2020-04-01,65.36,71.13,92.13,25.0,111.0,4.0,0.0,0.0,0.0,0.0,0.0
15,2020-04-02,65.36,71.13,92.13,25.0,116.0,5.0,0.0,0.0,0.0,0.0,0.0
16,2020-04-03,65.36,71.13,92.13,25.0,130.0,14.0,1.0,1.0,0.0,0.0,0.0
17,2020-04-04,65.36,71.13,92.13,25.0,144.0,14.0,1.0,0.0,0.0,0.0,0.0
18,2020-04-05,65.36,71.13,92.13,25.0,147.0,3.0,1.0,0.0,0.0,0.0,0.0
19,2020-04-06,65.36,71.13,92.13,25.0,216.0,69.0,4.0,3.0,0.0,0.0,0.0
20,2020-04-07,65.36,71.13,92.13,25.0,228.0,12.0,4.0,0.0,0.0,0.0,0.0
21,2020-04-08,65.36,71.13,92.13,25.0,270.0,42.0,4.0,0.0,0.0,0.0,0.0
22,2020-04-09,65.36,71.13,92.13,25.0,280.0,10.0,4.0,0.0,0.0,0.0,0.0
23,2020-04-10,68.49,71.13,92.13,50.0,298.0,18.0,5.0,1.0,0.0,0.0,0.0
24,2020-04-11,68.49,71.13,92.13,50.0,339.0,41.0,5.0,0.0,0.0,0.0,0.0
25,2020-04-12,68.49,71.13,92.13,50.0,377.0,38.0,5.0,0.0,0.0,0.0,0.0
26,2020-04-13,68.49,71.13,92.13,50.0,419.0,42.0,5.0,0.0,0.0,0.0,0.0
27,2020-04-14,68.49,71.13,92.13,50.0,430.0,11.0,5.0,0.0,0.0,0.0,0.0
28,2020-04-15,68.49,71.13,92.13,50.0,449.0,19.0,5.0,0.0,0.0,0.0,0.0
29,2020-04-16,68.49,71.13,92.13,50.0,466.0,17.0,5.0,0.0,0.0,0.0,0.0
30,2020-04-17,68.49,71.13,92.13,50.0,489.0,23.0,5.0,0.0,0.0,0.0,0.0
31,2020-04-18,68.49,71.13,92.13,50.0,506.0,17.0,5.0,0.0,0.0,0.0,0.0
32,2020-04-19,68.49,71.13,92.13,50.0,554.0,48.0,5.0,0.0,0.0,0.0,0.0
33,2020-04-20,68.49,71.13,92.13,50.0,568.0,14.0,7.0,2.0,0.0,0.0,0.0
34,2020-04-21,68.49,71.13,92.13,50.0,590.0,22.0,7.0,0.0,0.0,0.0,0.0
35,2020-04-22,68.49,71.13,92.13,50.0,612.0,22.0,7.0,0.0,0.0,0.0,0.0
36,2020-04-23,68.49,71.13,92.13,50.0,631.0,19.0,8.0,1.0,0.0,0.0,0.0
37,2020-04-24,68.49,71.13,92.13,50.0,665.0,34.0,8.0,0.0,0.0,0.0,0.0
38,2020-04-25,68.49,71.13,92.13,50.0,665.0,0.0,8.0,0.0,0.0,0.0,0.0
39,2020-04-26,68.49,71.13,92.13,50.0,682.0,17.0,8.0,0.0,0.0,0.0,0.0
40,2020-04-27,68.49,71.13,92.13,50.0,695.0,13.0,8.0,0.0,0.0,0.0,0.0
41,2020-04-28,68.49,71.13,92.13,50.0,708.0,13.0,8.0,0.0,0.0,0.0,0.0
42,2020-04-29,68.49,71.13,92.13,50.0,729.0,21.0,8.0,0.0,0.0,0.0,0.0
43,2020-04-30,66.41,68.75,88.43,50.0,746.0,17.0,8.0,0.0,0.0,0.0,0.0
44,2020-05-01,66.41,68.75,88.43,50.0,756.0,10.0,8.0,0.0,0.0,0.0,0.0
45,2020-05-02,66.41,68.75,88.43,50.0,769.0,13.0,8.0,0.0,0.0,0.0,0.0
46,2020-05-03,66.41,68.75,88.43,50.0,795.0,26.0,10.0,2.0,0.0,0.0,0.0
47,2020-05-04,64.84,66.96,85.65,50.0,830.0,35.0,10.0,0.0,0.0,0.0,0.0
48,2020-05-05,64.84,66.96,85.65,50.0,843.0,13.0,11.0,1.0,0.0,0.0,0.0
49,2020-05-06,64.84,66.96,85.65,50.0,871.0,28.0,12.0,1.0,0.0,0.0,0.0
50,2020-05-07,64.84,66.96,85.65,50.0,895.0,24.0,12.0,0.0,0.0,0.0,0.0
51,2020-05-08,64.84,66.96,85.65,50.0,906.0,11.0,12.0,0.0,0.0,0.0,0.0
52,2020-05-09,64.84,66.96,85.65,50.0,931.0,25.0,12.0,0.0,0.0,0.0,0.0
53,2020-05-10,62.76,64.58,85.65,50.0,1002.0,71.0,12.0,0.0,0.0,0.0,0.0
