,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-29,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-01,10.42,11.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-02,10.42,11.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-03,10.42,11.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-04,10.42,11.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-05,16.67,19.05,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-06,16.67,19.05,11.11,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-07,16.67,19.05,11.11,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-08,16.67,19.05,11.11,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-09,22.92,26.19,22.22,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-10,22.92,26.19,22.22,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-11,22.92,26.19,22.22,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-12,26.04,29.76,31.48,0.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-13,32.29,36.9,42.59,0.0,34.0,15.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-14,32.29,36.9,42.59,0.0,51.0,17.0,1.0,1.0,0.0,0.0,0.0
15,2020-03-15,38.54,44.05,53.7,0.0,59.0,8.0,1.0,0.0,0.0,0.0,0.0
16,2020-03-16,48.96,55.95,72.22,0.0,77.0,18.0,1.0,0.0,0.0,0.0,0.0
17,2020-03-17,69.79,65.48,79.63,100.0,140.0,63.0,1.0,0.0,0.0,0.0,0.0
18,2020-03-18,69.79,65.48,79.63,100.0,203.0,63.0,2.0,1.0,0.0,0.0,0.0
19,2020-03-19,69.79,65.48,79.63,100.0,335.0,132.0,4.0,2.0,0.0,0.0,0.0
20,2020-03-20,69.79,65.48,79.63,100.0,484.0,149.0,4.0,0.0,0.0,0.0,0.0
21,2020-03-21,69.79,65.48,79.63,100.0,670.0,186.0,8.0,4.0,0.0,0.0,0.0
22,2020-03-22,69.79,65.48,79.63,100.0,798.0,128.0,8.0,0.0,0.0,0.0,0.0
23,2020-03-23,69.79,65.48,79.63,100.0,875.0,77.0,8.0,0.0,0.0,0.0,0.0
24,2020-03-24,69.79,65.48,79.63,100.0,1099.0,224.0,8.0,0.0,0.0,0.0,0.0
25,2020-03-25,69.79,65.48,79.63,100.0,1333.0,234.0,8.0,0.0,0.0,0.0,0.0
26,2020-03-26,69.79,65.48,79.63,100.0,1453.0,120.0,9.0,1.0,0.0,0.0,0.0
27,2020-03-27,69.79,65.48,79.63,100.0,1605.0,152.0,15.0,6.0,0.0,0.0,0.0
28,2020-03-28,69.79,65.48,79.63,100.0,1831.0,226.0,18.0,3.0,0.0,0.0,0.0
29,2020-03-29,69.79,65.48,79.63,100.0,1950.0,119.0,21.0,3.0,0.0,0.0,0.0
30,2020-03-30,69.79,65.48,79.63,100.0,1988.0,38.0,22.0,1.0,0.0,0.0,0.0
31,2020-03-31,69.79,65.48,79.63,100.0,2178.0,190.0,23.0,1.0,0.0,0.0,0.0
32,2020-04-01,69.79,65.48,79.63,100.0,2319.0,141.0,29.0,6.0,0.0,0.0,0.0
33,2020-04-02,69.79,65.48,79.63,100.0,2487.0,168.0,30.0,1.0,0.0,0.0,0.0
34,2020-04-03,69.79,65.48,79.63,100.0,2612.0,125.0,31.0,1.0,0.0,0.0,0.0
35,2020-04-04,69.79,65.48,79.63,100.0,2729.0,117.0,31.0,0.0,0.0,0.0,0.0
36,2020-04-05,69.79,65.48,79.63,100.0,2804.0,75.0,36.0,5.0,0.0,0.0,0.0
37,2020-04-06,69.79,65.48,79.63,100.0,2843.0,39.0,41.0,5.0,0.0,0.0,0.0
38,2020-04-07,69.79,65.48,79.63,100.0,2970.0,127.0,44.0,3.0,0.0,0.0,0.0
39,2020-04-08,71.35,67.26,79.63,100.0,3034.0,64.0,46.0,2.0,0.0,0.0,0.0
40,2020-04-09,71.35,67.26,79.63,100.0,3115.0,81.0,52.0,6.0,0.0,0.0,0.0
41,2020-04-10,71.35,67.26,79.63,100.0,3223.0,108.0,54.0,2.0,0.0,0.0,0.0
42,2020-04-11,71.35,67.26,79.63,100.0,3270.0,47.0,62.0,8.0,0.0,0.0,0.0
43,2020-04-12,71.35,67.26,79.63,100.0,3281.0,11.0,66.0,4.0,0.0,0.0,0.0
44,2020-04-13,71.35,67.26,79.63,100.0,3292.0,11.0,69.0,3.0,0.0,0.0,0.0
45,2020-04-14,71.35,67.26,79.63,100.0,3307.0,15.0,67.0,0.0,0.0,0.0,0.0
46,2020-04-15,71.35,67.26,79.63,100.0,3373.0,66.0,69.0,2.0,0.0,0.0,0.0
47,2020-04-16,71.35,67.26,79.63,100.0,3444.0,71.0,69.0,0.0,0.0,0.0,0.0
48,2020-04-17,71.35,67.26,79.63,100.0,3480.0,36.0,72.0,3.0,0.0,0.0,0.0
49,2020-04-18,71.35,67.26,79.63,100.0,3537.0,57.0,72.0,0.0,0.0,0.0,0.0
50,2020-04-19,71.35,67.26,79.63,100.0,3550.0,13.0,73.0,1.0,0.0,0.0,0.0
51,2020-04-20,67.19,62.5,70.37,100.0,3558.0,8.0,75.0,2.0,0.0,0.0,0.0
52,2020-04-21,67.19,62.5,70.37,100.0,3618.0,60.0,78.0,3.0,0.0,0.0,0.0
53,2020-04-22,67.19,62.5,70.37,100.0,3654.0,36.0,80.0,2.0,0.0,0.0,0.0
54,2020-04-23,67.19,62.5,70.37,100.0,3665.0,11.0,83.0,3.0,0.0,0.0,0.0
55,2020-04-24,67.19,62.5,70.37,100.0,3695.0,30.0,85.0,2.0,0.0,0.0,0.0
56,2020-04-25,67.19,62.5,70.37,100.0,3711.0,16.0,85.0,0.0,0.0,0.0,0.0
57,2020-04-26,67.19,62.5,70.37,100.0,3723.0,12.0,88.0,3.0,0.0,0.0,0.0
58,2020-04-27,67.19,62.5,70.37,100.0,3729.0,6.0,88.0,0.0,0.0,0.0,0.0
59,2020-04-28,67.19,62.5,70.37,100.0,3741.0,12.0,89.0,1.0,0.0,0.0,0.0
60,2020-04-29,67.19,62.5,70.37,100.0,3769.0,28.0,89.0,0.0,0.0,0.0,0.0
61,2020-04-30,67.19,62.5,70.37,100.0,3784.0,15.0,90.0,1.0,0.0,0.0,0.0
