,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-04-02,32.81,37.5,52.78,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
1,2020-04-03,35.94,41.07,52.78,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-04-04,39.58,45.24,56.48,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
3,2020-04-05,39.58,45.24,56.48,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-04-06,39.58,45.24,56.48,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
5,2020-04-07,41.67,47.62,56.48,0.0,8.0,3.0,1.0,1.0,0.0,0.0,0.0
6,2020-04-08,41.67,47.62,56.48,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
7,2020-04-09,47.92,47.62,56.48,50.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
8,2020-04-10,47.92,47.62,56.48,50.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0
9,2020-04-11,47.92,47.62,56.48,50.0,12.0,3.0,2.0,1.0,0.0,0.0,0.0
10,2020-04-12,47.92,47.62,56.48,50.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0
11,2020-04-13,47.92,47.62,56.48,50.0,16.0,3.0,2.0,0.0,0.0,0.0,0.0
12,2020-04-14,47.92,47.62,56.48,50.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0
13,2020-04-15,47.92,47.62,56.48,50.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0
14,2020-04-16,47.92,47.62,56.48,50.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0
15,2020-04-17,47.92,47.62,56.48,50.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0
16,2020-04-18,50.0,50.0,60.19,50.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0
17,2020-04-19,50.0,50.0,60.19,50.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0
18,2020-04-20,51.56,50.0,60.19,62.5,17.0,0.0,2.0,0.0,0.0,0.0,0.0
19,2020-04-21,51.56,50.0,60.19,62.5,18.0,1.0,2.0,0.0,0.0,0.0,0.0
20,2020-04-22,51.56,50.0,60.19,62.5,23.0,5.0,3.0,1.0,0.0,0.0,0.0
21,2020-04-23,51.56,50.0,60.19,62.5,33.0,10.0,3.0,0.0,0.0,0.0,0.0
22,2020-04-24,51.56,50.0,60.19,62.5,33.0,0.0,3.0,0.0,0.0,0.0,0.0
23,2020-04-25,51.56,50.0,60.19,62.5,33.0,0.0,3.0,0.0,0.0,0.0,0.0
24,2020-04-26,51.56,50.0,60.19,62.5,34.0,1.0,3.0,0.0,0.0,0.0,0.0
25,2020-04-27,51.56,50.0,60.19,62.5,36.0,2.0,3.0,0.0,0.0,0.0,0.0
26,2020-04-28,51.56,50.0,60.19,62.5,36.0,0.0,3.0,0.0,0.0,0.0,0.0
27,2020-04-29,51.56,50.0,60.19,62.5,36.0,0.0,3.0,0.0,0.0,0.0,0.0
28,2020-04-30,51.56,50.0,60.19,62.5,37.0,1.0,3.0,0.0,0.0,0.0,0.0
29,2020-05-01,56.25,50.0,60.19,100.0,37.0,0.0,3.0,0.0,0.0,0.0,0.0
30,2020-05-02,56.25,50.0,60.19,100.0,38.0,1.0,3.0,0.0,0.0,0.0,0.0
31,2020-05-03,56.25,50.0,60.19,100.0,39.0,1.0,3.0,0.0,0.0,0.0,0.0
32,2020-05-04,56.25,50.0,60.19,100.0,41.0,2.0,3.0,0.0,0.0,0.0,0.0
33,2020-05-05,56.25,50.0,60.19,100.0,41.0,0.0,3.0,0.0,0.0,0.0,0.0
34,2020-05-06,56.25,50.0,60.19,100.0,43.0,2.0,3.0,0.0,0.0,0.0,0.0
35,2020-05-07,56.25,50.0,60.19,100.0,43.0,0.0,3.0,0.0,0.0,0.0,0.0
36,2020-05-08,56.25,50.0,60.19,100.0,43.0,0.0,3.0,0.0,0.0,0.0,0.0
37,2020-05-09,56.25,50.0,60.19,100.0,56.0,13.0,3.0,0.0,0.0,0.0,0.0
38,2020-05-10,56.25,50.0,60.19,100.0,56.0,0.0,3.0,0.0,0.0,0.0,0.0
39,2020-05-11,56.25,50.0,60.19,100.0,57.0,1.0,3.0,0.0,0.0,0.0,0.0
40,2020-05-12,56.25,50.0,60.19,100.0,57.0,0.0,3.0,0.0,0.0,0.0,0.0
41,2020-05-13,56.25,50.0,60.19,100.0,63.0,6.0,3.0,0.0,0.0,0.0,0.0
42,2020-05-14,56.25,50.0,60.19,100.0,63.0,0.0,3.0,0.0,0.0,0.0,0.0
43,2020-05-15,56.25,50.0,60.19,100.0,63.0,0.0,3.0,0.0,0.0,0.0,0.0
44,2020-05-16,56.25,50.0,60.19,100.0,65.0,2.0,3.0,0.0,0.0,0.0,0.0
45,2020-05-17,56.25,50.0,60.19,100.0,70.0,5.0,3.0,0.0,0.0,0.0,0.0
46,2020-05-18,56.25,50.0,60.19,100.0,70.0,0.0,3.0,0.0,0.0,0.0,0.0
47,2020-05-19,56.25,50.0,60.19,100.0,70.0,0.0,3.0,0.0,0.0,0.0,0.0
48,2020-05-20,56.25,50.0,60.19,100.0,71.0,1.0,3.0,0.0,0.0,0.0,0.0
49,2020-05-21,56.25,50.0,60.19,100.0,72.0,1.0,3.0,0.0,0.0,0.0,0.0
50,2020-05-22,56.25,50.0,60.19,100.0,82.0,10.0,3.0,0.0,0.0,0.0,0.0
51,2020-05-23,56.25,50.0,60.19,100.0,82.0,0.0,3.0,0.0,0.0,0.0,0.0
52,2020-05-24,56.25,50.0,60.19,100.0,83.0,1.0,4.0,1.0,0.0,0.0,0.0
53,2020-05-25,56.25,50.0,60.19,100.0,101.0,18.0,4.0,0.0,0.0,0.0,0.0
54,2020-05-26,56.25,50.0,60.19,100.0,101.0,0.0,4.0,0.0,0.0,0.0,0.0
55,2020-05-27,56.25,50.0,60.19,100.0,101.0,0.0,4.0,0.0,0.0,0.0,0.0
56,2020-05-28,56.25,50.0,60.19,100.0,203.0,102.0,4.0,0.0,0.0,0.0,0.0
57,2020-05-29,56.25,50.0,60.19,100.0,273.0,70.0,4.0,0.0,0.0,0.0,0.0
58,2020-05-30,56.25,50.0,60.19,100.0,279.0,6.0,4.0,0.0,0.0,0.0,0.0
