,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-25,44.27,50.6,75.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-26,44.27,50.6,75.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-27,44.27,50.6,75.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-28,44.27,50.6,75.0,0.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-29,44.27,50.6,75.0,0.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0
5,2020-03-30,44.27,50.6,75.0,0.0,25.0,7.0,2.0,1.0,0.0,0.0,0.0
6,2020-03-31,44.27,50.6,75.0,0.0,28.0,3.0,2.0,0.0,0.0,0.0,0.0
7,2020-04-01,50.52,50.6,75.0,50.0,31.0,3.0,3.0,1.0,0.0,0.0,0.0
8,2020-04-02,50.52,50.6,75.0,50.0,36.0,5.0,3.0,0.0,0.0,0.0,0.0
9,2020-04-03,50.52,50.6,75.0,50.0,39.0,3.0,3.0,0.0,0.0,0.0,0.0
10,2020-04-04,50.52,50.6,75.0,50.0,41.0,2.0,3.0,0.0,0.0,0.0,0.0
11,2020-04-05,50.52,50.6,75.0,50.0,45.0,4.0,5.0,2.0,0.0,0.0,0.0
12,2020-04-06,50.52,50.6,75.0,50.0,47.0,2.0,5.0,0.0,0.0,0.0,0.0
13,2020-04-07,50.52,50.6,75.0,50.0,56.0,9.0,5.0,0.0,0.0,0.0,0.0
14,2020-04-08,50.52,50.6,75.0,50.0,59.0,3.0,7.0,2.0,0.0,0.0,0.0
15,2020-04-09,50.52,50.6,75.0,50.0,74.0,15.0,7.0,0.0,0.0,0.0,0.0
16,2020-04-10,50.52,50.6,75.0,50.0,87.0,13.0,7.0,0.0,0.0,0.0,0.0
17,2020-04-11,50.52,50.6,75.0,50.0,87.0,0.0,7.0,0.0,0.0,0.0,0.0
18,2020-04-12,50.52,50.6,75.0,50.0,105.0,18.0,9.0,2.0,0.0,0.0,0.0
19,2020-04-13,50.52,50.6,75.0,50.0,123.0,18.0,10.0,1.0,0.0,0.0,0.0
20,2020-04-14,56.77,57.74,75.0,50.0,144.0,21.0,13.0,3.0,0.0,0.0,0.0
21,2020-04-15,56.77,57.74,75.0,50.0,148.0,4.0,13.0,0.0,0.0,0.0,0.0
22,2020-04-16,56.77,57.74,75.0,50.0,171.0,23.0,13.0,0.0,0.0,0.0,0.0
23,2020-04-17,56.77,57.74,75.0,50.0,171.0,0.0,13.0,0.0,0.0,0.0,0.0
24,2020-04-18,56.77,57.74,75.0,50.0,216.0,45.0,13.0,0.0,0.0,0.0,0.0
25,2020-04-19,56.77,57.74,75.0,50.0,224.0,8.0,14.0,1.0,0.0,0.0,0.0
26,2020-04-20,56.77,57.74,75.0,50.0,246.0,22.0,14.0,0.0,0.0,0.0,0.0
27,2020-04-21,56.77,57.74,75.0,50.0,258.0,12.0,14.0,0.0,0.0,0.0,0.0
28,2020-04-22,56.77,57.74,75.0,50.0,293.0,35.0,17.0,3.0,0.0,0.0,0.0
29,2020-04-23,56.77,57.74,75.0,50.0,309.0,16.0,21.0,4.0,0.0,0.0,0.0
30,2020-04-24,56.77,57.74,75.0,50.0,325.0,16.0,21.0,0.0,0.0,0.0,0.0
31,2020-04-25,56.77,57.74,75.0,50.0,370.0,45.0,21.0,0.0,0.0,0.0,0.0
32,2020-04-26,56.77,57.74,75.0,50.0,389.0,19.0,23.0,2.0,0.0,0.0,0.0
33,2020-04-27,56.77,57.74,75.0,50.0,408.0,19.0,23.0,0.0,0.0,0.0,0.0
34,2020-04-28,56.77,57.74,75.0,50.0,424.0,16.0,24.0,1.0,0.0,0.0,0.0
35,2020-04-29,56.77,57.74,75.0,50.0,482.0,58.0,25.0,1.0,0.0,0.0,0.0
36,2020-04-30,56.77,57.74,75.0,50.0,490.0,8.0,26.0,1.0,0.0,0.0,0.0
37,2020-05-01,55.73,56.55,69.44,50.0,508.0,18.0,26.0,0.0,0.0,0.0,0.0
38,2020-05-02,55.73,56.55,69.44,50.0,544.0,36.0,26.0,0.0,0.0,0.0,0.0
39,2020-05-03,55.73,56.55,69.44,50.0,563.0,19.0,27.0,1.0,0.0,0.0,0.0
40,2020-05-04,55.73,56.55,69.44,50.0,580.0,17.0,29.0,2.0,0.0,0.0,0.0
41,2020-05-05,55.73,56.55,69.44,50.0,612.0,32.0,32.0,3.0,0.0,0.0,0.0
42,2020-05-06,55.73,56.55,69.44,50.0,631.0,19.0,32.0,0.0,0.0,0.0,0.0
43,2020-05-07,55.73,56.55,69.44,50.0,650.0,19.0,32.0,0.0,0.0,0.0,0.0
44,2020-05-08,55.73,56.55,69.44,50.0,668.0,18.0,35.0,3.0,0.0,0.0,0.0
45,2020-05-09,60.42,61.9,69.44,50.0,692.0,24.0,37.0,2.0,0.0,0.0,0.0
46,2020-05-10,51.04,51.19,56.48,50.0,704.0,12.0,38.0,1.0,0.0,0.0,0.0
47,2020-05-11,51.04,51.19,56.48,50.0,712.0,8.0,39.0,1.0,0.0,0.0,0.0
48,2020-05-12,51.04,51.19,56.48,50.0,730.0,18.0,40.0,1.0,0.0,0.0,0.0
49,2020-05-13,51.04,51.19,56.48,50.0,758.0,28.0,44.0,4.0,0.0,0.0,0.0
50,2020-05-14,51.04,51.19,56.48,50.0,779.0,21.0,46.0,2.0,0.0,0.0,0.0
51,2020-05-15,51.04,51.19,56.48,50.0,806.0,27.0,46.0,0.0,0.0,0.0,0.0
52,2020-05-16,51.04,51.19,56.48,50.0,835.0,29.0,48.0,2.0,0.0,0.0,0.0
53,2020-05-17,51.04,51.19,56.48,50.0,860.0,25.0,52.0,4.0,0.0,0.0,0.0
54,2020-05-18,51.04,51.19,56.48,50.0,874.0,14.0,52.0,0.0,0.0,0.0,0.0
55,2020-05-19,51.04,51.19,56.48,50.0,901.0,27.0,53.0,1.0,0.0,0.0,0.0
56,2020-05-20,51.04,51.19,56.48,50.0,931.0,30.0,55.0,2.0,0.0,0.0,0.0
57,2020-05-21,51.04,51.19,56.48,50.0,947.0,16.0,60.0,5.0,0.0,0.0,0.0
58,2020-05-22,51.04,51.19,56.48,50.0,969.0,22.0,62.0,2.0,0.0,0.0,0.0
59,2020-05-23,51.04,51.19,56.48,50.0,1015.0,46.0,63.0,1.0,0.0,0.0,0.0
60,2020-05-24,51.04,51.19,56.48,50.0,1030.0,15.0,65.0,2.0,0.0,0.0,0.0
61,2020-05-25,51.04,51.19,56.48,50.0,1059.0,29.0,67.0,2.0,0.0,0.0,0.0
62,2020-05-26,51.04,51.19,56.48,50.0,1077.0,18.0,70.0,3.0,0.0,0.0,0.0
63,2020-05-27,51.04,51.19,56.48,50.0,1116.0,39.0,70.0,0.0,0.0,0.0,0.0
64,2020-05-28,51.04,51.19,56.48,50.0,1194.0,78.0,72.0,2.0,0.0,0.0,0.0
65,2020-05-29,51.04,51.19,56.48,50.0,1226.0,32.0,73.0,1.0,0.0,0.0,0.0
66,2020-05-30,51.04,51.19,56.48,50.0,1250.0,24.0,76.0,3.0,0.0,0.0,0.0
67,2020-05-31,51.04,51.19,56.48,50.0,1265.0,15.0,77.0,1.0,0.0,0.0,0.0
68,2020-06-01,51.04,51.19,56.48,50.0,1315.0,50.0,78.0,1.0,0.0,0.0,0.0
69,2020-06-02,48.96,48.81,52.78,50.0,1351.0,36.0,78.0,0.0,0.0,0.0,0.0
70,2020-06-03,48.96,48.81,52.78,50.0,1386.0,35.0,79.0,1.0,0.0,0.0,0.0
71,2020-06-04,48.96,48.81,52.78,50.0,1461.0,75.0,85.0,6.0,0.0,0.0,0.0
72,2020-06-05,48.96,48.81,52.78,50.0,1485.0,24.0,87.0,2.0,0.0,0.0,0.0
73,2020-06-06,48.96,48.81,52.78,50.0,1523.0,38.0,90.0,3.0,0.0,0.0,0.0
74,2020-06-07,48.96,48.81,52.78,50.0,1533.0,10.0,90.0,0.0,0.0,0.0,0.0
75,2020-06-08,48.96,48.81,52.78,50.0,1547.0,14.0,92.0,2.0,0.0,0.0,0.0
76,2020-06-09,48.96,48.81,52.78,50.0,1586.0,39.0,94.0,2.0,0.0,0.0,0.0
77,2020-06-10,48.96,48.81,52.78,50.0,1667.0,81.0,96.0,2.0,0.0,0.0,0.0
78,2020-06-11,48.96,48.81,52.78,50.0,1722.0,55.0,97.0,1.0,0.0,0.0,0.0
79,2020-06-12,48.96,48.81,52.78,50.0,1752.0,30.0,101.0,4.0,0.0,0.0,0.0
80,2020-06-13,48.96,48.81,52.78,50.0,1776.0,24.0,104.0,3.0,0.0,0.0,0.0
81,2020-06-14,48.96,48.81,52.78,50.0,1809.0,33.0,104.0,0.0,0.0,0.0,0.0
82,2020-06-15,48.96,48.81,52.78,50.0,1860.0,51.0,104.0,0.0,0.0,0.0,0.0
83,2020-06-16,48.96,48.81,52.78,50.0,1885.0,25.0,104.0,0.0,0.0,0.0,0.0
84,2020-06-17,48.96,48.81,52.78,50.0,1890.0,5.0,107.0,3.0,0.0,0.0,0.0
85,2020-06-18,48.96,48.81,52.78,50.0,1906.0,16.0,107.0,0.0,0.0,0.0,0.0
86,2020-06-19,48.96,48.81,52.78,50.0,1923.0,17.0,108.0,1.0,0.0,0.0,0.0
87,2020-06-20,48.96,48.81,52.78,50.0,1933.0,10.0,109.0,1.0,0.0,0.0,0.0
88,2020-06-21,48.96,48.81,52.78,50.0,1933.0,0.0,109.0,0.0,0.0,0.0,0.0
89,2020-06-22,48.96,48.81,52.78,50.0,1961.0,28.0,111.0,2.0,0.0,0.0,0.0
90,2020-06-23,48.96,48.81,52.78,50.0,1978.0,17.0,111.0,0.0,0.0,0.0,0.0
91,2020-06-24,48.96,48.81,52.78,50.0,2005.0,27.0,112.0,1.0,0.0,0.0,0.0
92,2020-06-25,48.96,48.81,52.78,50.0,2039.0,34.0,113.0,1.0,0.0,0.0,0.0
93,2020-06-26,48.96,48.81,52.78,50.0,2060.0,21.0,113.0,0.0,0.0,0.0,0.0
94,2020-06-27,48.96,48.81,52.78,50.0,2118.0,58.0,113.0,0.0,0.0,0.0,0.0
95,2020-06-28,48.96,48.81,52.78,50.0,2147.0,29.0,114.0,1.0,0.0,0.0,0.0
96,2020-06-29,48.96,48.81,52.78,50.0,2173.0,26.0,115.0,1.0,0.0,0.0,0.0
97,2020-06-30,48.96,48.81,52.78,50.0,2181.0,8.0,116.0,1.0,0.0,0.0,0.0
98,2020-07-01,48.96,48.81,52.78,50.0,2202.0,21.0,116.0,0.0,0.0,0.0,0.0
99,2020-07-02,48.96,48.81,52.78,50.0,2260.0,58.0,117.0,1.0,0.0,0.0,0.0
100,2020-07-03,48.96,48.81,52.78,50.0,2285.0,25.0,117.0,0.0,0.0,0.0,0.0
101,2020-07-04,48.96,48.81,52.78,50.0,2303.0,18.0,118.0,1.0,0.0,0.0,0.0
102,2020-07-05,48.96,48.81,52.78,50.0,2330.0,27.0,119.0,1.0,0.0,0.0,0.0
103,2020-07-06,48.96,48.81,52.78,50.0,2331.0,1.0,119.0,0.0,0.0,0.0,0.0
104,2020-07-07,48.96,48.81,52.78,50.0,2348.0,17.0,119.0,0.0,0.0,0.0,0.0
105,2020-07-08,48.96,48.81,52.78,50.0,2358.0,10.0,120.0,1.0,0.0,0.0,0.0
106,2020-07-09,48.96,48.81,52.78,50.0,2370.0,12.0,120.0,0.0,0.0,0.0,0.0
107,2020-07-10,48.96,48.81,52.78,50.0,2404.0,34.0,121.0,1.0,0.0,0.0,0.0
108,2020-07-11,48.96,48.81,52.78,50.0,2406.0,2.0,121.0,0.0,0.0,0.0,0.0
109,2020-07-12,48.96,48.81,52.78,50.0,2411.0,5.0,121.0,0.0,0.0,0.0,0.0
110,2020-07-13,48.96,48.81,52.78,50.0,2412.0,1.0,121.0,0.0,0.0,0.0,0.0
111,2020-07-14,48.96,48.81,52.78,50.0,2423.0,11.0,121.0,0.0,0.0,0.0,0.0
