,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-07,14.58,16.67,11.11,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-08,14.58,16.67,11.11,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-09,17.71,20.24,16.67,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-10,26.04,29.76,27.78,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-11,26.04,29.76,27.78,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-12,29.17,33.33,33.33,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-13,50.0,53.57,57.41,25.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-14,50.0,53.57,57.41,25.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-15,50.0,53.57,57.41,25.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-16,50.0,53.57,57.41,25.0,30.0,9.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-17,50.0,53.57,57.41,25.0,38.0,8.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-18,57.81,57.14,62.96,62.5,38.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-19,57.81,57.14,62.96,62.5,53.0,15.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-20,57.81,57.14,62.96,62.5,64.0,11.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-21,59.38,58.93,65.74,62.5,73.0,9.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-22,59.38,58.93,65.74,62.5,90.0,17.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-23,61.46,61.31,69.44,62.5,107.0,17.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-24,61.46,61.31,69.44,62.5,110.0,3.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-25,63.54,63.69,69.44,62.5,129.0,19.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-26,63.54,63.69,69.44,62.5,134.0,5.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-27,63.54,63.69,69.44,62.5,139.0,5.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-28,72.4,73.81,81.48,62.5,149.0,10.0,0.0,0.0,0.0,0.0,0.0
