,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-14,15.62,17.86,16.67,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-15,15.62,17.86,16.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-16,21.88,25.0,27.78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-17,21.88,25.0,27.78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-18,21.88,25.0,27.78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-19,38.54,44.05,57.41,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-20,38.54,44.05,57.41,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-21,38.54,44.05,57.41,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-22,38.54,44.05,57.41,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-23,41.67,47.62,62.96,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-24,41.67,47.62,62.96,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-25,47.92,47.62,62.96,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-26,47.92,47.62,62.96,50.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-27,50.0,50.0,66.67,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-28,50.0,50.0,66.67,50.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-29,56.25,57.14,77.78,50.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-30,56.25,57.14,77.78,50.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0
17,2020-03-31,56.25,57.14,77.78,50.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0
18,2020-04-01,56.25,57.14,77.78,50.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
19,2020-04-02,56.25,57.14,77.78,50.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
20,2020-04-03,56.25,57.14,77.78,50.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
21,2020-04-04,56.25,57.14,77.78,50.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
22,2020-04-05,56.25,57.14,77.78,50.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
23,2020-04-06,56.25,57.14,77.78,50.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
24,2020-04-07,56.25,57.14,77.78,50.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
25,2020-04-08,56.25,57.14,77.78,50.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
26,2020-04-09,56.25,57.14,77.78,50.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0
27,2020-04-10,56.25,57.14,77.78,50.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
