,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-18,8.33,5.95,5.56,25.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-19,17.71,16.67,22.22,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-20,33.33,34.52,50.0,25.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-21,36.46,38.1,50.0,25.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-22,36.46,38.1,50.0,25.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-23,48.44,51.79,71.3,25.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-24,48.44,51.79,71.3,25.0,36.0,12.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-25,48.44,51.79,71.3,25.0,42.0,6.0,2.0,2.0,0.0,0.0,0.0
8,2020-03-26,54.69,58.93,82.41,25.0,48.0,6.0,2.0,0.0,0.0,0.0,0.0
9,2020-03-27,54.69,58.93,82.41,25.0,82.0,34.0,2.0,0.0,0.0,0.0,0.0
10,2020-03-28,54.69,58.93,82.41,25.0,94.0,12.0,2.0,0.0,0.0,0.0,0.0
11,2020-03-29,54.69,58.93,82.41,25.0,102.0,8.0,2.0,0.0,0.0,0.0,0.0
12,2020-03-30,54.69,58.93,82.41,25.0,107.0,5.0,2.0,0.0,0.0,0.0,0.0
13,2020-03-31,54.69,58.93,82.41,25.0,125.0,18.0,3.0,1.0,0.0,0.0,0.0
14,2020-04-01,57.81,58.93,82.41,50.0,143.0,18.0,5.0,2.0,0.0,0.0,0.0
15,2020-04-02,57.81,58.93,82.41,50.0,154.0,11.0,5.0,0.0,0.0,0.0,0.0
16,2020-04-03,57.81,58.93,82.41,50.0,171.0,17.0,7.0,2.0,0.0,0.0,0.0
17,2020-04-04,61.98,63.69,82.41,50.0,186.0,15.0,7.0,0.0,0.0,0.0,0.0
18,2020-04-05,61.98,63.69,82.41,50.0,196.0,10.0,7.0,0.0,0.0,0.0,0.0
19,2020-04-06,61.98,63.69,82.41,50.0,227.0,31.0,7.0,0.0,0.0,0.0,0.0
20,2020-04-07,61.98,63.69,82.41,50.0,244.0,17.0,7.0,0.0,0.0,0.0,0.0
21,2020-04-08,61.98,63.69,82.41,50.0,268.0,24.0,7.0,0.0,0.0,0.0,0.0
22,2020-04-09,61.98,63.69,82.41,50.0,273.0,5.0,7.0,0.0,0.0,0.0,0.0
23,2020-04-10,61.98,63.69,82.41,50.0,314.0,41.0,7.0,0.0,0.0,0.0,0.0
24,2020-04-11,61.98,63.69,82.41,50.0,318.0,4.0,9.0,2.0,0.0,0.0,0.0
25,2020-04-12,61.98,63.69,82.41,50.0,319.0,1.0,9.0,0.0,0.0,0.0,0.0
26,2020-04-13,61.98,63.69,82.41,50.0,324.0,5.0,9.0,0.0,0.0,0.0,0.0
27,2020-04-14,61.98,63.69,82.41,50.0,324.0,0.0,9.0,0.0,0.0,0.0,0.0
28,2020-04-15,61.98,63.69,82.41,50.0,324.0,0.0,9.0,0.0,0.0,0.0,0.0
29,2020-04-16,61.98,63.69,82.41,50.0,324.0,0.0,9.0,0.0,0.0,0.0,0.0
30,2020-04-17,61.98,63.69,82.41,50.0,324.0,0.0,9.0,0.0,0.0,0.0,0.0
31,2020-04-18,61.98,63.69,82.41,50.0,324.0,0.0,9.0,0.0,0.0,0.0,0.0
32,2020-04-19,61.98,63.69,82.41,50.0,325.0,1.0,9.0,0.0,0.0,0.0,0.0
33,2020-04-20,61.98,63.69,82.41,50.0,328.0,3.0,9.0,0.0,0.0,0.0,0.0
