,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-28,4.69,5.36,2.78,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-02-29,4.69,5.36,2.78,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-01,4.69,5.36,2.78,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-02,4.69,5.36,2.78,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-03,4.69,5.36,2.78,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-04,4.69,5.36,2.78,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-05,4.69,5.36,2.78,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-06,4.69,5.36,2.78,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-07,4.69,5.36,2.78,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-08,4.69,5.36,2.78,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-09,4.69,5.36,2.78,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-10,4.69,5.36,2.78,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-11,4.69,5.36,2.78,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-12,4.69,5.36,2.78,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-13,4.69,5.36,2.78,0.0,26.0,14.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-14,4.69,5.36,2.78,0.0,41.0,15.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-15,6.77,7.74,2.78,0.0,53.0,12.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-16,6.77,7.74,2.78,0.0,82.0,29.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-17,6.77,7.74,2.78,0.0,93.0,11.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-18,6.77,7.74,2.78,0.0,118.0,25.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-19,6.77,7.74,2.78,0.0,164.0,46.0,1.0,1.0,0.0,0.0,0.0
21,2020-03-20,6.77,7.74,2.78,0.0,203.0,39.0,2.0,1.0,0.0,0.0,0.0
22,2020-03-21,9.9,11.31,8.33,0.0,251.0,48.0,2.0,0.0,0.0,0.0,0.0
23,2020-03-22,9.9,11.31,8.33,0.0,316.0,65.0,3.0,1.0,0.0,0.0,0.0
24,2020-03-23,16.15,18.45,19.44,0.0,367.0,51.0,4.0,1.0,0.0,0.0,0.0
25,2020-03-24,34.9,39.88,52.78,0.0,405.0,38.0,5.0,1.0,0.0,0.0,0.0
26,2020-03-25,34.9,39.88,52.78,0.0,475.0,70.0,6.0,1.0,0.0,0.0,0.0
27,2020-03-26,41.15,47.02,63.89,0.0,585.0,110.0,8.0,2.0,0.0,0.0,0.0
28,2020-03-27,41.15,47.02,63.89,0.0,717.0,132.0,12.0,4.0,0.0,0.0,0.0
29,2020-03-28,41.15,47.02,63.89,0.0,848.0,131.0,16.0,4.0,0.0,0.0,0.0
30,2020-03-29,41.15,47.02,63.89,0.0,993.0,145.0,20.0,4.0,0.0,0.0,0.0
31,2020-03-30,51.56,58.93,82.41,0.0,1094.0,101.0,28.0,8.0,0.0,0.0,0.0
32,2020-03-31,51.56,58.93,82.41,0.0,1215.0,121.0,29.0,1.0,0.0,0.0,0.0
33,2020-04-01,51.56,58.93,82.41,0.0,1378.0,163.0,37.0,8.0,0.0,0.0,0.0
34,2020-04-02,51.56,58.93,82.41,0.0,1510.0,132.0,50.0,13.0,0.0,0.0,0.0
35,2020-04-03,51.56,58.93,82.41,0.0,1688.0,178.0,60.0,10.0,0.0,0.0,0.0
36,2020-04-04,51.56,58.93,82.41,0.0,1890.0,202.0,79.0,19.0,0.0,0.0,0.0
37,2020-04-05,51.56,58.93,82.41,0.0,2143.0,253.0,94.0,15.0,0.0,0.0,0.0
38,2020-04-06,53.65,61.31,82.41,0.0,2439.0,296.0,125.0,31.0,0.0,0.0,0.0
39,2020-04-07,53.65,61.31,82.41,0.0,2785.0,346.0,141.0,16.0,0.0,0.0,0.0
40,2020-04-08,53.65,61.31,82.41,0.0,3181.0,396.0,174.0,33.0,0.0,0.0,0.0
41,2020-04-09,53.65,61.31,82.41,0.0,3441.0,260.0,194.0,20.0,0.0,0.0,0.0
42,2020-04-10,53.65,61.31,82.41,0.0,3844.0,403.0,233.0,39.0,0.0,0.0,0.0
43,2020-04-11,53.65,61.31,82.41,0.0,4219.0,375.0,273.0,40.0,0.0,0.0,0.0
44,2020-04-12,53.65,61.31,82.41,0.0,4661.0,442.0,296.0,23.0,0.0,0.0,0.0
45,2020-04-13,53.65,61.31,82.41,0.0,5014.0,353.0,332.0,36.0,0.0,0.0,0.0
46,2020-04-14,53.65,61.31,82.41,0.0,5399.0,385.0,406.0,74.0,0.0,0.0,0.0
47,2020-04-15,53.65,61.31,82.41,0.0,5847.0,448.0,449.0,43.0,0.0,0.0,0.0
48,2020-04-16,53.65,61.31,82.41,0.0,6297.0,450.0,486.0,37.0,0.0,0.0,0.0
49,2020-04-17,59.11,67.56,82.41,0.0,6875.0,578.0,546.0,60.0,0.0,0.0,0.0
50,2020-04-18,59.11,67.56,82.41,0.0,7497.0,622.0,650.0,104.0,0.0,0.0,0.0
51,2020-04-19,59.11,67.56,82.41,0.0,8261.0,764.0,686.0,36.0,0.0,0.0,0.0
52,2020-04-20,59.11,67.56,82.41,0.0,8772.0,511.0,712.0,26.0,0.0,0.0,0.0
53,2020-04-21,59.11,67.56,82.41,0.0,9501.0,729.0,857.0,145.0,0.0,0.0,0.0
54,2020-04-22,59.11,67.56,82.41,0.0,10544.0,1043.0,970.0,113.0,0.0,0.0,0.0
55,2020-04-23,59.11,67.56,82.41,0.0,11633.0,1089.0,1069.0,99.0,0.0,0.0,0.0
56,2020-04-24,59.11,67.56,82.41,0.0,12872.0,1239.0,1221.0,152.0,0.0,0.0,0.0
57,2020-04-25,59.11,67.56,82.41,0.0,13842.0,970.0,1305.0,84.0,0.0,0.0,0.0
58,2020-04-26,59.11,67.56,82.41,0.0,14677.0,835.0,1351.0,46.0,0.0,0.0,0.0
59,2020-04-27,59.11,67.56,82.41,0.0,15529.0,852.0,1434.0,83.0,0.0,0.0,0.0
60,2020-04-28,59.11,67.56,82.41,0.0,16752.0,1223.0,1569.0,135.0,0.0,0.0,0.0
61,2020-04-29,59.11,67.56,82.41,0.0,17799.0,1047.0,1732.0,163.0,0.0,0.0,0.0
62,2020-04-30,59.11,67.56,82.41,0.0,19224.0,1425.0,1859.0,127.0,0.0,0.0,0.0
63,2020-05-01,59.11,67.56,82.41,0.0,20739.0,1515.0,1972.0,113.0,0.0,0.0,0.0
64,2020-05-02,59.11,67.56,82.41,0.0,22088.0,1349.0,2061.0,89.0,0.0,0.0,0.0
