,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-10,49.74,56.85,68.06,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-11,49.74,56.85,68.06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-12,49.74,56.85,68.06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-13,49.74,56.85,68.06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-14,49.74,56.85,68.06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-15,49.74,56.85,68.06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-16,49.74,56.85,68.06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-17,44.27,50.6,58.33,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-18,50.52,50.6,58.33,50.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-19,50.52,50.6,58.33,50.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-20,50.52,50.6,58.33,50.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-21,50.52,50.6,58.33,50.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-22,50.52,50.6,58.33,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-23,50.52,50.6,58.33,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-24,52.08,52.38,61.11,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-25,52.08,52.38,61.11,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-26,52.08,52.38,61.11,50.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-27,52.08,52.38,61.11,50.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-28,52.08,52.38,61.11,50.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-29,52.08,52.38,61.11,50.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-30,52.08,52.38,61.11,50.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-31,52.08,52.38,61.11,50.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-04-01,55.21,55.95,66.67,50.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0
23,2020-04-02,55.21,55.95,66.67,50.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-04-03,55.21,55.95,66.67,50.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2020-04-04,55.21,55.95,66.67,50.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-04-05,56.77,57.74,69.44,50.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2020-04-06,56.77,57.74,69.44,50.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2020-04-07,56.77,57.74,69.44,50.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
29,2020-04-08,56.77,57.74,69.44,50.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2020-04-09,56.77,57.74,69.44,50.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
31,2020-04-10,56.77,57.74,69.44,50.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2020-04-11,56.77,57.74,69.44,50.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2020-04-12,56.77,57.74,69.44,50.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2020-04-13,56.77,57.74,69.44,50.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2020-04-14,56.77,57.74,69.44,50.0,30.0,14.0,0.0,0.0,0.0,0.0,0.0
36,2020-04-15,56.77,57.74,69.44,50.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2020-04-16,56.77,57.74,69.44,50.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0
38,2020-04-17,56.77,57.74,69.44,50.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2020-04-18,56.77,57.74,69.44,50.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2020-04-19,56.77,57.74,69.44,50.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0
41,2020-04-20,56.77,57.74,69.44,50.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0
42,2020-04-21,56.77,57.74,69.44,50.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0
