,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-02,4.17,4.76,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-03,4.17,4.76,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-04,7.29,8.33,5.56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-05,7.29,8.33,5.56,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-06,7.29,8.33,5.56,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-07,7.29,8.33,5.56,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-08,7.29,8.33,5.56,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-09,7.29,8.33,5.56,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-10,7.29,8.33,5.56,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
9,2020-03-11,7.29,8.33,5.56,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0
10,2020-03-12,7.29,8.33,5.56,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0
11,2020-03-13,18.23,20.83,25.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0
12,2020-03-14,29.17,33.33,44.44,0.0,17.0,10.0,1.0,0.0,0.0,0.0,0.0
13,2020-03-15,29.17,33.33,44.44,0.0,28.0,11.0,1.0,0.0,0.0,0.0,0.0
14,2020-03-16,35.42,40.48,55.56,0.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0
15,2020-03-17,35.42,40.48,55.56,0.0,38.0,9.0,2.0,1.0,0.0,0.0,0.0
16,2020-03-18,35.42,40.48,55.56,0.0,49.0,11.0,2.0,0.0,0.0,0.0,0.0
17,2020-03-19,35.42,40.48,55.56,0.0,63.0,14.0,2.0,0.0,0.0,0.0,0.0
18,2020-03-20,61.46,70.24,90.74,0.0,77.0,14.0,3.0,1.0,0.0,0.0,0.0
19,2020-03-21,61.46,70.24,90.74,0.0,96.0,19.0,3.0,0.0,0.0,0.0,0.0
20,2020-03-22,61.46,70.24,90.74,0.0,115.0,19.0,4.0,1.0,0.0,0.0,0.0
