,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-27,11.46,13.1,5.56,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-02-28,11.46,13.1,5.56,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0
2,2020-02-29,11.46,13.1,5.56,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-01,11.46,13.1,5.56,0.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-02,11.46,13.1,5.56,0.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-03,11.46,13.1,5.56,0.0,38.0,14.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-04,11.46,13.1,5.56,0.0,82.0,44.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-05,11.46,13.1,5.56,0.0,128.0,46.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-06,14.58,16.67,11.11,0.0,188.0,60.0,1.0,1.0,0.0,0.0,0.0
9,2020-03-07,14.58,16.67,11.11,0.0,265.0,77.0,1.0,0.0,0.0,0.0,0.0
10,2020-03-08,14.58,16.67,11.11,0.0,321.0,56.0,3.0,2.0,0.0,0.0,0.0
11,2020-03-09,16.67,19.05,11.11,0.0,382.0,61.0,3.0,0.0,0.0,0.0,0.0
12,2020-03-10,22.14,25.3,20.83,0.0,503.0,121.0,4.0,1.0,0.0,0.0,0.0
13,2020-03-11,22.14,25.3,20.83,0.0,603.0,100.0,5.0,1.0,0.0,0.0,0.0
14,2020-03-12,32.81,37.5,45.37,0.0,804.0,201.0,5.0,0.0,0.0,0.0,0.0
15,2020-03-13,37.5,42.86,53.7,0.0,959.0,155.0,10.0,5.0,0.0,0.0,0.0
16,2020-03-14,37.5,42.86,53.7,0.0,1135.0,176.0,12.0,2.0,0.0,0.0,0.0
17,2020-03-15,37.5,42.86,53.7,0.0,1413.0,278.0,20.0,8.0,0.0,0.0,0.0
18,2020-03-16,41.67,47.62,61.11,0.0,1705.0,292.0,24.0,4.0,0.0,0.0,0.0
19,2020-03-17,46.35,47.62,61.11,37.5,2051.0,346.0,43.0,19.0,0.0,0.0,0.0
