,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-20,31.77,36.31,52.78,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-21,31.77,36.31,52.78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-22,31.77,36.31,52.78,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-23,31.77,36.31,52.78,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-24,31.77,36.31,52.78,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-25,31.77,36.31,52.78,0.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0
6,2020-03-26,31.77,36.31,52.78,0.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0
7,2020-03-27,34.9,39.88,52.78,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
8,2020-03-28,39.58,45.24,61.11,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
9,2020-03-29,39.58,45.24,61.11,0.0,18.0,8.0,1.0,0.0,0.0,0.0,0.0
10,2020-03-30,39.58,45.24,61.11,0.0,27.0,9.0,3.0,2.0,0.0,0.0,0.0
11,2020-03-31,39.58,45.24,61.11,0.0,27.0,0.0,3.0,0.0,0.0,0.0,0.0
12,2020-04-01,39.58,45.24,61.11,0.0,74.0,47.0,5.0,2.0,0.0,0.0,0.0
13,2020-04-02,39.58,45.24,61.11,0.0,98.0,24.0,5.0,0.0,0.0,0.0,0.0
14,2020-04-03,39.58,45.24,61.11,0.0,120.0,22.0,5.0,0.0,0.0,0.0,0.0
15,2020-04-04,39.58,45.24,61.11,0.0,144.0,24.0,8.0,3.0,0.0,0.0,0.0
16,2020-04-05,39.58,45.24,61.11,0.0,184.0,40.0,10.0,2.0,0.0,0.0,0.0
17,2020-04-06,39.58,45.24,61.11,0.0,253.0,69.0,10.0,0.0,0.0,0.0,0.0
18,2020-04-07,39.58,45.24,61.11,0.0,278.0,25.0,11.0,1.0,0.0,0.0,0.0
19,2020-04-08,39.58,45.24,61.11,0.0,342.0,64.0,11.0,0.0,0.0,0.0,0.0
20,2020-04-09,39.58,45.24,61.11,0.0,410.0,68.0,11.0,0.0,0.0,0.0,0.0
21,2020-04-10,39.58,45.24,61.11,0.0,438.0,28.0,11.0,0.0,0.0,0.0,0.0
22,2020-04-11,39.58,45.24,61.11,0.0,491.0,53.0,11.0,0.0,0.0,0.0,0.0
23,2020-04-12,39.58,45.24,61.11,0.0,529.0,38.0,12.0,1.0,0.0,0.0,0.0
24,2020-04-13,39.58,45.24,61.11,0.0,529.0,0.0,12.0,0.0,0.0,0.0,0.0
25,2020-04-14,39.58,45.24,61.11,0.0,570.0,41.0,14.0,2.0,0.0,0.0,0.0
26,2020-04-15,42.71,45.24,61.11,25.0,584.0,14.0,14.0,0.0,0.0,0.0,0.0
27,2020-04-16,42.71,45.24,61.11,25.0,584.0,0.0,14.0,0.0,0.0,0.0,0.0
28,2020-04-17,42.71,45.24,61.11,25.0,627.0,43.0,18.0,4.0,0.0,0.0,0.0
29,2020-04-18,42.71,45.24,61.11,25.0,639.0,12.0,19.0,1.0,0.0,0.0,0.0
30,2020-04-19,42.71,45.24,61.11,25.0,648.0,9.0,20.0,1.0,0.0,0.0,0.0
31,2020-04-20,42.71,45.24,61.11,25.0,648.0,0.0,20.0,0.0,0.0,0.0,0.0
32,2020-04-21,42.71,45.24,61.11,25.0,657.0,9.0,20.0,0.0,0.0,0.0,0.0
33,2020-04-22,42.71,45.24,61.11,25.0,662.0,5.0,22.0,2.0,0.0,0.0,0.0
34,2020-04-23,47.4,50.6,61.11,25.0,671.0,9.0,24.0,2.0,0.0,0.0,0.0
35,2020-04-24,47.4,50.6,61.11,25.0,681.0,10.0,24.0,0.0,0.0,0.0,0.0
36,2020-04-25,47.4,50.6,61.11,25.0,684.0,3.0,27.0,3.0,0.0,0.0,0.0
37,2020-04-26,47.4,50.6,61.11,25.0,696.0,12.0,29.0,2.0,0.0,0.0,0.0
38,2020-04-27,47.4,50.6,61.11,25.0,701.0,5.0,29.0,0.0,0.0,0.0,0.0
39,2020-04-28,47.4,50.6,61.11,25.0,709.0,8.0,31.0,2.0,0.0,0.0,0.0
40,2020-04-29,47.4,50.6,61.11,25.0,713.0,4.0,32.0,1.0,0.0,0.0,0.0
41,2020-04-30,47.4,50.6,61.11,25.0,719.0,6.0,32.0,0.0,0.0,0.0,0.0
42,2020-05-01,47.4,50.6,61.11,25.0,728.0,9.0,33.0,1.0,0.0,0.0,0.0
43,2020-05-02,47.4,50.6,61.11,25.0,736.0,8.0,35.0,2.0,0.0,0.0,0.0
44,2020-05-03,47.4,50.6,61.11,25.0,750.0,14.0,36.0,1.0,0.0,0.0,0.0
45,2020-05-04,47.4,50.6,61.11,25.0,755.0,5.0,37.0,1.0,0.0,0.0,0.0
46,2020-05-05,47.4,50.6,61.11,25.0,763.0,8.0,38.0,1.0,0.0,0.0,0.0
47,2020-05-06,47.4,50.6,61.11,25.0,770.0,7.0,38.0,0.0,0.0,0.0,0.0
48,2020-05-07,47.4,50.6,61.11,25.0,781.0,11.0,42.0,4.0,0.0,0.0,0.0
49,2020-05-08,47.4,50.6,61.11,25.0,795.0,14.0,44.0,2.0,0.0,0.0,0.0
50,2020-05-09,47.4,50.6,61.11,25.0,815.0,20.0,45.0,1.0,0.0,0.0,0.0
51,2020-05-10,47.4,50.6,61.11,25.0,821.0,6.0,46.0,1.0,0.0,0.0,0.0
52,2020-05-11,47.4,50.6,61.11,25.0,832.0,11.0,46.0,0.0,0.0,0.0,0.0
53,2020-05-12,47.4,50.6,61.11,25.0,854.0,22.0,47.0,1.0,0.0,0.0,0.0
54,2020-05-13,31.77,32.74,33.33,25.0,860.0,6.0,49.0,2.0,0.0,0.0,0.0
55,2020-05-14,31.77,32.74,33.33,25.0,876.0,16.0,50.0,1.0,0.0,0.0,0.0
56,2020-05-15,31.77,32.74,33.33,25.0,885.0,9.0,51.0,1.0,0.0,0.0,0.0
57,2020-05-16,31.77,32.74,33.33,25.0,889.0,4.0,51.0,0.0,0.0,0.0,0.0
58,2020-05-17,31.77,32.74,33.33,25.0,904.0,15.0,54.0,3.0,0.0,0.0,0.0
59,2020-05-18,31.77,32.74,33.33,25.0,909.0,5.0,55.0,1.0,0.0,0.0,0.0
60,2020-05-19,31.77,32.74,33.33,25.0,914.0,5.0,55.0,0.0,0.0,0.0,0.0
61,2020-05-20,31.77,32.74,33.33,25.0,920.0,6.0,58.0,3.0,0.0,0.0,0.0
62,2020-05-21,31.77,32.74,33.33,25.0,924.0,4.0,60.0,2.0,0.0,0.0,0.0
63,2020-05-22,31.77,32.74,33.33,25.0,937.0,13.0,60.0,0.0,0.0,0.0,0.0
64,2020-05-23,31.77,32.74,33.33,25.0,943.0,6.0,61.0,1.0,0.0,0.0,0.0
65,2020-05-24,31.77,32.74,33.33,25.0,945.0,2.0,61.0,0.0,0.0,0.0,0.0
66,2020-05-25,31.77,32.74,33.33,25.0,951.0,6.0,62.0,1.0,0.0,0.0,0.0
67,2020-05-26,31.77,32.74,33.33,25.0,952.0,1.0,63.0,1.0,0.0,0.0,0.0
68,2020-05-27,31.77,32.74,33.33,25.0,952.0,0.0,63.0,0.0,0.0,0.0,0.0
69,2020-05-28,31.77,32.74,33.33,25.0,955.0,3.0,64.0,1.0,0.0,0.0,0.0
70,2020-05-29,31.77,32.74,33.33,25.0,955.0,0.0,64.0,0.0,0.0,0.0,0.0
71,2020-05-30,31.77,32.74,33.33,25.0,956.0,1.0,64.0,0.0,0.0,0.0,0.0
72,2020-05-31,31.77,32.74,33.33,25.0,958.0,2.0,64.0,0.0,0.0,0.0,0.0
73,2020-06-01,27.6,27.98,25.93,25.0,958.0,0.0,65.0,1.0,0.0,0.0,0.0
74,2020-06-02,27.6,27.98,25.93,25.0,960.0,2.0,65.0,0.0,0.0,0.0,0.0
75,2020-06-03,27.6,27.98,25.93,25.0,961.0,1.0,65.0,0.0,0.0,0.0,0.0
76,2020-06-04,27.6,27.98,25.93,25.0,963.0,2.0,65.0,0.0,0.0,0.0,0.0
77,2020-06-05,27.6,27.98,25.93,25.0,966.0,3.0,65.0,0.0,0.0,0.0,0.0
78,2020-06-06,27.6,27.98,25.93,25.0,970.0,4.0,65.0,0.0,0.0,0.0,0.0
79,2020-06-07,27.6,27.98,25.93,25.0,973.0,3.0,65.0,0.0,0.0,0.0,0.0
80,2020-06-08,27.6,27.98,25.93,25.0,973.0,0.0,65.0,0.0,0.0,0.0,0.0
81,2020-06-09,27.6,27.98,25.93,25.0,974.0,1.0,65.0,0.0,0.0,0.0,0.0
82,2020-06-10,27.6,27.98,25.93,25.0,974.0,0.0,65.0,0.0,0.0,0.0,0.0
