,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-28,14.58,16.67,11.11,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-02-29,14.58,16.67,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-01,14.58,16.67,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-02,14.58,16.67,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-03,14.58,16.67,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-04,14.58,16.67,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-05,14.58,16.67,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-06,14.58,16.67,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-07,14.58,16.67,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-08,14.58,16.67,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-09,14.58,16.67,11.11,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-10,14.58,16.67,11.11,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-11,14.58,16.67,11.11,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-12,14.58,16.67,11.11,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-13,14.58,16.67,11.11,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-14,14.58,16.67,11.11,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-15,14.58,16.67,11.11,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-16,14.58,16.67,11.11,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-17,14.58,16.67,11.11,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-18,28.91,33.04,25.46,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-19,28.91,33.04,25.46,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-20,33.59,38.39,33.8,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-21,33.59,38.39,33.8,0.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0
23,2020-03-22,33.59,38.39,33.8,0.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0
24,2020-03-23,41.93,47.92,48.61,0.0,40.0,10.0,1.0,1.0,0.0,0.0,0.0
25,2020-03-24,41.93,47.92,48.61,0.0,44.0,4.0,1.0,0.0,0.0,0.0,0.0
26,2020-03-25,41.93,47.92,48.61,0.0,51.0,7.0,1.0,0.0,0.0,0.0,0.0
27,2020-03-26,44.01,50.3,52.31,0.0,65.0,14.0,1.0,0.0,0.0,0.0,0.0
28,2020-03-27,44.01,50.3,52.31,0.0,70.0,5.0,1.0,0.0,0.0,0.0,0.0
29,2020-03-28,45.57,52.08,55.09,0.0,89.0,19.0,1.0,0.0,0.0,0.0,0.0
30,2020-03-29,61.2,69.94,82.87,0.0,111.0,22.0,1.0,0.0,0.0,0.0,0.0
31,2020-03-30,61.2,69.94,82.87,0.0,131.0,20.0,2.0,1.0,0.0,0.0,0.0
32,2020-03-31,61.2,69.94,82.87,0.0,135.0,4.0,2.0,0.0,0.0,0.0,0.0
33,2020-04-01,61.2,69.94,82.87,0.0,174.0,39.0,2.0,0.0,0.0,0.0,0.0
34,2020-04-02,61.2,69.94,82.87,0.0,184.0,10.0,2.0,0.0,0.0,0.0,0.0
35,2020-04-03,61.2,69.94,82.87,0.0,210.0,26.0,4.0,2.0,0.0,0.0,0.0
36,2020-04-04,61.2,69.94,82.87,0.0,214.0,4.0,4.0,0.0,0.0,0.0,0.0
37,2020-04-05,61.2,69.94,82.87,0.0,232.0,18.0,5.0,1.0,0.0,0.0,0.0
38,2020-04-06,61.2,69.94,82.87,0.0,238.0,6.0,5.0,0.0,0.0,0.0,0.0
39,2020-04-07,61.2,69.94,82.87,0.0,254.0,16.0,6.0,1.0,0.0,0.0,0.0
40,2020-04-08,61.2,69.94,82.87,0.0,276.0,22.0,6.0,0.0,0.0,0.0,0.0
41,2020-04-09,61.2,69.94,82.87,0.0,288.0,12.0,7.0,1.0,0.0,0.0,0.0
42,2020-04-10,61.2,69.94,82.87,0.0,305.0,17.0,7.0,0.0,0.0,0.0,0.0
43,2020-04-11,61.2,69.94,82.87,0.0,318.0,13.0,10.0,3.0,0.0,0.0,0.0
44,2020-04-12,61.2,69.94,82.87,0.0,323.0,5.0,10.0,0.0,0.0,0.0,0.0
45,2020-04-13,62.76,69.94,82.87,12.5,343.0,20.0,10.0,0.0,0.0,0.0,0.0
46,2020-04-14,62.76,69.94,82.87,12.5,373.0,30.0,11.0,1.0,0.0,0.0,0.0
47,2020-04-15,62.76,69.94,82.87,12.5,407.0,34.0,12.0,1.0,0.0,0.0,0.0
48,2020-04-16,62.76,69.94,82.87,12.5,442.0,35.0,13.0,1.0,0.0,0.0,0.0
49,2020-04-17,64.32,71.73,82.87,12.5,493.0,51.0,17.0,4.0,0.0,0.0,0.0
50,2020-04-18,64.32,71.73,82.87,12.5,542.0,49.0,19.0,2.0,0.0,0.0,0.0
51,2020-04-19,64.32,71.73,82.87,12.5,627.0,85.0,21.0,2.0,0.0,0.0,0.0
52,2020-04-20,64.32,71.73,82.87,12.5,665.0,38.0,22.0,1.0,0.0,0.0,0.0
53,2020-04-21,64.32,71.73,82.87,12.5,665.0,0.0,22.0,0.0,0.0,0.0,0.0
54,2020-04-22,64.32,71.73,82.87,12.5,873.0,208.0,28.0,6.0,0.0,0.0,0.0
55,2020-04-23,65.89,73.51,85.65,12.5,981.0,108.0,31.0,3.0,0.0,0.0,0.0
56,2020-04-24,65.89,73.51,85.65,12.5,1095.0,114.0,32.0,1.0,0.0,0.0,0.0
57,2020-04-25,68.23,76.19,85.65,12.5,1182.0,87.0,35.0,3.0,0.0,0.0,0.0
58,2020-04-26,68.23,76.19,85.65,12.5,1273.0,91.0,40.0,5.0,0.0,0.0,0.0
59,2020-04-27,68.23,76.19,85.65,12.5,1337.0,64.0,40.0,0.0,0.0,0.0,0.0
60,2020-04-28,68.23,76.19,85.65,12.5,1532.0,195.0,44.0,4.0,0.0,0.0,0.0
61,2020-04-29,68.23,76.19,85.65,12.5,1728.0,196.0,51.0,7.0,0.0,0.0,0.0
62,2020-04-30,68.23,76.19,85.65,12.5,1932.0,204.0,58.0,7.0,0.0,0.0,0.0
63,2020-05-01,68.23,76.19,85.65,12.5,2170.0,238.0,68.0,10.0,0.0,0.0,0.0
