,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-24,16.67,19.05,19.44,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1,2020-02-25,16.67,19.05,19.44,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-02-26,16.67,19.05,19.44,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
3,2020-02-27,16.67,19.05,19.44,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-02-28,16.67,19.05,19.44,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-02-29,16.67,19.05,19.44,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-01,16.67,19.05,19.44,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-02,16.67,19.05,19.44,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-03,16.67,19.05,19.44,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-04,16.67,19.05,19.44,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-05,16.67,19.05,19.44,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-06,16.67,19.05,19.44,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-07,16.67,19.05,19.44,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-08,16.67,19.05,19.44,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-09,16.67,19.05,19.44,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-10,16.67,19.05,19.44,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-11,16.67,19.05,19.44,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-12,16.67,19.05,19.44,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-13,16.67,19.05,19.44,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-14,16.67,19.05,19.44,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-15,22.92,26.19,30.56,0.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-16,22.92,26.19,30.56,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-17,41.67,47.62,52.78,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0
23,2020-03-18,49.48,56.55,66.67,0.0,39.0,15.0,0.0,0.0,0.0,0.0,0.0
24,2020-03-19,55.73,63.69,77.78,0.0,48.0,9.0,0.0,0.0,0.0,0.0,0.0
25,2020-03-20,55.73,63.69,77.78,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-03-21,57.81,66.07,81.48,0.0,52.0,4.0,0.0,0.0,0.0,0.0,0.0
27,2020-03-22,57.81,66.07,81.48,0.0,55.0,3.0,0.0,0.0,0.0,0.0,0.0
28,2020-03-23,57.81,66.07,81.48,0.0,66.0,11.0,0.0,0.0,0.0,0.0,0.0
29,2020-03-24,60.94,66.07,81.48,25.0,84.0,18.0,0.0,0.0,0.0,0.0,0.0
30,2020-03-25,60.94,66.07,81.48,25.0,99.0,15.0,0.0,0.0,0.0,0.0,0.0
31,2020-03-26,60.94,66.07,81.48,25.0,109.0,10.0,0.0,0.0,0.0,0.0,0.0
