,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-25,16.15,18.45,19.44,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1,2020-02-26,16.15,18.45,19.44,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-02-27,21.35,24.4,28.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-02-28,21.35,24.4,28.7,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
4,2020-02-29,21.35,24.4,28.7,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-01,21.35,24.4,28.7,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-02,21.35,24.4,28.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-03,21.35,24.4,28.7,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-04,21.35,24.4,28.7,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-05,21.35,24.4,28.7,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-06,21.35,24.4,28.7,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-07,21.35,24.4,28.7,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-08,21.35,24.4,28.7,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-09,21.35,24.4,28.7,0.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-10,21.35,24.4,28.7,0.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-11,21.35,24.4,28.7,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-12,21.35,24.4,28.7,0.0,28.0,8.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-13,34.9,39.88,52.78,0.0,31.0,3.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-14,34.9,39.88,52.78,0.0,53.0,22.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-15,34.9,39.88,52.78,0.0,136.0,83.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-16,34.9,39.88,52.78,0.0,236.0,100.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-17,34.9,39.88,52.78,0.0,299.0,63.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-18,34.9,39.88,52.78,0.0,454.0,155.0,2.0,2.0,0.0,0.0,0.0
23,2020-03-19,34.9,39.88,52.78,0.0,501.0,47.0,3.0,1.0,0.0,0.0,0.0
