,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-10,11.98,13.69,8.33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-11,11.98,13.69,8.33,0.0,8.0,7.0,1.0,1.0,0.0,0.0,0.0
2,2020-03-12,18.23,20.83,19.44,0.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0
3,2020-03-13,32.29,36.9,44.44,0.0,27.0,16.0,1.0,0.0,0.0,0.0,0.0
4,2020-03-14,32.29,36.9,44.44,0.0,36.0,9.0,1.0,0.0,0.0,0.0,0.0
5,2020-03-15,32.29,36.9,44.44,0.0,43.0,7.0,1.0,0.0,0.0,0.0,0.0
6,2020-03-16,34.38,39.29,48.15,0.0,55.0,12.0,1.0,0.0,0.0,0.0,0.0
7,2020-03-17,38.54,44.05,51.85,0.0,69.0,14.0,1.0,0.0,0.0,0.0,0.0
8,2020-03-18,38.54,44.05,51.85,0.0,86.0,17.0,1.0,0.0,0.0,0.0,0.0
9,2020-03-19,38.54,44.05,51.85,0.0,109.0,23.0,1.0,0.0,0.0,0.0,0.0
10,2020-03-20,42.71,48.81,59.26,0.0,137.0,28.0,1.0,0.0,0.0,0.0,0.0
11,2020-03-21,42.71,48.81,59.26,0.0,200.0,63.0,1.0,0.0,0.0,0.0,0.0
12,2020-03-22,42.71,48.81,59.26,0.0,313.0,113.0,3.0,2.0,0.0,0.0,0.0
13,2020-03-23,48.96,55.95,70.37,0.0,345.0,32.0,6.0,3.0,0.0,0.0,0.0
14,2020-03-24,52.08,59.52,75.93,0.0,345.0,0.0,6.0,0.0,0.0,0.0,0.0
15,2020-03-25,56.25,64.29,79.63,0.0,443.0,98.0,8.0,2.0,0.0,0.0,0.0
16,2020-03-26,56.25,64.29,79.63,0.0,558.0,115.0,8.0,0.0,0.0,0.0,0.0
17,2020-03-27,56.25,64.29,79.63,0.0,674.0,116.0,9.0,1.0,0.0,0.0,0.0
18,2020-03-28,56.25,64.29,79.63,0.0,786.0,112.0,14.0,5.0,0.0,0.0,0.0
19,2020-03-29,56.25,64.29,79.63,0.0,901.0,115.0,17.0,3.0,0.0,0.0,0.0
20,2020-03-30,56.25,64.29,79.63,0.0,989.0,88.0,24.0,7.0,0.0,0.0,0.0
21,2020-03-31,56.25,64.29,79.63,0.0,1181.0,192.0,30.0,6.0,0.0,0.0,0.0
22,2020-04-01,56.25,64.29,79.63,0.0,1181.0,0.0,30.0,0.0,0.0,0.0,0.0
23,2020-04-02,56.25,64.29,79.63,0.0,1317.0,136.0,32.0,2.0,0.0,0.0,0.0
24,2020-04-03,62.5,71.43,90.74,0.0,1475.0,158.0,37.0,5.0,0.0,0.0,0.0
25,2020-04-04,62.5,71.43,90.74,0.0,1673.0,198.0,41.0,4.0,0.0,0.0,0.0
26,2020-04-05,62.5,71.43,90.74,0.0,1801.0,128.0,46.0,5.0,0.0,0.0,0.0
27,2020-04-06,62.5,71.43,90.74,0.0,1988.0,187.0,54.0,8.0,0.0,0.0,0.0
28,2020-04-07,62.5,71.43,90.74,0.0,2100.0,112.0,55.0,1.0,0.0,0.0,0.0
29,2020-04-08,62.5,71.43,90.74,0.0,2249.0,149.0,59.0,4.0,0.0,0.0,0.0
30,2020-04-09,62.5,71.43,90.74,0.0,2528.0,279.0,63.0,4.0,0.0,0.0,0.0
31,2020-04-10,62.5,71.43,90.74,0.0,2752.0,224.0,66.0,3.0,0.0,0.0,0.0
