,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-08,11.46,13.1,5.56,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-09,11.46,13.1,5.56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-10,34.9,39.88,47.22,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-11,34.9,39.88,47.22,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-12,34.9,39.88,47.22,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-13,34.9,39.88,47.22,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-14,39.58,45.24,55.56,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-15,39.58,45.24,55.56,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-16,39.58,45.24,55.56,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-17,41.67,47.62,59.26,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-18,43.75,50.0,59.26,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-19,43.75,50.0,59.26,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-20,43.75,50.0,59.26,0.0,18.0,5.0,1.0,1.0,0.0,0.0,0.0
13,2020-03-21,52.6,60.12,71.3,0.0,22.0,4.0,1.0,0.0,0.0,0.0,0.0
14,2020-03-22,52.6,60.12,71.3,0.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0
15,2020-03-23,55.73,63.69,76.85,0.0,27.0,5.0,2.0,1.0,0.0,0.0,0.0
16,2020-03-24,57.29,65.48,79.63,0.0,37.0,10.0,3.0,1.0,0.0,0.0,0.0
17,2020-03-25,57.29,65.48,79.63,0.0,41.0,4.0,3.0,0.0,0.0,0.0,0.0
18,2020-03-26,57.29,65.48,79.63,0.0,52.0,11.0,3.0,0.0,0.0,0.0,0.0
19,2020-03-27,57.29,65.48,79.63,0.0,56.0,4.0,3.0,0.0,0.0,0.0,0.0
