,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-06,13.02,14.88,13.89,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,2020-03-07,13.02,14.88,13.89,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2,2020-03-08,13.02,14.88,13.89,0.0,6.0,5.0,2.0,1.0,0.0,0.0,0.0
3,2020-03-09,13.02,14.88,13.89,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0
4,2020-03-10,13.02,14.88,13.89,0.0,11.0,4.0,2.0,0.0,0.0,0.0,0.0
5,2020-03-11,14.58,16.67,16.67,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0
6,2020-03-12,30.21,34.52,44.44,0.0,15.0,4.0,3.0,1.0,0.0,0.0,0.0
7,2020-03-13,30.21,34.52,44.44,0.0,28.0,13.0,3.0,0.0,0.0,0.0,0.0
8,2020-03-14,33.33,38.1,50.0,0.0,38.0,10.0,3.0,0.0,0.0,0.0,0.0
9,2020-03-15,53.12,60.71,74.07,0.0,43.0,5.0,5.0,2.0,0.0,0.0,0.0
10,2020-03-16,65.62,71.43,90.74,25.0,86.0,43.0,5.0,0.0,0.0,0.0,0.0
11,2020-03-17,65.62,71.43,90.74,25.0,117.0,31.0,9.0,4.0,0.0,0.0,0.0
12,2020-03-18,73.96,73.81,94.44,75.0,145.0,28.0,15.0,6.0,0.0,0.0,0.0
13,2020-03-19,73.96,73.81,94.44,75.0,234.0,89.0,20.0,5.0,0.0,0.0,0.0
14,2020-03-20,73.96,73.81,94.44,75.0,234.0,0.0,26.0,6.0,0.0,0.0,0.0
15,2020-03-21,73.96,73.81,94.44,75.0,318.0,84.0,30.0,4.0,0.0,0.0,0.0
16,2020-03-22,73.96,73.81,94.44,75.0,363.0,45.0,34.0,4.0,0.0,0.0,0.0
17,2020-03-23,73.96,73.81,94.44,75.0,395.0,32.0,39.0,5.0,0.0,0.0,0.0
18,2020-03-24,73.96,73.81,94.44,75.0,416.0,21.0,45.0,6.0,0.0,0.0,0.0
19,2020-03-25,73.96,73.81,94.44,75.0,480.0,64.0,57.0,12.0,0.0,0.0,0.0
20,2020-03-26,73.96,73.81,94.44,75.0,580.0,100.0,63.0,6.0,0.0,0.0,0.0
21,2020-03-27,73.96,73.81,94.44,75.0,635.0,55.0,71.0,8.0,0.0,0.0,0.0
22,2020-03-28,73.96,73.81,94.44,75.0,671.0,36.0,86.0,15.0,0.0,0.0,0.0
23,2020-03-29,73.96,73.81,94.44,75.0,852.0,181.0,95.0,9.0,0.0,0.0,0.0
24,2020-03-30,73.96,73.81,94.44,75.0,950.0,98.0,113.0,18.0,0.0,0.0,0.0
25,2020-03-31,73.96,73.81,94.44,75.0,1065.0,115.0,138.0,25.0,0.0,0.0,0.0
26,2020-04-01,73.96,73.81,94.44,75.0,1323.0,258.0,161.0,23.0,0.0,0.0,0.0
27,2020-04-02,78.65,79.17,94.44,75.0,1414.0,91.0,183.0,22.0,0.0,0.0,0.0
28,2020-04-03,78.65,79.17,94.44,75.0,1595.0,181.0,209.0,26.0,0.0,0.0,0.0
29,2020-04-04,78.65,79.17,94.44,75.0,1746.0,151.0,258.0,49.0,0.0,0.0,0.0
30,2020-04-05,78.65,79.17,94.44,75.0,2281.0,535.0,317.0,59.0,0.0,0.0,0.0
31,2020-04-06,78.65,79.17,94.44,75.0,2561.0,280.0,360.0,43.0,0.0,0.0,0.0
32,2020-04-07,78.65,79.17,94.44,75.0,2954.0,393.0,423.0,63.0,0.0,0.0,0.0
33,2020-04-08,78.65,79.17,94.44,75.0,4342.0,1388.0,471.0,48.0,0.0,0.0,0.0
34,2020-04-09,78.65,79.17,94.44,75.0,5256.0,914.0,569.0,98.0,0.0,0.0,0.0
35,2020-04-10,80.73,81.55,94.44,75.0,5897.0,641.0,650.0,81.0,0.0,0.0,0.0
36,2020-04-11,80.73,81.55,94.44,75.0,6848.0,951.0,753.0,103.0,0.0,0.0,0.0
37,2020-04-12,80.73,81.55,94.44,75.0,7519.0,671.0,846.0,93.0,0.0,0.0,0.0
38,2020-04-13,80.73,81.55,94.44,75.0,9784.0,2265.0,952.0,106.0,0.0,0.0,0.0
39,2020-04-14,80.73,81.55,94.44,75.0,10303.0,519.0,1061.0,109.0,0.0,0.0,0.0
40,2020-04-15,80.73,81.55,94.44,75.0,11475.0,1172.0,1200.0,139.0,0.0,0.0,0.0
41,2020-04-16,80.73,81.55,94.44,75.0,12491.0,1016.0,1333.0,133.0,0.0,0.0,0.0
42,2020-04-17,80.73,81.55,94.44,75.0,13489.0,998.0,1490.0,157.0,0.0,0.0,0.0
43,2020-04-18,80.73,81.55,94.44,75.0,14420.0,931.0,1628.0,138.0,0.0,0.0,0.0
44,2020-04-19,80.73,81.55,94.44,75.0,15628.0,1208.0,1786.0,158.0,0.0,0.0,0.0
45,2020-04-20,80.73,81.55,94.44,75.0,16325.0,697.0,1990.0,204.0,0.0,0.0,0.0
46,2020-04-21,80.73,81.55,94.44,75.0,17837.0,1512.0,2199.0,209.0,0.0,0.0,0.0
47,2020-04-22,80.73,81.55,94.44,75.0,19250.0,1413.0,2418.0,219.0,0.0,0.0,0.0
48,2020-04-23,80.73,81.55,94.44,75.0,20914.0,1664.0,2664.0,246.0,0.0,0.0,0.0
49,2020-04-24,80.73,81.55,94.44,75.0,21648.0,734.0,2910.0,246.0,0.0,0.0,0.0
50,2020-04-25,80.73,81.55,94.44,75.0,25331.0,3683.0,3198.0,288.0,0.0,0.0,0.0
51,2020-04-26,80.73,81.55,94.44,75.0,27517.0,2186.0,3488.0,290.0,0.0,0.0,0.0
52,2020-04-27,80.73,81.55,94.44,75.0,28699.0,1182.0,3793.0,305.0,0.0,0.0,0.0
53,2020-04-28,80.73,81.55,94.44,75.0,31190.0,2491.0,4106.0,313.0,0.0,0.0,0.0
54,2020-04-29,80.73,81.55,94.44,75.0,33931.0,2741.0,4450.0,344.0,0.0,0.0,0.0
55,2020-04-30,80.73,81.55,94.44,75.0,36976.0,3045.0,4782.0,332.0,0.0,0.0,0.0
56,2020-05-01,81.77,82.74,96.3,75.0,40459.0,3483.0,5181.0,399.0,0.0,0.0,0.0
57,2020-05-02,81.77,82.74,96.3,75.0,42534.0,2075.0,5589.0,408.0,0.0,0.0,0.0
58,2020-05-03,81.77,82.74,96.3,75.0,45928.0,3394.0,6004.0,415.0,0.0,0.0,0.0
59,2020-05-04,81.77,82.74,96.3,75.0,47372.0,1444.0,6442.0,438.0,0.0,0.0,0.0
60,2020-05-05,81.77,82.74,96.3,75.0,51189.0,3817.0,6871.0,429.0,0.0,0.0,0.0
61,2020-05-06,81.77,82.74,96.3,75.0,54817.0,3628.0,7328.0,457.0,0.0,0.0,0.0
62,2020-05-07,81.77,82.74,96.3,75.0,58526.0,3709.0,7809.0,481.0,0.0,0.0,0.0
63,2020-05-08,81.77,82.74,96.3,75.0,61847.0,3321.0,8263.0,454.0,0.0,0.0,0.0
64,2020-05-09,81.77,82.74,96.3,75.0,65015.0,3168.0,8740.0,477.0,0.0,0.0,0.0
65,2020-05-10,81.77,82.74,96.3,75.0,67307.0,2292.0,9258.0,518.0,0.0,0.0,0.0
66,2020-05-11,79.69,80.36,92.59,75.0,68822.0,1515.0,9778.0,520.0,0.0,0.0,0.0
67,2020-05-12,79.69,80.36,92.59,75.0,72059.0,3237.0,10294.0,516.0,0.0,0.0,0.0
68,2020-05-13,79.69,80.36,92.59,75.0,76306.0,4247.0,10760.0,466.0,0.0,0.0,0.0
69,2020-05-14,79.69,80.36,92.59,75.0,80604.0,4298.0,11277.0,517.0,0.0,0.0,0.0
70,2020-05-15,79.69,80.36,92.59,75.0,84495.0,3891.0,11824.0,547.0,0.0,0.0,0.0
71,2020-05-16,79.69,80.36,92.59,75.0,88541.0,4046.0,12333.0,509.0,0.0,0.0,0.0
72,2020-05-17,79.69,80.36,92.59,75.0,92273.0,3732.0,12835.0,502.0,0.0,0.0,0.0
73,2020-05-18,79.69,80.36,92.59,75.0,94933.0,2660.0,13369.0,534.0,0.0,0.0,0.0
74,2020-05-19,79.69,80.36,92.59,75.0,99483.0,4550.0,13984.0,615.0,0.0,0.0,0.0
75,2020-05-20,79.69,80.36,92.59,75.0,104020.0,4537.0,14512.0,528.0,0.0,0.0,0.0
76,2020-05-21,79.69,80.36,92.59,75.0,108769.0,4749.0,15056.0,544.0,0.0,0.0,0.0
77,2020-05-22,79.69,80.36,92.59,75.0,111698.0,2929.0,15583.0,527.0,0.0,0.0,0.0
78,2020-05-23,79.69,80.36,92.59,75.0,115754.0,4056.0,16101.0,518.0,0.0,0.0,0.0
79,2020-05-24,79.69,80.36,92.59,75.0,119959.0,4205.0,16644.0,543.0,0.0,0.0,0.0
80,2020-05-25,78.12,78.57,89.81,75.0,123979.0,4020.0,17216.0,572.0,0.0,0.0,0.0
