,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-02,8.33,9.52,5.56,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-03,8.33,9.52,5.56,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-04,8.33,9.52,5.56,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-05,8.33,9.52,5.56,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-06,8.33,9.52,5.56,0.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-07,13.54,15.48,5.56,0.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-08,13.54,15.48,5.56,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-09,28.91,29.46,27.31,25.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-10,33.59,34.82,35.65,25.0,41.0,11.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-11,33.59,34.82,35.65,25.0,59.0,18.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-12,37.76,39.58,43.06,25.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-13,41.93,40.77,43.06,50.0,112.0,53.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-14,41.93,40.77,43.06,50.0,169.0,57.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-15,47.92,47.62,53.7,50.0,245.0,76.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-16,48.96,48.81,55.56,50.0,331.0,86.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-17,48.96,48.81,55.56,50.0,448.0,117.0,1.0,1.0,0.0,0.0,0.0
16,2020-03-18,52.08,52.38,61.11,50.0,448.0,0.0,2.0,1.0,0.0,0.0,0.0
17,2020-03-19,64.06,66.07,82.41,50.0,785.0,337.0,3.0,1.0,0.0,0.0,0.0
18,2020-03-20,67.19,66.07,82.41,75.0,1020.0,235.0,6.0,3.0,0.0,0.0,0.0
19,2020-03-21,67.19,66.07,82.41,75.0,1280.0,260.0,12.0,6.0,0.0,0.0,0.0
20,2020-03-22,67.19,66.07,82.41,75.0,1600.0,320.0,14.0,2.0,0.0,0.0,0.0
21,2020-03-23,67.19,66.07,82.41,75.0,2060.0,460.0,23.0,9.0,0.0,0.0,0.0
22,2020-03-24,67.19,66.07,82.41,75.0,2362.0,302.0,33.0,10.0,0.0,0.0,0.0
23,2020-03-25,67.19,66.07,82.41,75.0,2995.0,633.0,43.0,10.0,0.0,0.0,0.0
24,2020-03-26,69.27,68.45,82.41,75.0,3544.0,549.0,60.0,17.0,0.0,0.0,0.0
25,2020-03-27,69.27,68.45,82.41,75.0,4268.0,724.0,76.0,16.0,0.0,0.0,0.0
26,2020-03-28,69.27,68.45,82.41,75.0,5170.0,902.0,100.0,24.0,0.0,0.0,0.0
27,2020-03-29,69.27,68.45,82.41,75.0,5962.0,792.0,119.0,19.0,0.0,0.0,0.0
28,2020-03-30,69.27,68.45,82.41,75.0,6408.0,446.0,140.0,21.0,0.0,0.0,0.0
29,2020-03-31,69.27,68.45,82.41,75.0,7443.0,1035.0,160.0,20.0,0.0,0.0,0.0
30,2020-04-01,69.27,68.45,82.41,75.0,8251.0,808.0,187.0,27.0,0.0,0.0,0.0
31,2020-04-02,69.27,68.45,82.41,75.0,9034.0,783.0,209.0,22.0,0.0,0.0,0.0
32,2020-04-03,69.27,68.45,82.41,75.0,9886.0,852.0,246.0,37.0,0.0,0.0,0.0
33,2020-04-04,69.27,68.45,82.41,75.0,10524.0,638.0,266.0,20.0,0.0,0.0,0.0
34,2020-04-05,69.27,68.45,82.41,75.0,11278.0,754.0,295.0,29.0,0.0,0.0,0.0
35,2020-04-06,69.27,68.45,82.41,75.0,11730.0,452.0,311.0,16.0,0.0,0.0,0.0
36,2020-04-07,69.27,68.45,82.41,75.0,12442.0,712.0,345.0,34.0,0.0,0.0,0.0
37,2020-04-08,69.27,68.45,82.41,75.0,13141.0,699.0,380.0,35.0,0.0,0.0,0.0
38,2020-04-09,72.4,72.02,87.96,75.0,13956.0,815.0,409.0,29.0,0.0,0.0,0.0
39,2020-04-10,72.4,72.02,87.96,75.0,15472.0,1516.0,435.0,26.0,0.0,0.0,0.0
40,2020-04-11,72.4,72.02,87.96,75.0,15987.0,515.0,470.0,35.0,0.0,0.0,0.0
41,2020-04-12,72.4,72.02,87.96,75.0,16585.0,598.0,504.0,34.0,0.0,0.0,0.0
42,2020-04-13,72.4,72.02,87.96,75.0,16934.0,349.0,535.0,31.0,0.0,0.0,0.0
43,2020-04-14,69.27,68.45,82.41,75.0,17448.0,514.0,567.0,32.0,0.0,0.0,0.0
44,2020-04-15,69.27,68.45,82.41,75.0,18091.0,643.0,599.0,32.0,0.0,0.0,0.0
45,2020-04-16,69.27,68.45,82.41,75.0,18841.0,750.0,629.0,30.0,0.0,0.0,0.0
46,2020-04-17,69.27,68.45,82.41,75.0,19022.0,181.0,657.0,28.0,0.0,0.0,0.0
47,2020-04-18,69.27,68.45,82.41,75.0,19685.0,663.0,687.0,30.0,0.0,0.0,0.0
48,2020-04-19,69.27,68.45,82.41,75.0,20206.0,521.0,714.0,27.0,0.0,0.0,0.0
49,2020-04-20,69.27,68.45,82.41,75.0,20863.0,657.0,735.0,21.0,0.0,0.0,0.0
50,2020-04-21,69.27,68.45,82.41,75.0,21379.0,516.0,762.0,27.0,0.0,0.0,0.0
51,2020-04-22,69.27,68.45,82.41,75.0,21982.0,603.0,785.0,23.0,0.0,0.0,0.0
52,2020-04-23,69.27,68.45,82.41,75.0,22353.0,371.0,820.0,35.0,0.0,0.0,0.0
53,2020-04-24,69.27,68.45,82.41,75.0,22797.0,444.0,854.0,34.0,0.0,0.0,0.0
54,2020-04-25,69.27,68.45,82.41,75.0,23392.0,595.0,880.0,26.0,0.0,0.0,0.0
55,2020-04-26,69.27,68.45,82.41,75.0,23864.0,472.0,903.0,23.0,0.0,0.0,0.0
56,2020-04-27,69.27,68.45,82.41,75.0,24027.0,163.0,928.0,25.0,0.0,0.0,0.0
57,2020-04-28,69.27,68.45,82.41,75.0,24322.0,295.0,948.0,20.0,0.0,0.0,0.0
