,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-16,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-17,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-18,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-19,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-20,0.0,0.0,0.0,0.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-21,0.0,0.0,0.0,0.0,21.0,7.0,1.0,1.0,0.0,0.0,0.0
6,2020-03-22,0.0,0.0,0.0,0.0,23.0,2.0,1.0,0.0,0.0,0.0,0.0
7,2020-03-23,0.0,0.0,0.0,0.0,31.0,8.0,2.0,1.0,0.0,0.0,0.0
8,2020-03-24,0.0,0.0,0.0,0.0,39.0,8.0,2.0,0.0,0.0,0.0,0.0
9,2020-03-25,0.0,0.0,0.0,0.0,51.0,12.0,2.0,0.0,0.0,0.0,0.0
10,2020-03-26,0.0,0.0,0.0,0.0,64.0,13.0,2.0,0.0,0.0,0.0,0.0
11,2020-03-27,0.0,0.0,0.0,0.0,79.0,15.0,3.0,1.0,0.0,0.0,0.0
12,2020-03-28,0.0,0.0,0.0,0.0,100.0,21.0,3.0,0.0,0.0,0.0,0.0
13,2020-03-29,0.0,0.0,0.0,0.0,127.0,27.0,3.0,0.0,0.0,0.0,0.0
14,2020-03-30,0.0,0.0,0.0,0.0,174.0,47.0,6.0,3.0,0.0,0.0,0.0
15,2020-03-31,0.0,0.0,0.0,0.0,239.0,65.0,8.0,2.0,0.0,0.0,0.0
16,2020-04-01,0.0,0.0,0.0,0.0,286.0,47.0,11.0,3.0,0.0,0.0,0.0
17,2020-04-02,0.0,0.0,0.0,0.0,316.0,30.0,12.0,1.0,0.0,0.0,0.0
18,2020-04-03,0.0,0.0,0.0,0.0,316.0,0.0,15.0,3.0,0.0,0.0,0.0
19,2020-04-04,0.0,0.0,0.0,0.0,452.0,136.0,18.0,3.0,0.0,0.0,0.0
20,2020-04-05,0.0,0.0,0.0,0.0,475.0,23.0,20.0,2.0,0.0,0.0,0.0
21,2020-04-06,0.0,0.0,0.0,0.0,513.0,38.0,21.0,1.0,0.0,0.0,0.0
22,2020-04-07,0.0,0.0,0.0,0.0,573.0,60.0,23.0,2.0,0.0,0.0,0.0
23,2020-04-08,0.0,0.0,0.0,0.0,620.0,47.0,24.0,1.0,0.0,0.0,0.0
24,2020-04-09,0.0,0.0,0.0,0.0,683.0,63.0,33.0,9.0,0.0,0.0,0.0
25,2020-04-10,0.0,0.0,0.0,0.0,725.0,42.0,39.0,6.0,0.0,0.0,0.0
26,2020-04-11,0.0,0.0,0.0,0.0,788.0,63.0,42.0,3.0,0.0,0.0,0.0
27,2020-04-12,0.0,0.0,0.0,0.0,897.0,109.0,44.0,2.0,0.0,0.0,0.0
28,2020-04-13,0.0,0.0,0.0,0.0,903.0,6.0,45.0,1.0,0.0,0.0,0.0
29,2020-04-14,0.0,0.0,0.0,0.0,923.0,20.0,45.0,0.0,0.0,0.0,0.0
30,2020-04-15,0.0,0.0,0.0,0.0,974.0,51.0,51.0,6.0,0.0,0.0,0.0
