,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-29,9.9,11.31,13.89,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-01,9.9,11.31,13.89,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-02,9.9,11.31,13.89,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-03,9.9,11.31,13.89,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-04,9.9,11.31,13.89,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-05,9.9,11.31,13.89,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-06,9.9,11.31,13.89,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-07,9.9,11.31,13.89,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-08,16.15,18.45,13.89,0.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-09,16.15,18.45,13.89,0.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-10,22.4,25.6,25.0,0.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-11,22.4,25.6,25.0,0.0,262.0,238.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-12,25.52,29.17,30.56,0.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-13,25.52,29.17,30.56,0.0,320.0,58.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-14,25.52,29.17,30.56,0.0,337.0,17.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-15,31.77,36.31,41.67,0.0,401.0,64.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-16,31.77,36.31,41.67,0.0,439.0,38.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-17,44.79,51.19,61.11,0.0,439.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-18,46.35,52.98,63.89,0.0,452.0,13.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-19,46.35,52.98,63.89,0.0,460.0,8.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-20,46.35,52.98,63.89,0.0,470.0,10.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-21,46.35,52.98,63.89,0.0,481.0,11.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-22,55.73,63.69,80.56,0.0,494.0,13.0,0.0,0.0,0.0,0.0,0.0
23,2020-03-23,55.73,63.69,80.56,0.0,501.0,7.0,0.0,0.0,0.0,0.0,0.0
24,2020-03-24,55.73,63.69,80.56,0.0,526.0,25.0,0.0,0.0,0.0,0.0,0.0
25,2020-03-25,55.73,63.69,80.56,0.0,537.0,11.0,0.0,0.0,0.0,0.0,0.0
26,2020-03-26,55.73,63.69,80.56,0.0,549.0,12.0,0.0,0.0,0.0,0.0,0.0
27,2020-03-27,55.73,63.69,80.56,0.0,562.0,13.0,0.0,0.0,0.0,0.0,0.0
28,2020-03-28,63.54,67.26,86.11,37.5,590.0,28.0,1.0,1.0,0.0,0.0,0.0
29,2020-03-29,63.54,67.26,86.11,37.5,634.0,44.0,1.0,0.0,0.0,0.0,0.0
30,2020-03-30,63.54,67.26,86.11,37.5,693.0,59.0,1.0,0.0,0.0,0.0,0.0
31,2020-03-31,63.54,67.26,86.11,37.5,781.0,88.0,2.0,1.0,0.0,0.0,0.0
32,2020-04-01,63.54,67.26,86.11,37.5,835.0,54.0,2.0,0.0,0.0,0.0,0.0
33,2020-04-02,63.54,67.26,86.11,37.5,949.0,114.0,3.0,1.0,0.0,0.0,0.0
34,2020-04-03,63.54,67.26,86.11,37.5,1075.0,126.0,3.0,0.0,0.0,0.0,0.0
35,2020-04-04,63.54,67.26,86.11,37.5,1325.0,250.0,3.0,0.0,0.0,0.0,0.0
36,2020-04-05,63.54,67.26,86.11,37.5,1604.0,279.0,4.0,1.0,0.0,0.0,0.0
37,2020-04-06,63.54,67.26,86.11,37.5,1832.0,228.0,4.0,0.0,0.0,0.0,0.0
38,2020-04-07,63.54,67.26,86.11,37.5,2057.0,225.0,6.0,2.0,0.0,0.0,0.0
39,2020-04-08,63.54,67.26,86.11,37.5,2210.0,153.0,6.0,0.0,0.0,0.0,0.0
40,2020-04-09,63.54,67.26,86.11,37.5,2376.0,166.0,6.0,0.0,0.0,0.0,0.0
41,2020-04-10,63.54,67.26,86.11,37.5,2512.0,136.0,6.0,0.0,0.0,0.0,0.0
42,2020-04-11,63.54,67.26,86.11,37.5,2728.0,216.0,6.0,0.0,0.0,0.0,0.0
43,2020-04-12,63.54,67.26,86.11,37.5,2979.0,251.0,7.0,1.0,0.0,0.0,0.0
44,2020-04-13,63.54,67.26,86.11,37.5,3231.0,252.0,7.0,0.0,0.0,0.0,0.0
45,2020-04-14,63.54,67.26,86.11,37.5,3428.0,197.0,7.0,0.0,0.0,0.0,0.0
46,2020-04-15,63.54,67.26,86.11,37.5,3711.0,283.0,7.0,0.0,0.0,0.0,0.0
47,2020-04-16,63.54,67.26,86.11,37.5,4103.0,392.0,7.0,0.0,0.0,0.0,0.0
48,2020-04-17,63.54,67.26,86.11,37.5,4663.0,560.0,7.0,0.0,0.0,0.0,0.0
49,2020-04-18,63.54,67.26,86.11,37.5,5008.0,345.0,8.0,1.0,0.0,0.0,0.0
50,2020-04-19,63.54,67.26,86.11,37.5,5448.0,440.0,8.0,0.0,0.0,0.0,0.0
51,2020-04-20,63.54,67.26,86.11,37.5,6015.0,567.0,9.0,1.0,0.0,0.0,0.0
52,2020-04-21,63.54,67.26,86.11,37.5,6533.0,518.0,9.0,0.0,0.0,0.0,0.0
53,2020-04-22,61.98,65.48,83.33,37.5,7141.0,608.0,10.0,1.0,0.0,0.0,0.0
54,2020-04-23,61.98,65.48,83.33,37.5,7764.0,623.0,10.0,0.0,0.0,0.0,0.0
55,2020-04-24,61.98,65.48,83.33,37.5,8525.0,761.0,10.0,0.0,0.0,0.0,0.0
56,2020-04-25,61.98,65.48,83.33,37.5,9358.0,833.0,10.0,0.0,0.0,0.0,0.0
57,2020-04-26,65.1,69.05,83.33,37.5,10287.0,929.0,10.0,0.0,0.0,0.0,0.0
58,2020-04-27,65.1,69.05,83.33,37.5,11244.0,957.0,10.0,0.0,0.0,0.0,0.0
59,2020-04-28,65.1,69.05,83.33,37.5,11921.0,677.0,10.0,0.0,0.0,0.0,0.0
60,2020-04-29,65.1,69.05,83.33,37.5,12564.0,643.0,10.0,0.0,0.0,0.0,0.0
61,2020-04-30,65.1,69.05,83.33,37.5,13409.0,845.0,10.0,0.0,0.0,0.0,0.0
62,2020-05-01,65.1,69.05,83.33,37.5,14096.0,687.0,12.0,2.0,0.0,0.0,0.0
63,2020-05-02,65.1,69.05,83.33,37.5,14872.0,776.0,12.0,0.0,0.0,0.0,0.0
64,2020-05-03,65.1,69.05,83.33,37.5,15551.0,679.0,12.0,0.0,0.0,0.0,0.0
