,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-26,9.38,10.71,16.67,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-02-27,9.38,10.71,16.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-02-28,9.38,10.71,16.67,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
3,2020-02-29,9.38,10.71,16.67,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-01,9.38,10.71,16.67,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-02,9.38,10.71,16.67,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-03,9.38,10.71,16.67,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-04,9.38,10.71,16.67,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-05,9.38,10.71,16.67,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-06,9.38,10.71,16.67,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-07,9.38,10.71,16.67,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-08,17.19,19.64,30.56,0.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-09,18.75,21.43,33.33,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-10,18.75,21.43,33.33,0.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-11,25.0,28.57,44.44,0.0,45.0,20.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-12,34.9,39.88,58.33,0.0,49.0,4.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-13,34.9,39.88,58.33,0.0,89.0,40.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-14,34.9,39.88,58.33,0.0,123.0,34.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-15,34.9,39.88,58.33,0.0,131.0,8.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-16,34.9,39.88,58.33,0.0,158.0,27.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-17,34.9,39.88,58.33,0.0,184.0,26.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-18,34.9,39.88,58.33,0.0,260.0,76.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-19,36.46,41.67,61.11,0.0,277.0,17.0,0.0,0.0,0.0,0.0,0.0
23,2020-03-20,36.46,41.67,61.11,0.0,308.0,31.0,0.0,0.0,0.0,0.0,0.0
24,2020-03-21,45.83,47.02,69.44,37.5,367.0,59.0,0.0,0.0,0.0,0.0,0.0
25,2020-03-22,48.96,50.6,75.0,37.5,433.0,66.0,3.0,3.0,0.0,0.0,0.0
26,2020-03-23,51.04,52.98,75.0,37.5,576.0,143.0,7.0,4.0,0.0,0.0,0.0
27,2020-03-24,51.04,52.98,75.0,37.5,794.0,218.0,11.0,4.0,0.0,0.0,0.0
28,2020-03-25,57.29,60.12,78.7,37.5,906.0,112.0,17.0,6.0,0.0,0.0,0.0
29,2020-03-26,57.29,60.12,78.7,37.5,1029.0,123.0,23.0,6.0,0.0,0.0,0.0
30,2020-03-27,57.29,60.12,78.7,37.5,1292.0,263.0,26.0,3.0,0.0,0.0,0.0
31,2020-03-28,57.29,60.12,78.7,37.5,1452.0,160.0,37.0,11.0,0.0,0.0,0.0
32,2020-03-29,60.42,60.12,78.7,62.5,1815.0,363.0,43.0,6.0,0.0,0.0,0.0
33,2020-03-30,65.1,61.9,81.48,87.5,2109.0,294.0,65.0,22.0,0.0,0.0,0.0
34,2020-03-31,71.35,69.05,87.04,87.5,2245.0,136.0,82.0,17.0,0.0,0.0,0.0
35,2020-04-01,71.35,69.05,87.04,87.5,2460.0,215.0,92.0,10.0,0.0,0.0,0.0
36,2020-04-02,71.35,69.05,87.04,87.5,2738.0,278.0,115.0,23.0,0.0,0.0,0.0
37,2020-04-03,71.35,69.05,87.04,87.5,3183.0,445.0,133.0,18.0,0.0,0.0,0.0
38,2020-04-04,71.35,69.05,87.04,87.5,3613.0,430.0,146.0,13.0,0.0,0.0,0.0
39,2020-04-05,71.35,69.05,87.04,87.5,3864.0,251.0,151.0,5.0,0.0,0.0,0.0
40,2020-04-06,71.35,69.05,87.04,87.5,4057.0,193.0,176.0,25.0,0.0,0.0,0.0
41,2020-04-07,71.35,69.05,87.04,87.5,4417.0,360.0,197.0,21.0,0.0,0.0,0.0
42,2020-04-08,71.35,69.05,87.04,87.5,4761.0,344.0,220.0,23.0,0.0,0.0,0.0
43,2020-04-09,71.35,69.05,87.04,87.5,5202.0,441.0,248.0,28.0,0.0,0.0,0.0
44,2020-04-10,71.35,69.05,87.04,87.5,5467.0,265.0,270.0,22.0,0.0,0.0,0.0
45,2020-04-11,71.35,69.05,87.04,87.5,5990.0,523.0,291.0,21.0,0.0,0.0,0.0
46,2020-04-12,71.35,69.05,87.04,87.5,6300.0,310.0,316.0,25.0,0.0,0.0,0.0
47,2020-04-13,71.35,69.05,87.04,87.5,6633.0,333.0,331.0,15.0,0.0,0.0,0.0
48,2020-04-14,71.35,69.05,87.04,87.5,6879.0,246.0,351.0,20.0,0.0,0.0,0.0
49,2020-04-15,71.35,69.05,87.04,87.5,7216.0,337.0,372.0,21.0,0.0,0.0,0.0
50,2020-04-16,71.35,69.05,87.04,87.5,7707.0,491.0,392.0,20.0,0.0,0.0,0.0
