,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-14,27.34,31.25,30.09,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-15,27.34,31.25,30.09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-16,33.59,38.39,41.2,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-17,33.59,38.39,41.2,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-18,39.84,38.39,41.2,50.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-19,39.84,38.39,41.2,50.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-20,40.62,39.29,42.59,50.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-21,76.04,79.76,90.74,50.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-22,76.04,79.76,90.74,50.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-23,76.04,79.76,90.74,50.0,36.0,17.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-24,76.04,79.76,90.74,50.0,40.0,4.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-25,76.04,79.76,90.74,50.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-26,76.04,79.76,90.74,50.0,50.0,9.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-27,76.04,79.76,90.74,50.0,54.0,4.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-28,76.04,79.76,90.74,50.0,60.0,6.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-29,76.04,79.76,90.74,50.0,70.0,10.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-30,76.04,79.76,90.74,50.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-31,76.04,79.76,90.74,50.0,75.0,5.0,0.0,0.0,0.0,0.0,0.0
18,2020-04-01,76.04,79.76,90.74,50.0,82.0,7.0,0.0,0.0,0.0,0.0,0.0
19,2020-04-02,76.04,79.76,90.74,50.0,84.0,2.0,0.0,0.0,0.0,0.0,0.0
20,2020-04-03,76.04,79.76,90.74,50.0,89.0,5.0,0.0,0.0,0.0,0.0,0.0
21,2020-04-04,76.04,79.76,90.74,50.0,102.0,13.0,0.0,0.0,0.0,0.0,0.0
22,2020-04-05,76.04,79.76,90.74,50.0,104.0,2.0,0.0,0.0,0.0,0.0,0.0
23,2020-04-06,76.04,79.76,90.74,50.0,105.0,1.0,0.0,0.0,0.0,0.0,0.0
24,2020-04-07,76.04,79.76,90.74,50.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2020-04-08,76.04,79.76,90.74,50.0,110.0,5.0,0.0,0.0,0.0,0.0,0.0
26,2020-04-09,76.04,79.76,90.74,50.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2020-04-10,76.04,79.76,90.74,50.0,118.0,8.0,0.0,0.0,0.0,0.0,0.0
28,2020-04-11,76.04,79.76,90.74,50.0,120.0,2.0,0.0,0.0,0.0,0.0,0.0
29,2020-04-12,76.04,79.76,90.74,50.0,126.0,6.0,0.0,0.0,0.0,0.0,0.0
30,2020-04-13,76.04,79.76,90.74,50.0,127.0,1.0,0.0,0.0,0.0,0.0,0.0
31,2020-04-14,76.04,79.76,90.74,50.0,134.0,7.0,0.0,0.0,0.0,0.0,0.0
32,2020-04-15,76.04,79.76,90.74,50.0,136.0,2.0,0.0,0.0,0.0,0.0,0.0
33,2020-04-16,76.04,79.76,90.74,50.0,138.0,2.0,0.0,0.0,0.0,0.0,0.0
34,2020-04-17,76.04,79.76,90.74,50.0,143.0,5.0,0.0,0.0,0.0,0.0,0.0
35,2020-04-18,76.04,79.76,90.74,50.0,144.0,1.0,0.0,0.0,0.0,0.0,0.0
36,2020-04-19,76.04,79.76,90.74,50.0,147.0,3.0,0.0,0.0,0.0,0.0,0.0
