,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-29,23.96,27.38,27.78,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,2020-03-01,33.33,30.95,33.33,50.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2,2020-03-02,33.33,30.95,33.33,50.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3,2020-03-03,33.33,30.95,33.33,50.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0
4,2020-03-04,33.33,30.95,33.33,50.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0
5,2020-03-05,33.33,30.95,33.33,50.0,16.0,7.0,1.0,0.0,0.0,0.0,0.0
6,2020-03-06,33.33,30.95,33.33,50.0,22.0,6.0,1.0,0.0,0.0,0.0,0.0
7,2020-03-07,33.33,30.95,33.33,50.0,24.0,2.0,1.0,0.0,0.0,0.0,0.0
8,2020-03-08,53.12,53.57,68.52,50.0,27.0,3.0,1.0,0.0,0.0,0.0,0.0
9,2020-03-09,53.12,53.57,68.52,50.0,37.0,10.0,1.0,0.0,0.0,0.0,0.0
10,2020-03-10,53.12,53.57,68.52,50.0,49.0,12.0,2.0,1.0,0.0,0.0,0.0
11,2020-03-11,53.12,53.57,68.52,50.0,60.0,11.0,2.0,0.0,0.0,0.0,0.0
12,2020-03-12,53.12,53.57,68.52,50.0,60.0,0.0,2.0,0.0,0.0,0.0,0.0
13,2020-03-13,53.12,53.57,68.52,50.0,64.0,4.0,5.0,3.0,0.0,0.0,0.0
14,2020-03-14,53.12,53.57,68.52,50.0,77.0,13.0,5.0,0.0,0.0,0.0,0.0
15,2020-03-15,59.37,60.71,79.63,50.0,77.0,0.0,5.0,0.0,0.0,0.0,0.0
16,2020-03-16,59.37,60.71,79.63,50.0,77.0,0.0,5.0,0.0,0.0,0.0,0.0
17,2020-03-17,59.37,60.71,79.63,50.0,102.0,25.0,9.0,4.0,0.0,0.0,0.0
18,2020-03-18,59.37,60.71,79.63,50.0,104.0,2.0,11.0,2.0,0.0,0.0,0.0
19,2020-03-19,59.37,60.71,79.63,50.0,109.0,5.0,14.0,3.0,0.0,0.0,0.0
20,2020-03-20,61.46,63.1,83.33,50.0,126.0,17.0,14.0,0.0,0.0,0.0,0.0
21,2020-03-21,61.46,63.1,83.33,50.0,151.0,25.0,20.0,6.0,0.0,0.0,0.0
22,2020-03-22,61.46,63.1,83.33,50.0,175.0,24.0,20.0,0.0,0.0,0.0,0.0
23,2020-03-23,61.46,63.1,83.33,50.0,187.0,12.0,20.0,0.0,0.0,0.0,0.0
24,2020-03-24,61.46,63.1,83.33,50.0,187.0,0.0,21.0,1.0,0.0,0.0,0.0
25,2020-03-25,61.46,63.1,83.33,50.0,208.0,21.0,21.0,0.0,0.0,0.0,0.0
26,2020-03-26,61.46,63.1,83.33,50.0,218.0,10.0,21.0,0.0,0.0,0.0,0.0
27,2020-03-27,61.46,63.1,83.33,50.0,223.0,5.0,21.0,0.0,0.0,0.0,0.0
28,2020-03-28,61.46,63.1,83.33,50.0,228.0,5.0,22.0,1.0,0.0,0.0,0.0
29,2020-03-29,61.46,63.1,83.33,50.0,228.0,0.0,22.0,0.0,0.0,0.0,0.0
30,2020-03-30,61.46,63.1,83.33,50.0,230.0,2.0,25.0,3.0,0.0,0.0,0.0
31,2020-03-31,61.46,63.1,83.33,50.0,236.0,6.0,26.0,1.0,0.0,0.0,0.0
32,2020-04-01,61.46,63.1,83.33,50.0,236.0,0.0,28.0,2.0,0.0,0.0,0.0
33,2020-04-02,61.46,63.1,83.33,50.0,236.0,0.0,28.0,0.0,0.0,0.0,0.0
34,2020-04-03,61.46,63.1,83.33,50.0,245.0,9.0,30.0,2.0,0.0,0.0,0.0
35,2020-04-04,61.46,63.1,83.33,50.0,252.0,7.0,32.0,2.0,0.0,0.0,0.0
36,2020-04-05,63.54,65.48,83.33,50.0,259.0,7.0,32.0,0.0,0.0,0.0,0.0
37,2020-04-06,63.54,65.48,83.33,50.0,266.0,7.0,32.0,0.0,0.0,0.0,0.0
38,2020-04-07,63.54,65.48,83.33,50.0,277.0,11.0,32.0,0.0,0.0,0.0,0.0
39,2020-04-08,63.54,65.48,83.33,50.0,279.0,2.0,34.0,2.0,0.0,0.0,0.0
40,2020-04-09,63.54,65.48,83.33,50.0,308.0,29.0,34.0,0.0,0.0,0.0,0.0
41,2020-04-10,69.79,72.62,87.04,50.0,344.0,36.0,34.0,0.0,0.0,0.0,0.0
42,2020-04-11,69.79,72.62,87.04,50.0,344.0,0.0,34.0,0.0,0.0,0.0,0.0
43,2020-04-12,69.79,72.62,87.04,50.0,356.0,12.0,35.0,1.0,0.0,0.0,0.0
44,2020-04-13,69.79,72.62,87.04,50.0,356.0,0.0,35.0,0.0,0.0,0.0,0.0
