,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-02,12.5,14.29,11.11,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-03,12.5,14.29,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-04,12.5,14.29,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-05,16.67,19.05,11.11,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-06,16.67,19.05,11.11,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-07,16.67,19.05,11.11,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-08,21.35,24.4,19.44,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-09,27.6,31.55,30.56,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-10,27.6,31.55,30.56,0.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-11,27.6,31.55,30.56,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-12,27.6,31.55,30.56,0.0,45.0,24.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-13,33.85,38.69,41.67,0.0,86.0,41.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-14,33.85,38.69,41.67,0.0,103.0,17.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-15,40.1,45.83,52.78,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-16,48.96,55.95,68.52,0.0,118.0,15.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-17,48.96,55.95,68.52,0.0,171.0,53.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-18,48.96,55.95,68.52,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-19,48.96,55.95,68.52,0.0,274.0,103.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-20,48.96,55.95,68.52,0.0,344.0,70.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-21,55.21,63.1,79.63,0.0,392.0,48.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-22,55.21,63.1,79.63,0.0,511.0,119.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-23,63.54,72.62,87.04,0.0,562.0,51.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-24,63.54,72.62,87.04,0.0,767.0,205.0,1.0,1.0,0.0,0.0,0.0
23,2020-03-25,65.1,74.4,89.81,0.0,900.0,133.0,2.0,1.0,0.0,0.0,0.0
24,2020-03-26,65.1,74.4,89.81,0.0,1012.0,112.0,3.0,1.0,0.0,0.0,0.0
25,2020-03-27,65.1,74.4,89.81,0.0,1104.0,92.0,3.0,0.0,0.0,0.0,0.0
26,2020-03-28,65.1,74.4,89.81,0.0,1203.0,99.0,4.0,1.0,0.0,0.0,0.0
27,2020-03-29,65.1,74.4,89.81,0.0,1299.0,96.0,8.0,4.0,0.0,0.0,0.0
28,2020-03-30,65.1,74.4,89.81,0.0,1453.0,154.0,8.0,0.0,0.0,0.0,0.0
29,2020-03-31,65.1,74.4,89.81,0.0,1563.0,110.0,10.0,2.0,0.0,0.0,0.0
30,2020-04-01,65.1,74.4,89.81,0.0,1720.0,157.0,16.0,6.0,0.0,0.0,0.0
31,2020-04-02,65.1,74.4,89.81,0.0,1885.0,165.0,21.0,5.0,0.0,0.0,0.0
32,2020-04-03,69.79,74.4,89.81,37.5,2039.0,154.0,25.0,4.0,0.0,0.0,0.0
33,2020-04-04,69.79,74.4,89.81,37.5,2179.0,140.0,29.0,4.0,0.0,0.0,0.0
34,2020-04-05,69.79,74.4,89.81,37.5,2402.0,223.0,34.0,5.0,0.0,0.0,0.0
35,2020-04-06,71.88,76.79,91.67,37.5,2605.0,203.0,38.0,4.0,0.0,0.0,0.0
36,2020-04-07,71.88,76.79,91.67,37.5,2795.0,190.0,41.0,3.0,0.0,0.0,0.0
37,2020-04-08,71.88,76.79,91.67,37.5,2932.0,137.0,41.0,0.0,0.0,0.0,0.0
38,2020-04-09,71.88,76.79,91.67,37.5,3287.0,355.0,44.0,3.0,0.0,0.0,0.0
39,2020-04-10,71.88,76.79,91.67,37.5,3651.0,364.0,47.0,3.0,0.0,0.0,0.0
40,2020-04-11,75.0,76.79,91.67,62.5,4033.0,382.0,52.0,5.0,0.0,0.0,0.0
41,2020-04-12,75.0,76.79,91.67,62.5,4462.0,429.0,59.0,7.0,0.0,0.0,0.0
42,2020-04-13,75.0,76.79,91.67,62.5,4934.0,472.0,65.0,6.0,0.0,0.0,0.0
43,2020-04-14,75.0,76.79,91.67,62.5,5369.0,435.0,73.0,8.0,0.0,0.0,0.0
44,2020-04-15,75.0,76.79,91.67,62.5,5862.0,493.0,79.0,6.0,0.0,0.0,0.0
45,2020-04-16,75.0,76.79,91.67,62.5,6380.0,518.0,83.0,4.0,0.0,0.0,0.0
46,2020-04-17,75.0,76.79,91.67,62.5,7142.0,762.0,87.0,4.0,0.0,0.0,0.0
47,2020-04-18,75.0,76.79,91.67,62.5,8274.0,1132.0,92.0,5.0,0.0,0.0,0.0
48,2020-04-19,75.0,76.79,91.67,62.5,9362.0,1088.0,97.0,5.0,0.0,0.0,0.0
49,2020-04-20,75.0,76.79,91.67,62.5,10484.0,1122.0,103.0,6.0,0.0,0.0,0.0
50,2020-04-21,75.0,76.79,91.67,62.5,11631.0,1147.0,109.0,6.0,0.0,0.0,0.0
51,2020-04-22,75.0,76.79,91.67,62.5,12772.0,1141.0,114.0,5.0,0.0,0.0,0.0
52,2020-04-23,75.0,76.79,91.67,62.5,13930.0,1158.0,121.0,7.0,0.0,0.0,0.0
53,2020-04-24,75.0,76.79,91.67,62.5,15102.0,1172.0,127.0,6.0,0.0,0.0,0.0
54,2020-04-25,75.0,76.79,91.67,62.5,16299.0,1197.0,136.0,9.0,0.0,0.0,0.0
55,2020-04-26,76.56,78.57,94.44,62.5,17522.0,1223.0,139.0,3.0,0.0,0.0,0.0
56,2020-04-27,76.56,78.57,94.44,62.5,18811.0,1289.0,144.0,5.0,0.0,0.0,0.0
57,2020-04-28,78.12,80.36,94.44,62.5,20077.0,1266.0,152.0,8.0,0.0,0.0,0.0
58,2020-04-29,78.12,80.36,94.44,62.5,21402.0,1325.0,157.0,5.0,0.0,0.0,0.0
59,2020-04-30,76.56,78.57,91.67,62.5,22753.0,1351.0,162.0,5.0,0.0,0.0,0.0
60,2020-05-01,76.56,78.57,91.67,62.5,24097.0,1344.0,169.0,7.0,0.0,0.0,0.0
61,2020-05-02,76.56,78.57,91.67,62.5,25459.0,1362.0,176.0,7.0,0.0,0.0,0.0
62,2020-05-03,76.56,78.57,91.67,62.5,27011.0,1552.0,184.0,8.0,0.0,0.0,0.0
