,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-02,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-03,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-04,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-05,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-06,8.33,9.52,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-07,8.33,9.52,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-08,8.33,9.52,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-09,8.33,9.52,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-10,8.33,9.52,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-11,8.33,9.52,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-12,8.33,9.52,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-13,8.33,9.52,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-14,23.96,27.38,27.78,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-15,25.52,29.17,30.56,0.0,24.0,14.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-16,31.77,36.31,41.67,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-17,31.77,36.31,41.67,0.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-18,34.9,39.88,47.22,0.0,31.0,5.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-19,34.9,39.88,47.22,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-20,36.46,41.67,50.0,0.0,38.0,7.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-21,36.46,41.67,50.0,0.0,47.0,9.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-22,36.46,41.67,50.0,0.0,67.0,20.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-23,45.83,52.38,66.67,0.0,79.0,12.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-24,45.83,52.38,66.67,0.0,86.0,7.0,0.0,0.0,0.0,0.0,0.0
23,2020-03-25,58.33,66.67,77.78,0.0,99.0,13.0,0.0,0.0,0.0,0.0,0.0
24,2020-03-26,58.33,66.67,77.78,0.0,105.0,6.0,0.0,0.0,0.0,0.0,0.0
25,2020-03-27,58.33,66.67,77.78,0.0,119.0,14.0,0.0,0.0,0.0,0.0,0.0
26,2020-03-28,58.33,66.67,77.78,0.0,130.0,11.0,0.0,0.0,0.0,0.0,0.0
27,2020-03-29,58.33,66.67,77.78,0.0,142.0,12.0,0.0,0.0,0.0,0.0,0.0
28,2020-03-30,58.33,66.67,77.78,0.0,162.0,20.0,0.0,0.0,0.0,0.0,0.0
29,2020-03-31,58.33,66.67,77.78,0.0,175.0,13.0,0.0,0.0,0.0,0.0,0.0
30,2020-04-01,64.58,66.67,77.78,50.0,190.0,15.0,1.0,1.0,0.0,0.0,0.0
