,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-15,24.48,27.98,25.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-16,29.69,33.93,34.26,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-17,29.69,33.93,34.26,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-18,29.69,33.93,34.26,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-19,29.69,33.93,34.26,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-20,29.69,33.93,34.26,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-21,29.69,33.93,34.26,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-22,32.81,37.5,39.81,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-23,33.85,38.69,41.67,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-24,33.85,38.69,41.67,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-25,33.85,38.69,41.67,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-26,33.85,38.69,41.67,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-27,33.85,38.69,41.67,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-28,33.85,38.69,41.67,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-29,33.85,38.69,41.67,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-30,40.1,45.83,52.78,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-31,40.1,45.83,52.78,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-04-01,44.79,45.83,52.78,37.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-04-02,44.79,45.83,52.78,37.5,10.0,2.0,0.0,0.0,0.0,0.0,0.0
19,2020-04-03,44.79,45.83,52.78,37.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-04-04,44.79,45.83,52.78,37.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-04-05,44.79,45.83,52.78,37.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-04-06,44.79,45.83,52.78,37.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-04-07,44.79,45.83,52.78,37.5,11.0,1.0,0.0,0.0,0.0,0.0,0.0
24,2020-04-08,67.71,72.02,82.41,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2020-04-09,73.96,79.17,93.52,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-04-10,73.96,79.17,93.52,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2020-04-11,73.96,79.17,93.52,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2020-04-12,73.96,79.17,93.52,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2020-04-13,73.96,79.17,93.52,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2020-04-14,73.96,79.17,93.52,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2020-04-15,73.96,79.17,93.52,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2020-04-16,73.96,79.17,93.52,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2020-04-17,73.96,79.17,93.52,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2020-04-18,73.96,79.17,93.52,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2020-04-19,73.96,79.17,93.52,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2020-04-20,73.96,79.17,93.52,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2020-04-21,73.96,79.17,93.52,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2020-04-22,73.96,79.17,93.52,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2020-04-23,73.96,79.17,93.52,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2020-04-24,73.96,79.17,93.52,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2020-04-25,73.96,79.17,93.52,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2020-04-26,73.96,79.17,93.52,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
