,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-31,50.0,53.57,57.41,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-04-01,50.0,53.57,57.41,25.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2,2020-04-02,50.0,53.57,57.41,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-04-03,50.0,53.57,57.41,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-04-04,50.0,53.57,57.41,25.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
5,2020-04-05,67.71,73.81,88.89,25.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
6,2020-04-06,67.71,73.81,88.89,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-04-07,67.71,73.81,88.89,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-04-08,60.42,65.48,75.93,25.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
9,2020-04-09,60.42,65.48,75.93,25.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-04-10,60.42,65.48,75.93,25.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
11,2020-04-11,60.42,65.48,75.93,25.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-04-12,60.42,65.48,75.93,25.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0
13,2020-04-13,60.42,65.48,75.93,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-04-14,60.42,65.48,75.93,25.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
15,2020-04-15,60.42,65.48,75.93,25.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0
16,2020-04-16,60.42,65.48,75.93,25.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0
17,2020-04-17,60.42,65.48,75.93,25.0,26.0,11.0,0.0,0.0,0.0,0.0,0.0
18,2020-04-18,63.54,69.05,81.48,25.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0
19,2020-04-19,63.54,69.05,81.48,25.0,35.0,5.0,0.0,0.0,0.0,0.0,0.0
20,2020-04-20,63.54,69.05,81.48,25.0,43.0,8.0,0.0,0.0,0.0,0.0,0.0
21,2020-04-21,63.54,69.05,81.48,25.0,50.0,7.0,0.0,0.0,0.0,0.0,0.0
22,2020-04-22,68.23,74.4,81.48,25.0,61.0,11.0,0.0,0.0,0.0,0.0,0.0
