,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-06,15.62,17.86,16.67,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-07,15.62,17.86,16.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-08,15.62,17.86,16.67,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-09,18.75,21.43,22.22,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-10,25.0,28.57,33.33,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-11,25.0,28.57,33.33,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-12,33.85,38.69,45.37,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-13,41.15,47.02,58.33,0.0,21.0,11.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-14,44.27,50.6,63.89,0.0,32.0,11.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-15,44.27,50.6,63.89,0.0,44.0,12.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-16,50.52,57.74,75.0,0.0,61.0,17.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-17,52.6,60.12,75.0,0.0,72.0,11.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-18,58.85,60.12,75.0,50.0,96.0,24.0,1.0,1.0,0.0,0.0,0.0
13,2020-03-19,58.85,60.12,75.0,50.0,104.0,8.0,1.0,0.0,0.0,0.0,0.0
14,2020-03-20,58.85,60.12,75.0,50.0,123.0,19.0,1.0,0.0,0.0,0.0,0.0
15,2020-03-21,58.85,60.12,75.0,50.0,137.0,14.0,1.0,0.0,0.0,0.0,0.0
16,2020-03-22,63.02,64.88,75.0,50.0,178.0,41.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-23,63.02,64.88,75.0,50.0,185.0,7.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-24,65.1,67.26,75.0,50.0,204.0,19.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-25,65.1,67.26,75.0,50.0,216.0,12.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-26,65.1,67.26,75.0,50.0,226.0,10.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-27,65.1,67.26,75.0,50.0,269.0,43.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-28,65.1,67.26,75.0,50.0,292.0,23.0,0.0,0.0,0.0,0.0,0.0
23,2020-03-29,69.79,67.26,75.0,87.5,314.0,22.0,0.0,0.0,0.0,0.0,0.0
24,2020-03-30,69.79,67.26,75.0,87.5,336.0,22.0,0.0,0.0,0.0,0.0,0.0
25,2020-03-31,69.79,67.26,75.0,87.5,363.0,27.0,0.0,0.0,0.0,0.0,0.0
26,2020-04-01,69.79,67.26,75.0,87.5,400.0,37.0,1.0,1.0,0.0,0.0,0.0
27,2020-04-02,69.79,67.26,75.0,87.5,426.0,26.0,1.0,0.0,0.0,0.0,0.0
28,2020-04-03,69.79,67.26,75.0,87.5,450.0,24.0,1.0,0.0,0.0,0.0,0.0
29,2020-04-04,69.79,67.26,75.0,87.5,471.0,21.0,1.0,0.0,0.0,0.0,0.0
30,2020-04-05,69.79,67.26,75.0,87.5,485.0,14.0,1.0,0.0,0.0,0.0,0.0
31,2020-04-06,69.79,67.26,75.0,87.5,534.0,49.0,2.0,1.0,0.0,0.0,0.0
32,2020-04-07,69.79,67.26,75.0,87.5,581.0,47.0,2.0,0.0,0.0,0.0,0.0
33,2020-04-08,76.56,75.0,87.04,87.5,682.0,101.0,2.0,0.0,0.0,0.0,0.0
34,2020-04-09,76.56,75.0,87.04,87.5,701.0,19.0,2.0,0.0,0.0,0.0,0.0
35,2020-04-10,76.56,75.0,87.04,87.5,715.0,14.0,2.0,0.0,0.0,0.0,0.0
36,2020-04-11,76.56,75.0,87.04,87.5,728.0,13.0,2.0,0.0,0.0,0.0,0.0
37,2020-04-12,76.56,75.0,87.04,87.5,742.0,14.0,2.0,0.0,0.0,0.0,0.0
38,2020-04-13,76.56,75.0,87.04,87.5,769.0,27.0,2.0,0.0,0.0,0.0,0.0
39,2020-04-14,69.79,67.26,75.0,87.5,835.0,66.0,2.0,0.0,0.0,0.0,0.0
40,2020-04-15,69.79,67.26,75.0,87.5,863.0,28.0,6.0,4.0,0.0,0.0,0.0
41,2020-04-16,69.79,67.26,75.0,87.5,977.0,114.0,8.0,2.0,0.0,0.0,0.0
42,2020-04-17,69.79,67.26,75.0,87.5,1049.0,72.0,9.0,1.0,0.0,0.0,0.0
43,2020-04-18,69.79,67.26,75.0,87.5,1089.0,40.0,11.0,2.0,0.0,0.0,0.0
44,2020-04-19,69.79,67.26,75.0,87.5,1161.0,72.0,12.0,1.0,0.0,0.0,0.0
45,2020-04-20,69.79,67.26,75.0,87.5,1173.0,12.0,13.0,1.0,0.0,0.0,0.0
46,2020-04-21,69.79,67.26,75.0,87.5,1199.0,26.0,14.0,1.0,0.0,0.0,0.0
47,2020-04-22,69.79,67.26,75.0,87.5,1244.0,45.0,14.0,0.0,0.0,0.0,0.0
48,2020-04-23,69.79,67.26,75.0,87.5,1325.0,81.0,15.0,1.0,0.0,0.0,0.0
49,2020-04-24,69.79,67.26,75.0,87.5,1360.0,35.0,17.0,2.0,0.0,0.0,0.0
50,2020-04-25,69.79,67.26,75.0,87.5,1373.0,13.0,17.0,0.0,0.0,0.0,0.0
51,2020-04-26,69.79,67.26,75.0,87.5,1379.0,6.0,18.0,1.0,0.0,0.0,0.0
52,2020-04-27,69.79,67.26,75.0,87.5,1381.0,2.0,18.0,0.0,0.0,0.0,0.0
53,2020-04-28,74.48,72.62,75.0,87.5,1384.0,3.0,20.0,2.0,0.0,0.0,0.0
54,2020-04-29,74.48,72.62,75.0,87.5,1391.0,7.0,22.0,2.0,0.0,0.0,0.0
55,2020-04-30,74.48,72.62,75.0,87.5,1396.0,5.0,23.0,1.0,0.0,0.0,0.0
56,2020-05-01,74.48,72.62,75.0,87.5,1403.0,7.0,23.0,0.0,0.0,0.0,0.0
57,2020-05-02,74.48,72.62,75.0,87.5,1407.0,4.0,24.0,1.0,0.0,0.0,0.0
58,2020-05-03,74.48,72.62,75.0,87.5,1408.0,1.0,24.0,0.0,0.0,0.0,0.0
59,2020-05-04,74.48,72.62,75.0,87.5,1413.0,5.0,25.0,1.0,0.0,0.0,0.0
60,2020-05-05,74.48,72.62,75.0,87.5,1421.0,8.0,25.0,0.0,0.0,0.0,0.0
61,2020-05-06,72.4,70.24,71.3,87.5,1429.0,8.0,25.0,0.0,0.0,0.0,0.0
62,2020-05-07,72.4,70.24,71.3,87.5,1445.0,16.0,26.0,1.0,0.0,0.0,0.0
63,2020-05-08,72.4,70.24,71.3,87.5,1455.0,10.0,26.0,0.0,0.0,0.0,0.0
64,2020-05-09,72.4,70.24,71.3,87.5,1455.0,0.0,26.0,0.0,0.0,0.0,0.0
65,2020-05-10,72.4,70.24,71.3,87.5,1457.0,2.0,26.0,0.0,0.0,0.0,0.0
66,2020-05-11,72.4,70.24,71.3,87.5,1457.0,0.0,26.0,0.0,0.0,0.0,0.0
67,2020-05-12,72.4,70.24,71.3,87.5,1465.0,8.0,27.0,1.0,0.0,0.0,0.0
68,2020-05-13,72.4,70.24,71.3,87.5,1469.0,4.0,27.0,0.0,0.0,0.0,0.0
69,2020-05-14,72.4,70.24,71.3,87.5,1477.0,8.0,27.0,0.0,0.0,0.0,0.0
70,2020-05-15,72.4,70.24,71.3,87.5,1480.0,3.0,27.0,0.0,0.0,0.0,0.0
71,2020-05-16,72.4,70.24,71.3,87.5,1493.0,13.0,28.0,1.0,0.0,0.0,0.0
72,2020-05-17,72.4,70.24,71.3,87.5,1494.0,1.0,28.0,0.0,0.0,0.0,0.0
73,2020-05-18,72.4,70.24,71.3,87.5,1495.0,1.0,28.0,0.0,0.0,0.0,0.0
74,2020-05-19,72.4,70.24,71.3,87.5,1495.0,0.0,28.0,0.0,0.0,0.0,0.0
75,2020-05-20,72.4,70.24,71.3,87.5,1496.0,1.0,28.0,0.0,0.0,0.0,0.0
76,2020-05-21,72.4,70.24,71.3,87.5,1502.0,6.0,28.0,0.0,0.0,0.0,0.0
77,2020-05-22,72.4,70.24,71.3,87.5,1503.0,1.0,28.0,0.0,0.0,0.0,0.0
78,2020-05-23,72.4,70.24,71.3,87.5,1504.0,1.0,28.0,0.0,0.0,0.0,0.0
79,2020-05-24,72.4,70.24,71.3,87.5,1509.0,5.0,28.0,0.0,0.0,0.0,0.0
80,2020-05-25,72.4,70.24,71.3,87.5,1511.0,2.0,28.0,0.0,0.0,0.0,0.0
81,2020-05-26,72.4,70.24,71.3,87.5,1513.0,2.0,28.0,0.0,0.0,0.0,0.0
82,2020-05-27,72.4,70.24,71.3,87.5,1515.0,2.0,28.0,0.0,0.0,0.0,0.0
83,2020-05-28,72.4,70.24,71.3,87.5,1520.0,5.0,28.0,0.0,0.0,0.0,0.0
84,2020-05-29,72.4,70.24,71.3,87.5,1520.0,0.0,28.0,0.0,0.0,0.0,0.0
85,2020-05-30,72.4,70.24,71.3,87.5,1521.0,1.0,28.0,0.0,0.0,0.0,0.0
86,2020-05-31,72.4,70.24,71.3,87.5,1521.0,0.0,28.0,0.0,0.0,0.0,0.0
87,2020-06-01,70.31,67.86,67.59,87.5,1522.0,1.0,28.0,0.0,0.0,0.0,0.0
88,2020-06-02,70.31,67.86,67.59,87.5,1522.0,0.0,28.0,0.0,0.0,0.0,0.0
89,2020-06-03,58.85,54.76,50.93,87.5,1525.0,3.0,28.0,0.0,0.0,0.0,0.0
90,2020-06-04,58.85,54.76,50.93,87.5,1526.0,1.0,28.0,0.0,0.0,0.0,0.0
91,2020-06-05,57.29,52.98,48.15,87.5,1526.0,0.0,28.0,0.0,0.0,0.0,0.0
92,2020-06-06,57.29,52.98,48.15,87.5,1528.0,2.0,28.0,0.0,0.0,0.0,0.0
93,2020-06-07,57.29,52.98,48.15,87.5,1528.0,0.0,28.0,0.0,0.0,0.0,0.0
94,2020-06-08,57.29,52.98,48.15,87.5,1530.0,2.0,28.0,0.0,0.0,0.0,0.0
95,2020-06-09,57.29,52.98,48.15,87.5,1531.0,1.0,28.0,0.0,0.0,0.0,0.0
96,2020-06-10,55.73,51.19,45.37,87.5,1533.0,2.0,28.0,0.0,0.0,0.0,0.0
97,2020-06-11,55.73,51.19,45.37,87.5,1541.0,8.0,28.0,0.0,0.0,0.0,0.0
98,2020-06-12,55.73,51.19,45.37,87.5,1542.0,1.0,28.0,0.0,0.0,0.0,0.0
99,2020-06-13,55.73,51.19,45.37,87.5,1545.0,3.0,28.0,0.0,0.0,0.0,0.0
100,2020-06-14,53.65,48.81,41.67,87.5,1548.0,3.0,28.0,0.0,0.0,0.0,0.0
101,2020-06-15,53.65,48.81,41.67,87.5,1552.0,4.0,28.0,0.0,0.0,0.0,0.0
102,2020-06-16,53.65,48.81,41.67,87.5,1552.0,0.0,28.0,0.0,0.0,0.0,0.0
103,2020-06-17,53.65,48.81,41.67,87.5,1561.0,9.0,28.0,0.0,0.0,0.0,0.0
104,2020-06-18,53.65,48.81,41.67,87.5,1562.0,1.0,28.0,0.0,0.0,0.0,0.0
105,2020-06-19,53.65,48.81,41.67,87.5,1576.0,14.0,28.0,0.0,0.0,0.0,0.0
106,2020-06-20,52.08,47.02,38.89,87.5,1586.0,10.0,28.0,0.0,0.0,0.0,0.0
107,2020-06-21,52.08,47.02,38.89,87.5,1587.0,1.0,28.0,0.0,0.0,0.0,0.0
108,2020-06-22,52.08,47.02,38.89,87.5,1588.0,1.0,28.0,0.0,0.0,0.0,0.0
109,2020-06-23,52.08,47.02,38.89,87.5,1589.0,1.0,28.0,0.0,0.0,0.0,0.0
110,2020-06-24,52.08,47.02,38.89,87.5,1607.0,18.0,28.0,0.0,0.0,0.0,0.0
111,2020-06-25,52.08,47.02,38.89,87.5,1630.0,23.0,28.0,0.0,0.0,0.0,0.0
112,2020-06-26,52.08,47.02,38.89,87.5,1643.0,13.0,28.0,0.0,0.0,0.0,0.0
113,2020-06-27,52.08,47.02,38.89,87.5,1657.0,14.0,28.0,0.0,0.0,0.0,0.0
114,2020-06-28,52.08,47.02,38.89,87.5,1664.0,7.0,28.0,0.0,0.0,0.0,0.0
115,2020-06-29,52.08,47.02,38.89,87.5,1665.0,1.0,28.0,0.0,0.0,0.0,0.0
116,2020-06-30,52.08,47.02,38.89,87.5,1667.0,2.0,28.0,0.0,0.0,0.0,0.0
117,2020-07-01,52.08,47.02,38.89,87.5,1687.0,20.0,28.0,0.0,0.0,0.0,0.0
118,2020-07-02,52.08,47.02,38.89,87.5,1700.0,13.0,28.0,0.0,0.0,0.0,0.0
119,2020-07-03,52.08,47.02,38.89,87.5,1720.0,20.0,28.0,0.0,0.0,0.0,0.0
120,2020-07-04,52.08,47.02,38.89,87.5,1749.0,29.0,28.0,0.0,0.0,0.0,0.0
121,2020-07-05,52.08,47.02,38.89,87.5,1764.0,15.0,28.0,0.0,0.0,0.0,0.0
122,2020-07-06,52.08,47.02,38.89,87.5,1765.0,1.0,28.0,0.0,0.0,0.0,0.0
123,2020-07-07,52.08,47.02,38.89,87.5,1767.0,2.0,28.0,0.0,0.0,0.0,0.0
124,2020-07-08,52.08,47.02,38.89,87.5,1798.0,31.0,28.0,0.0,0.0,0.0,0.0
125,2020-07-09,52.08,47.02,38.89,87.5,1851.0,53.0,28.0,0.0,0.0,0.0,0.0
126,2020-07-10,52.08,47.02,38.89,87.5,1870.0,19.0,28.0,0.0,0.0,0.0,0.0
127,2020-07-11,52.08,47.02,38.89,87.5,1893.0,23.0,28.0,0.0,0.0,0.0,0.0
128,2020-07-12,52.08,47.02,38.89,87.5,1901.0,8.0,28.0,0.0,0.0,0.0,0.0
129,2020-07-13,52.08,47.02,38.89,87.5,1902.0,1.0,28.0,0.0,0.0,0.0,0.0
130,2020-07-14,52.08,47.02,38.89,87.5,1908.0,6.0,28.0,0.0,0.0,0.0,0.0
131,2020-07-15,52.08,47.02,38.89,87.5,1927.0,19.0,28.0,0.0,0.0,0.0,0.0
132,2020-07-16,52.08,47.02,38.89,87.5,1951.0,24.0,28.0,0.0,0.0,0.0,0.0
133,2020-07-17,52.08,47.02,38.89,87.5,1965.0,14.0,28.0,0.0,0.0,0.0,0.0
134,2020-07-18,52.08,47.02,38.89,87.5,1976.0,11.0,28.0,0.0,0.0,0.0,0.0
135,2020-07-19,52.08,47.02,38.89,87.5,1979.0,3.0,28.0,0.0,0.0,0.0,0.0
136,2020-07-20,52.08,47.02,38.89,87.5,1980.0,1.0,28.0,0.0,0.0,0.0,0.0
137,2020-07-21,52.08,47.02,38.89,87.5,2021.0,41.0,28.0,0.0,0.0,0.0,0.0
138,2020-07-22,52.08,47.02,38.89,87.5,2058.0,37.0,28.0,0.0,0.0,0.0,0.0
139,2020-07-23,52.08,47.02,38.89,87.5,2089.0,31.0,28.0,0.0,0.0,0.0,0.0
140,2020-07-24,52.08,47.02,38.89,87.5,2118.0,29.0,28.0,0.0,0.0,0.0,0.0
141,2020-07-25,52.08,47.02,38.89,87.5,2141.0,23.0,28.0,0.0,0.0,0.0,0.0
142,2020-07-26,52.08,47.02,38.89,87.5,2179.0,38.0,28.0,0.0,0.0,0.0,0.0
143,2020-07-27,52.08,47.02,38.89,87.5,2181.0,2.0,28.0,0.0,0.0,0.0,0.0
144,2020-07-28,52.08,47.02,38.89,87.5,2204.0,23.0,28.0,0.0,0.0,0.0,0.0
145,2020-07-29,52.08,47.02,38.89,87.5,2245.0,41.0,28.0,0.0,0.0,0.0,0.0
146,2020-07-30,52.08,47.02,38.89,87.5,2265.0,20.0,28.0,0.0,0.0,0.0,0.0
147,2020-07-31,52.08,47.02,38.89,87.5,2292.0,27.0,29.0,1.0,0.0,0.0,0.0
148,2020-08-01,52.08,47.02,38.89,87.5,2337.0,45.0,29.0,0.0,0.0,0.0,0.0
149,2020-08-02,52.08,47.02,38.89,87.5,2344.0,7.0,29.0,0.0,0.0,0.0,0.0
150,2020-08-03,52.08,47.02,38.89,87.5,2354.0,10.0,29.0,0.0,0.0,0.0,0.0
151,2020-08-04,52.08,47.02,38.89,87.5,2368.0,14.0,29.0,0.0,0.0,0.0,0.0
152,2020-08-05,52.08,47.02,38.89,87.5,2417.0,49.0,29.0,0.0,0.0,0.0,0.0
153,2020-08-06,52.08,47.02,38.89,87.5,2480.0,63.0,29.0,0.0,0.0,0.0,0.0
154,2020-08-07,52.08,47.02,38.89,87.5,2523.0,43.0,31.0,2.0,0.0,0.0,0.0
155,2020-08-08,52.08,47.02,38.89,87.5,2566.0,43.0,31.0,0.0,0.0,0.0,0.0
156,2020-08-09,52.08,47.02,38.89,87.5,2596.0,30.0,31.0,0.0,0.0,0.0,0.0
157,2020-08-10,52.08,47.02,38.89,87.5,2599.0,3.0,31.0,0.0,0.0,0.0,0.0
158,2020-08-11,52.08,47.02,38.89,87.5,2615.0,16.0,31.0,0.0,0.0,0.0,0.0
159,2020-08-12,52.08,47.02,38.89,87.5,2690.0,75.0,31.0,0.0,0.0,0.0,0.0
