,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-10-12,29.69,30.36,43.52,25.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1,2020-10-13,29.69,30.36,43.52,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-10-14,29.69,30.36,43.52,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-10-15,29.69,30.36,43.52,25.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
4,2020-10-16,29.69,30.36,43.52,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-10-17,29.69,30.36,43.52,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-10-18,29.69,30.36,43.52,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-10-19,29.69,30.36,43.52,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-10-20,29.69,30.36,43.52,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-10-21,29.69,30.36,43.52,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-10-22,29.69,30.36,43.52,25.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
11,2020-10-23,29.69,30.36,43.52,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-10-24,29.69,30.36,43.52,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-10-25,29.69,30.36,43.52,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-10-26,29.69,30.36,43.52,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-10-27,29.69,30.36,43.52,25.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0
16,2020-10-28,29.69,30.36,43.52,25.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-10-29,29.69,30.36,43.52,25.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-10-30,29.69,30.36,43.52,25.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-10-31,29.69,30.36,43.52,25.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-11-01,29.69,30.36,43.52,25.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-11-02,29.69,30.36,43.52,25.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0
22,2020-11-03,29.69,30.36,43.52,25.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-11-04,29.69,30.36,43.52,25.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-11-05,29.69,30.36,43.52,25.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2020-11-06,29.69,30.36,43.52,25.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-11-07,29.69,30.36,43.52,25.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2020-11-08,29.69,30.36,43.52,25.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2020-11-09,29.69,30.36,43.52,25.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0
29,2020-11-10,29.69,30.36,43.52,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2020-11-11,29.69,30.36,43.52,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2020-11-12,29.69,30.36,43.52,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2020-11-13,29.69,30.36,43.52,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2020-11-14,29.69,30.36,43.52,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2020-11-15,29.69,30.36,43.52,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2020-11-16,29.69,30.36,43.52,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2020-11-17,29.69,30.36,43.52,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2020-11-18,29.69,30.36,43.52,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2020-11-19,29.69,30.36,43.52,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2020-11-20,29.69,30.36,43.52,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2020-11-21,29.69,30.36,43.52,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2020-11-22,29.69,30.36,43.52,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2020-11-23,29.69,30.36,43.52,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2020-11-24,29.69,30.36,43.52,25.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0
44,2020-11-25,29.69,30.36,43.52,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2020-11-26,29.69,30.36,43.52,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2020-11-27,29.69,30.36,43.52,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2020-11-28,29.69,30.36,43.52,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2020-11-29,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2020-11-30,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2020-12-01,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2020-12-02,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2020-12-03,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2020-12-04,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2020-12-05,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2020-12-06,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2020-12-07,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2020-12-08,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2020-12-09,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2020-12-10,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2020-12-11,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2020-12-12,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2020-12-13,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2020-12-14,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2020-12-15,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2020-12-16,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2020-12-17,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2020-12-18,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2020-12-19,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2020-12-20,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2020-12-21,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2020-12-22,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2020-12-23,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2020-12-24,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2020-12-25,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2020-12-26,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2020-12-27,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2020-12-28,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2020-12-29,31.77,32.74,36.11,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2020-12-30,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2020-12-31,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2021-01-01,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
82,2021-01-02,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2021-01-03,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2021-01-04,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2021-01-05,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2021-01-06,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2021-01-07,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2021-01-08,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2021-01-09,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2021-01-10,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2021-01-11,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2021-01-12,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2021-01-13,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2021-01-14,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2021-01-15,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2021-01-16,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2021-01-17,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2021-01-18,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2021-01-19,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2021-01-20,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2021-01-21,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2021-01-22,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2021-01-23,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
104,2021-01-24,27.08,30.95,33.33,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
