,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-16,4.69,5.36,8.33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-17,4.69,5.36,8.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-18,6.25,7.14,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-19,23.44,26.79,41.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-20,23.44,26.79,41.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-21,29.69,33.93,52.78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-22,29.69,33.93,52.78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-23,29.69,33.93,52.78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-24,29.69,33.93,52.78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-25,31.77,36.31,52.78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-26,31.77,36.31,52.78,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-27,31.77,36.31,52.78,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-28,31.77,36.31,52.78,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-29,31.77,36.31,52.78,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-30,31.77,36.31,52.78,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-31,31.77,36.31,52.78,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
16,2020-04-01,31.77,36.31,52.78,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-04-02,31.77,36.31,52.78,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-04-03,31.77,36.31,52.78,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
19,2020-04-04,31.77,36.31,52.78,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-04-05,31.77,36.31,52.78,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-04-06,31.77,36.31,52.78,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-04-07,31.77,36.31,52.78,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
23,2020-04-08,31.77,36.31,52.78,0.0,12.0,4.0,1.0,1.0,0.0,0.0,0.0
24,2020-04-09,31.77,36.31,52.78,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0
