,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-14,18.75,21.43,33.33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-15,23.96,27.38,33.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-16,34.9,39.88,52.78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-17,34.9,39.88,52.78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-18,34.9,39.88,52.78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-19,34.9,39.88,52.78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-20,34.9,39.88,52.78,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-21,34.9,39.88,52.78,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-22,34.9,39.88,52.78,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-23,34.9,39.88,52.78,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-24,34.9,39.88,52.78,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-25,34.9,39.88,52.78,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-26,34.9,39.88,52.78,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-27,34.9,39.88,52.78,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-28,45.31,51.79,71.3,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-29,49.48,56.55,71.3,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-30,49.48,56.55,71.3,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-31,49.48,56.55,71.3,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
18,2020-04-01,49.48,56.55,71.3,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
19,2020-04-02,49.48,56.55,71.3,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-04-03,49.48,56.55,71.3,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0
21,2020-04-04,49.48,56.55,71.3,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
22,2020-04-05,49.48,56.55,71.3,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
23,2020-04-06,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
24,2020-04-07,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
25,2020-04-08,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
26,2020-04-09,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
27,2020-04-10,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
28,2020-04-11,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
29,2020-04-12,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
30,2020-04-13,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
31,2020-04-14,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
32,2020-04-15,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
33,2020-04-16,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
34,2020-04-17,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
35,2020-04-18,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
36,2020-04-19,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
37,2020-04-20,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
38,2020-04-21,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
39,2020-04-22,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
40,2020-04-23,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
41,2020-04-24,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
42,2020-04-25,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
43,2020-04-26,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
44,2020-04-27,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
45,2020-04-28,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
46,2020-04-29,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
47,2020-04-30,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
48,2020-05-01,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
49,2020-05-02,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
50,2020-05-03,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
51,2020-05-04,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
52,2020-05-05,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
53,2020-05-06,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
54,2020-05-07,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
55,2020-05-08,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
56,2020-05-09,55.73,63.69,82.41,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
57,2020-05-10,54.17,61.9,79.63,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
58,2020-05-11,54.17,61.9,79.63,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
59,2020-05-12,54.17,61.9,79.63,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
