,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-25,11.98,13.69,8.33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-02-26,11.98,13.69,8.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-02-27,15.1,17.26,13.89,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0
3,2020-02-28,20.31,23.21,19.44,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-02-29,20.31,23.21,19.44,0.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-01,20.31,23.21,19.44,0.0,27.0,9.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-02,20.31,23.21,19.44,0.0,42.0,15.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-03,23.44,26.79,25.0,0.0,56.0,14.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-04,23.44,26.79,25.0,0.0,90.0,34.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-05,23.44,26.79,25.0,0.0,114.0,24.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-06,23.44,26.79,25.0,0.0,214.0,100.0,1.0,1.0,0.0,0.0,0.0
11,2020-03-07,21.35,24.4,25.0,0.0,268.0,54.0,1.0,0.0,0.0,0.0,0.0
12,2020-03-08,21.35,24.4,25.0,0.0,337.0,69.0,2.0,1.0,0.0,0.0,0.0
13,2020-03-09,21.35,24.4,25.0,0.0,374.0,37.0,2.0,0.0,0.0,0.0,0.0
14,2020-03-10,24.48,27.98,25.0,0.0,491.0,117.0,5.0,3.0,0.0,0.0,0.0
15,2020-03-11,24.48,27.98,25.0,0.0,652.0,161.0,7.0,2.0,0.0,0.0,0.0
16,2020-03-12,24.48,27.98,25.0,0.0,652.0,0.0,10.0,3.0,0.0,0.0,0.0
17,2020-03-13,29.17,33.33,33.33,0.0,1139.0,487.0,11.0,1.0,0.0,0.0,0.0
18,2020-03-14,29.17,33.33,33.33,0.0,1359.0,220.0,14.0,3.0,0.0,0.0,0.0
19,2020-03-15,29.17,33.33,33.33,0.0,2200.0,841.0,22.0,8.0,0.0,0.0,0.0
20,2020-03-16,35.42,40.48,44.44,0.0,2200.0,0.0,33.0,11.0,0.0,0.0,0.0
21,2020-03-17,51.56,58.93,73.15,0.0,2700.0,500.0,40.0,7.0,0.0,0.0,0.0
22,2020-03-18,52.6,60.12,73.15,0.0,3028.0,328.0,48.0,8.0,0.0,0.0,0.0
23,2020-03-19,55.73,60.12,73.15,25.0,4075.0,1047.0,58.0,10.0,0.0,0.0,0.0
24,2020-03-20,60.42,60.12,73.15,62.5,5294.0,1219.0,78.0,20.0,0.0,0.0,0.0
25,2020-03-21,60.42,60.12,73.15,62.5,6575.0,1281.0,98.0,20.0,0.0,0.0,0.0
26,2020-03-22,60.42,60.12,73.15,62.5,7474.0,899.0,113.0,15.0,0.0,0.0,0.0
27,2020-03-23,60.42,60.12,73.15,62.5,8795.0,1321.0,141.0,28.0,0.0,0.0,0.0
28,2020-03-24,60.42,60.12,73.15,62.5,9877.0,1082.0,161.0,20.0,0.0,0.0,0.0
29,2020-03-25,60.42,60.12,73.15,62.5,10897.0,1020.0,196.0,35.0,0.0,0.0,0.0
30,2020-03-26,60.42,60.12,73.15,62.5,11811.0,914.0,238.0,42.0,0.0,0.0,0.0
31,2020-03-27,60.42,60.12,73.15,62.5,12928.0,1117.0,273.0,35.0,0.0,0.0,0.0
32,2020-03-28,60.42,60.12,73.15,62.5,14076.0,1148.0,329.0,56.0,0.0,0.0,0.0
33,2020-03-29,60.42,60.12,73.15,62.5,14829.0,753.0,376.0,47.0,0.0,0.0,0.0
34,2020-03-30,60.42,60.12,73.15,62.5,15922.0,1093.0,434.0,58.0,0.0,0.0,0.0
35,2020-03-31,60.42,60.12,73.15,62.5,16605.0,683.0,485.0,51.0,0.0,0.0,0.0
36,2020-04-01,60.42,60.12,73.15,62.5,17768.0,1163.0,546.0,61.0,0.0,0.0,0.0
37,2020-04-02,60.42,60.12,73.15,62.5,18827.0,1059.0,605.0,59.0,0.0,0.0,0.0
38,2020-04-03,60.42,60.12,73.15,62.5,19606.0,779.0,660.0,55.0,0.0,0.0,0.0
39,2020-04-04,60.42,60.12,73.15,62.5,20505.0,899.0,719.0,59.0,0.0,0.0,0.0
40,2020-04-05,60.42,60.12,73.15,62.5,21100.0,595.0,771.0,52.0,0.0,0.0,0.0
41,2020-04-06,60.42,60.12,73.15,62.5,21657.0,557.0,823.0,52.0,0.0,0.0,0.0
42,2020-04-07,60.42,60.12,73.15,62.5,22253.0,596.0,882.0,59.0,0.0,0.0,0.0
43,2020-04-08,60.42,60.12,73.15,62.5,23280.0,1027.0,946.0,64.0,0.0,0.0,0.0
44,2020-04-09,60.42,60.12,73.15,62.5,24051.0,771.0,991.0,45.0,0.0,0.0,0.0
45,2020-04-10,60.42,60.12,73.15,62.5,24551.0,500.0,1046.0,55.0,0.0,0.0,0.0
46,2020-04-11,60.42,60.12,73.15,62.5,25107.0,556.0,1087.0,41.0,0.0,0.0,0.0
47,2020-04-12,60.42,60.12,73.15,62.5,25415.0,308.0,1141.0,54.0,0.0,0.0,0.0
48,2020-04-13,60.42,60.12,73.15,62.5,25688.0,273.0,1173.0,32.0,0.0,0.0,0.0
49,2020-04-14,60.42,60.12,73.15,62.5,25936.0,248.0,1209.0,36.0,0.0,0.0,0.0
50,2020-04-15,60.42,60.12,73.15,62.5,26336.0,400.0,1256.0,47.0,0.0,0.0,0.0
51,2020-04-16,60.42,60.12,73.15,62.5,26732.0,396.0,1298.0,42.0,0.0,0.0,0.0
52,2020-04-17,60.42,60.12,73.15,62.5,27078.0,346.0,1330.0,32.0,0.0,0.0,0.0
53,2020-04-18,60.42,60.12,73.15,62.5,27404.0,326.0,1366.0,36.0,0.0,0.0,0.0
54,2020-04-19,60.42,60.12,73.15,62.5,27740.0,336.0,1391.0,25.0,0.0,0.0,0.0
55,2020-04-20,60.42,60.12,73.15,62.5,27944.0,204.0,1432.0,41.0,0.0,0.0,0.0
56,2020-04-21,60.42,60.12,73.15,62.5,28063.0,119.0,1469.0,37.0,0.0,0.0,0.0
57,2020-04-22,60.42,60.12,73.15,62.5,28268.0,205.0,1497.0,28.0,0.0,0.0,0.0
58,2020-04-23,60.42,60.12,73.15,62.5,28496.0,228.0,1531.0,34.0,0.0,0.0,0.0
59,2020-04-24,60.42,60.12,73.15,62.5,28677.0,181.0,1554.0,23.0,0.0,0.0,0.0
60,2020-04-25,60.42,60.12,73.15,62.5,28894.0,217.0,1581.0,27.0,0.0,0.0,0.0
61,2020-04-26,60.42,60.12,73.15,62.5,29061.0,167.0,1594.0,13.0,0.0,0.0,0.0
62,2020-04-27,58.33,57.74,69.44,62.5,29164.0,103.0,1614.0,20.0,0.0,0.0,0.0
63,2020-04-28,58.33,57.74,69.44,62.5,29264.0,100.0,1637.0,23.0,0.0,0.0,0.0
64,2020-04-29,58.33,57.74,69.44,62.5,29407.0,143.0,1649.0,12.0,0.0,0.0,0.0
65,2020-04-30,58.85,58.33,69.44,62.5,29586.0,179.0,1665.0,16.0,0.0,0.0,0.0
66,2020-05-01,58.85,58.33,69.44,62.5,29705.0,119.0,1679.0,14.0,0.0,0.0,0.0
67,2020-05-02,58.85,58.33,69.44,62.5,29817.0,112.0,1688.0,9.0,0.0,0.0,0.0
68,2020-05-03,58.85,58.33,69.44,62.5,29905.0,88.0,1695.0,7.0,0.0,0.0,0.0
69,2020-05-04,58.85,58.33,69.44,62.5,29981.0,76.0,1702.0,7.0,0.0,0.0,0.0
70,2020-05-05,58.85,58.33,69.44,62.5,30009.0,28.0,1714.0,12.0,0.0,0.0,0.0
71,2020-05-06,58.85,58.33,69.44,62.5,30060.0,51.0,1719.0,5.0,0.0,0.0,0.0
72,2020-05-07,58.85,58.33,69.44,62.5,30126.0,66.0,1730.0,11.0,0.0,0.0,0.0
73,2020-05-08,58.85,58.33,69.44,62.5,30207.0,81.0,1738.0,8.0,0.0,0.0,0.0
74,2020-05-09,58.85,58.33,69.44,62.5,30251.0,44.0,1745.0,7.0,0.0,0.0,0.0
75,2020-05-10,58.85,58.33,69.44,62.5,30305.0,54.0,1754.0,9.0,0.0,0.0,0.0
76,2020-05-11,57.81,57.14,58.33,62.5,30344.0,39.0,1757.0,3.0,0.0,0.0,0.0
77,2020-05-12,57.81,57.14,58.33,62.5,30380.0,36.0,1758.0,1.0,0.0,0.0,0.0
78,2020-05-13,57.81,57.14,58.33,62.5,30413.0,33.0,1761.0,3.0,0.0,0.0,0.0
79,2020-05-14,57.81,57.14,58.33,62.5,30463.0,50.0,1763.0,2.0,0.0,0.0,0.0
80,2020-05-15,57.81,57.14,58.33,62.5,30514.0,51.0,1767.0,4.0,0.0,0.0,0.0
81,2020-05-16,57.81,57.14,58.33,62.5,30572.0,58.0,1768.0,1.0,0.0,0.0,0.0
82,2020-05-17,57.81,57.14,58.33,62.5,30587.0,15.0,1772.0,4.0,0.0,0.0,0.0
83,2020-05-18,57.81,57.14,58.33,62.5,30597.0,10.0,1778.0,6.0,0.0,0.0,0.0
84,2020-05-19,57.81,57.14,58.33,62.5,30618.0,21.0,1781.0,3.0,0.0,0.0,0.0
85,2020-05-20,57.81,57.14,58.33,62.5,30658.0,40.0,1781.0,0.0,0.0,0.0,0.0
86,2020-05-21,57.81,57.14,58.33,62.5,30694.0,36.0,1786.0,5.0,0.0,0.0,0.0
87,2020-05-22,57.81,57.14,58.33,62.5,30707.0,13.0,1788.0,2.0,0.0,0.0,0.0
88,2020-05-23,57.81,57.14,58.33,62.5,30725.0,18.0,1789.0,1.0,0.0,0.0,0.0
89,2020-05-24,57.81,57.14,58.33,62.5,30736.0,11.0,1790.0,1.0,0.0,0.0,0.0
90,2020-05-25,56.77,55.95,58.33,62.5,30746.0,10.0,1793.0,3.0,0.0,0.0,0.0
91,2020-05-26,56.77,55.95,58.33,62.5,30761.0,15.0,1795.0,2.0,0.0,0.0,0.0
92,2020-05-27,56.77,55.95,58.33,62.5,30776.0,15.0,1796.0,1.0,0.0,0.0,0.0
93,2020-05-28,56.77,55.95,58.33,62.5,30796.0,20.0,1796.0,0.0,0.0,0.0,0.0
94,2020-05-29,56.77,55.95,58.33,62.5,30828.0,32.0,1796.0,0.0,0.0,0.0,0.0
95,2020-05-30,55.21,54.17,55.56,62.5,30845.0,17.0,1796.0,0.0,0.0,0.0,0.0
96,2020-05-31,55.21,54.17,55.56,62.5,30862.0,17.0,1796.0,0.0,0.0,0.0,0.0
97,2020-06-01,52.08,54.17,55.56,37.5,30871.0,9.0,1796.0,0.0,0.0,0.0,0.0
98,2020-06-02,52.08,54.17,55.56,37.5,30874.0,3.0,1796.0,0.0,0.0,0.0,0.0
99,2020-06-03,52.08,54.17,55.56,37.5,30893.0,19.0,1796.0,0.0,0.0,0.0,0.0
100,2020-06-04,52.08,54.17,55.56,37.5,30913.0,20.0,1796.0,0.0,0.0,0.0,0.0
101,2020-06-05,52.08,54.17,55.56,37.5,30936.0,23.0,1796.0,0.0,0.0,0.0,0.0
102,2020-06-06,46.88,48.21,46.3,37.5,30956.0,20.0,1796.0,0.0,0.0,0.0,0.0
103,2020-06-07,46.88,48.21,46.3,37.5,30965.0,9.0,1798.0,2.0,0.0,0.0,0.0
104,2020-06-08,46.88,48.21,46.3,37.5,30972.0,7.0,1799.0,1.0,0.0,0.0,0.0
105,2020-06-09,46.88,48.21,46.3,37.5,30988.0,16.0,1799.0,0.0,0.0,0.0,0.0
106,2020-06-10,46.88,48.21,46.3,37.5,31011.0,23.0,1800.0,1.0,0.0,0.0,0.0
107,2020-06-11,48.96,50.6,46.3,37.5,31044.0,33.0,1800.0,0.0,0.0,0.0,0.0
108,2020-06-12,48.96,50.6,46.3,37.5,31063.0,19.0,1802.0,2.0,0.0,0.0,0.0
109,2020-06-13,48.96,50.6,46.3,37.5,31094.0,31.0,1802.0,0.0,0.0,0.0,0.0
110,2020-06-14,48.96,50.6,46.3,37.5,31117.0,23.0,1802.0,0.0,0.0,0.0,0.0
111,2020-06-15,48.96,50.6,46.3,37.5,31131.0,14.0,1802.0,0.0,0.0,0.0,0.0
112,2020-06-16,48.96,50.6,46.3,37.5,31154.0,23.0,1803.0,1.0,0.0,0.0,0.0
113,2020-06-17,48.96,50.6,46.3,37.5,31187.0,33.0,1805.0,2.0,0.0,0.0,0.0
114,2020-06-18,48.96,50.6,46.3,37.5,31200.0,13.0,1805.0,0.0,0.0,0.0,0.0
115,2020-06-19,48.96,50.6,46.3,37.5,31235.0,35.0,1805.0,0.0,0.0,0.0,0.0
116,2020-06-20,48.96,50.6,46.3,37.5,31243.0,8.0,1805.0,0.0,0.0,0.0,0.0
117,2020-06-21,48.96,50.6,46.3,37.5,31292.0,49.0,1806.0,1.0,0.0,0.0,0.0
118,2020-06-22,42.71,43.45,35.19,37.5,31310.0,18.0,1808.0,2.0,0.0,0.0,0.0
119,2020-06-23,42.71,43.45,35.19,37.5,31332.0,22.0,1808.0,0.0,0.0,0.0,0.0
120,2020-06-24,42.71,43.45,35.19,37.5,31376.0,44.0,1808.0,0.0,0.0,0.0,0.0
121,2020-06-25,42.71,43.45,35.19,37.5,31428.0,52.0,1808.0,0.0,0.0,0.0,0.0
122,2020-06-26,42.71,43.45,35.19,37.5,31486.0,58.0,1808.0,0.0,0.0,0.0,0.0
123,2020-06-27,42.71,43.45,35.19,37.5,31555.0,69.0,1808.0,0.0,0.0,0.0,0.0
124,2020-06-28,42.71,43.45,35.19,37.5,31617.0,62.0,1808.0,0.0,0.0,0.0,0.0
125,2020-06-29,42.71,43.45,35.19,37.5,31652.0,35.0,1809.0,1.0,0.0,0.0,0.0
126,2020-06-30,42.71,43.45,35.19,37.5,31714.0,62.0,1809.0,0.0,0.0,0.0,0.0
127,2020-07-01,42.71,43.45,35.19,37.5,31851.0,137.0,1810.0,1.0,0.0,0.0,0.0
128,2020-07-02,42.71,43.45,35.19,37.5,31967.0,116.0,1810.0,0.0,0.0,0.0,0.0
129,2020-07-03,45.05,46.13,39.35,37.5,32101.0,134.0,1810.0,0.0,0.0,0.0,0.0
130,2020-07-04,45.05,46.13,39.35,37.5,32198.0,97.0,1810.0,0.0,0.0,0.0,0.0
131,2020-07-05,45.05,46.13,39.35,37.5,32268.0,70.0,1810.0,0.0,0.0,0.0,0.0
132,2020-07-06,46.61,47.92,39.35,37.5,32315.0,47.0,1811.0,1.0,0.0,0.0,0.0
133,2020-07-07,46.61,47.92,39.35,37.5,32369.0,54.0,1811.0,0.0,0.0,0.0,0.0
134,2020-07-08,46.61,47.92,39.35,37.5,32498.0,129.0,1813.0,2.0,0.0,0.0,0.0
135,2020-07-09,46.61,47.92,39.35,37.5,32586.0,88.0,1813.0,0.0,0.0,0.0,0.0
136,2020-07-10,46.61,47.92,39.35,37.5,32690.0,104.0,1813.0,0.0,0.0,0.0,0.0
137,2020-07-11,46.61,47.92,39.35,37.5,32817.0,127.0,1813.0,0.0,0.0,0.0,0.0
138,2020-07-12,46.61,47.92,39.35,37.5,32883.0,66.0,1813.0,0.0,0.0,0.0,0.0
139,2020-07-13,46.61,47.92,39.35,37.5,32946.0,63.0,1813.0,0.0,0.0,0.0,0.0
140,2020-07-14,46.61,47.92,39.35,37.5,33016.0,70.0,1813.0,0.0,0.0,0.0,0.0
141,2020-07-15,46.61,47.92,39.35,37.5,33148.0,132.0,1814.0,1.0,0.0,0.0,0.0
142,2020-07-16,46.61,47.92,39.35,37.5,33290.0,142.0,1815.0,1.0,0.0,0.0,0.0
143,2020-07-17,46.61,47.92,39.35,37.5,33382.0,92.0,1815.0,0.0,0.0,0.0,0.0
144,2020-07-18,46.61,47.92,39.35,37.5,33492.0,110.0,1815.0,0.0,0.0,0.0,0.0
145,2020-07-19,46.61,47.92,39.35,37.5,33591.0,99.0,1815.0,0.0,0.0,0.0,0.0
