,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-22,39.58,45.24,61.11,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-23,45.83,52.38,72.22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-24,45.83,52.38,72.22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-25,54.69,62.5,84.26,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-26,54.69,62.5,84.26,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-27,54.69,62.5,84.26,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-28,54.69,62.5,84.26,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-29,54.69,62.5,84.26,0.0,9.0,4.0,1.0,1.0,0.0,0.0,0.0
8,2020-03-30,54.69,62.5,84.26,0.0,10.0,1.0,2.0,1.0,0.0,0.0,0.0
9,2020-03-31,54.69,62.5,84.26,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0
10,2020-04-01,56.25,64.29,87.04,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0
11,2020-04-02,58.33,66.67,87.04,0.0,16.0,6.0,2.0,0.0,0.0,0.0,0.0
12,2020-04-03,58.33,66.67,87.04,0.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0
13,2020-04-04,58.33,66.67,87.04,0.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0
14,2020-04-05,58.33,66.67,87.04,0.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0
15,2020-04-06,58.33,66.67,87.04,0.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0
16,2020-04-07,58.33,66.67,87.04,0.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0
17,2020-04-08,58.33,66.67,87.04,0.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0
18,2020-04-09,58.33,66.67,87.04,0.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0
