,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-01-22,16.15,18.45,13.89,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-23,19.27,22.02,19.44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-01-24,20.83,23.81,19.44,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
3,2020-01-25,20.83,23.81,19.44,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-01-26,20.83,23.81,19.44,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
5,2020-01-27,20.83,23.81,19.44,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
6,2020-01-28,20.83,23.81,19.44,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0
7,2020-01-29,20.83,23.81,19.44,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-01-30,20.83,23.81,19.44,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
9,2020-01-31,20.83,23.81,19.44,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
10,2020-02-01,20.83,23.81,19.44,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-02-02,27.08,30.95,30.56,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-02-03,27.08,30.95,30.56,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-02-04,27.08,30.95,30.56,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
14,2020-02-05,27.08,30.95,30.56,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-02-06,27.08,30.95,30.56,0.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0
16,2020-02-07,27.08,30.95,30.56,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-02-08,27.08,30.95,30.56,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0
18,2020-02-09,27.08,30.95,30.56,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0
19,2020-02-10,27.08,30.95,30.56,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-02-11,27.08,30.95,30.56,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-02-12,27.08,30.95,30.56,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-02-13,27.08,30.95,30.56,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-02-14,27.08,30.95,30.56,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-02-15,27.08,30.95,30.56,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2020-02-16,29.17,33.33,30.56,0.0,20.0,2.0,1.0,1.0,0.0,0.0,0.0
26,2020-02-17,29.17,33.33,30.56,0.0,22.0,2.0,1.0,0.0,0.0,0.0,0.0
27,2020-02-18,29.17,33.33,30.56,0.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0
28,2020-02-19,29.17,33.33,30.56,0.0,23.0,1.0,1.0,0.0,0.0,0.0,0.0
29,2020-02-20,29.17,33.33,30.56,0.0,24.0,1.0,1.0,0.0,0.0,0.0,0.0
30,2020-02-21,29.17,33.33,30.56,0.0,26.0,2.0,1.0,0.0,0.0,0.0,0.0
31,2020-02-22,29.17,33.33,30.56,0.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0
32,2020-02-23,29.17,33.33,30.56,0.0,28.0,2.0,1.0,0.0,0.0,0.0,0.0
33,2020-02-24,29.17,33.33,30.56,0.0,30.0,2.0,1.0,0.0,0.0,0.0,0.0
34,2020-02-25,25.0,28.57,23.15,0.0,31.0,1.0,1.0,0.0,0.0,0.0,0.0
35,2020-02-26,25.0,28.57,23.15,0.0,32.0,1.0,1.0,0.0,0.0,0.0,0.0
36,2020-02-27,25.0,28.57,23.15,0.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0
37,2020-02-28,25.0,28.57,23.15,0.0,34.0,2.0,1.0,0.0,0.0,0.0,0.0
38,2020-02-29,25.0,28.57,23.15,0.0,39.0,5.0,1.0,0.0,0.0,0.0,0.0
39,2020-03-01,25.0,28.57,23.15,0.0,40.0,1.0,1.0,0.0,0.0,0.0,0.0
40,2020-03-02,25.0,28.57,23.15,0.0,41.0,1.0,1.0,0.0,0.0,0.0,0.0
41,2020-03-03,25.0,28.57,23.15,0.0,42.0,1.0,1.0,0.0,0.0,0.0,0.0
42,2020-03-04,25.0,28.57,23.15,0.0,42.0,0.0,1.0,0.0,0.0,0.0,0.0
43,2020-03-05,28.12,32.14,28.7,0.0,44.0,2.0,1.0,0.0,0.0,0.0,0.0
44,2020-03-06,28.12,32.14,28.7,0.0,45.0,1.0,1.0,0.0,0.0,0.0,0.0
