,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-16,10.94,12.5,13.89,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-17,19.79,22.62,29.63,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-18,21.88,25.0,33.33,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-19,21.88,25.0,33.33,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-20,21.88,25.0,33.33,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-21,21.88,25.0,33.33,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-22,23.44,26.79,36.11,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-23,23.44,26.79,36.11,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-24,23.44,26.79,36.11,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-25,23.44,26.79,36.11,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-26,29.69,33.93,47.22,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-27,29.69,33.93,47.22,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-28,29.69,33.93,47.22,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-29,29.69,33.93,47.22,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-30,29.69,33.93,47.22,0.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-31,29.69,33.93,47.22,0.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0
16,2020-04-01,29.69,33.93,47.22,0.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0
17,2020-04-02,29.69,33.93,47.22,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0
18,2020-04-03,29.69,33.93,47.22,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0
19,2020-04-04,29.69,33.93,47.22,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0
20,2020-04-05,29.69,33.93,47.22,0.0,22.0,2.0,1.0,0.0,0.0,0.0,0.0
21,2020-04-06,29.69,33.93,47.22,0.0,24.0,2.0,1.0,0.0,0.0,0.0,0.0
22,2020-04-07,29.69,33.93,47.22,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0
23,2020-04-08,29.69,33.93,47.22,0.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0
24,2020-04-09,29.69,33.93,47.22,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0
25,2020-04-10,29.69,33.93,47.22,0.0,32.0,7.0,3.0,2.0,0.0,0.0,0.0
26,2020-04-11,29.69,33.93,47.22,0.0,32.0,0.0,3.0,0.0,0.0,0.0,0.0
27,2020-04-12,32.81,37.5,52.78,0.0,32.0,0.0,3.0,0.0,0.0,0.0,0.0
28,2020-04-13,32.81,37.5,52.78,0.0,49.0,17.0,3.0,0.0,0.0,0.0,0.0
29,2020-04-14,32.81,37.5,52.78,0.0,53.0,4.0,3.0,0.0,0.0,0.0,0.0
30,2020-04-15,32.81,37.5,52.78,0.0,88.0,35.0,4.0,1.0,0.0,0.0,0.0
31,2020-04-16,32.81,37.5,52.78,0.0,94.0,6.0,4.0,0.0,0.0,0.0,0.0
32,2020-04-17,32.81,37.5,52.78,0.0,147.0,53.0,5.0,1.0,0.0,0.0,0.0
33,2020-04-18,32.81,37.5,52.78,0.0,147.0,0.0,5.0,0.0,0.0,0.0,0.0
34,2020-04-19,32.81,37.5,52.78,0.0,170.0,23.0,7.0,2.0,0.0,0.0,0.0
35,2020-04-20,35.16,40.18,52.78,0.0,254.0,84.0,10.0,3.0,0.0,0.0,0.0
36,2020-04-21,35.16,40.18,52.78,0.0,254.0,0.0,10.0,0.0,0.0,0.0,0.0
37,2020-04-22,35.16,40.18,52.78,0.0,284.0,30.0,10.0,0.0,0.0,0.0,0.0
38,2020-04-23,35.16,40.18,52.78,0.0,284.0,0.0,10.0,0.0,0.0,0.0,0.0
39,2020-04-24,35.16,40.18,52.78,0.0,299.0,15.0,10.0,0.0,0.0,0.0,0.0
40,2020-04-25,35.16,40.18,52.78,0.0,299.0,0.0,10.0,0.0,0.0,0.0,0.0
41,2020-04-26,35.16,40.18,52.78,0.0,299.0,0.0,10.0,0.0,0.0,0.0,0.0
42,2020-04-27,35.16,40.18,52.78,0.0,299.0,0.0,10.0,0.0,0.0,0.0,0.0
43,2020-04-28,35.16,40.18,52.78,0.0,299.0,0.0,10.0,0.0,0.0,0.0,0.0
44,2020-04-29,35.16,40.18,52.78,0.0,480.0,181.0,16.0,6.0,0.0,0.0,0.0
45,2020-04-30,35.16,40.18,52.78,0.0,480.0,0.0,16.0,0.0,0.0,0.0,0.0
46,2020-05-01,35.16,40.18,52.78,0.0,480.0,0.0,16.0,0.0,0.0,0.0,0.0
47,2020-05-02,35.16,40.18,52.78,0.0,480.0,0.0,16.0,0.0,0.0,0.0,0.0
48,2020-05-03,35.16,40.18,52.78,0.0,480.0,0.0,16.0,0.0,0.0,0.0,0.0
49,2020-05-04,35.16,40.18,52.78,0.0,480.0,0.0,16.0,0.0,0.0,0.0,0.0
50,2020-05-05,35.16,40.18,52.78,0.0,480.0,0.0,16.0,0.0,0.0,0.0,0.0
51,2020-05-06,35.16,40.18,52.78,0.0,480.0,0.0,16.0,0.0,0.0,0.0,0.0
52,2020-05-07,35.16,40.18,52.78,0.0,480.0,0.0,16.0,0.0,0.0,0.0,0.0
53,2020-05-08,35.16,40.18,52.78,0.0,509.0,29.0,21.0,5.0,0.0,0.0,0.0
54,2020-05-09,35.16,40.18,52.78,0.0,509.0,0.0,21.0,0.0,0.0,0.0,0.0
55,2020-05-10,35.16,40.18,52.78,0.0,509.0,0.0,21.0,0.0,0.0,0.0,0.0
56,2020-05-11,35.16,40.18,52.78,0.0,509.0,0.0,21.0,0.0,0.0,0.0,0.0
57,2020-05-12,35.16,40.18,52.78,0.0,509.0,0.0,21.0,0.0,0.0,0.0,0.0
58,2020-05-13,35.16,40.18,52.78,0.0,509.0,0.0,21.0,0.0,0.0,0.0,0.0
59,2020-05-14,35.16,40.18,52.78,0.0,509.0,0.0,21.0,0.0,0.0,0.0,0.0
