,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-22,18.23,20.83,13.89,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-23,27.6,31.55,30.56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-24,27.6,31.55,30.56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-25,27.6,31.55,30.56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-26,27.6,31.55,30.56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-27,27.6,31.55,30.56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-28,54.69,62.5,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-29,54.69,62.5,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-30,57.81,62.5,75.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-31,57.81,62.5,75.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-04-01,57.81,62.5,75.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-04-02,57.81,62.5,75.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-04-03,57.81,62.5,75.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-04-04,57.81,62.5,75.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-04-05,57.81,62.5,75.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-04-06,57.81,62.5,75.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-04-07,57.81,62.5,75.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-04-08,57.81,62.5,75.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-04-09,57.81,62.5,75.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-04-10,57.81,62.5,75.0,25.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
20,2020-04-11,57.81,62.5,75.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-04-12,57.81,62.5,75.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-04-13,59.38,64.29,77.78,25.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
23,2020-04-14,59.38,64.29,77.78,25.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
24,2020-04-15,59.38,64.29,77.78,25.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0
25,2020-04-16,59.38,64.29,77.78,25.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0
26,2020-04-17,62.5,64.29,77.78,50.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2020-04-18,62.5,64.29,77.78,50.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2020-04-19,62.5,64.29,77.78,50.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0
29,2020-04-20,62.5,64.29,77.78,50.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0
30,2020-04-21,65.62,67.86,77.78,50.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0
31,2020-04-22,65.62,67.86,77.78,50.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2020-04-23,65.62,67.86,77.78,50.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2020-04-24,65.62,67.86,77.78,50.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0
34,2020-04-25,65.62,67.86,77.78,50.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2020-04-26,65.62,67.86,77.78,50.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2020-04-27,65.62,67.86,77.78,50.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2020-04-28,65.62,67.86,77.78,50.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2020-04-29,65.62,67.86,77.78,50.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2020-04-30,59.38,60.71,66.67,50.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2020-05-01,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2020-05-02,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2020-05-03,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2020-05-04,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2020-05-05,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2020-05-06,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2020-05-07,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2020-05-08,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2020-05-09,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2020-05-10,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2020-05-11,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2020-05-12,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2020-05-13,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2020-05-14,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2020-05-15,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2020-05-16,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2020-05-17,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2020-05-18,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2020-05-19,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2020-05-20,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2020-05-21,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2020-05-22,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2020-05-23,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2020-05-24,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2020-05-25,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2020-05-26,65.62,60.71,66.67,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2020-05-27,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2020-05-28,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2020-05-29,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2020-05-30,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2020-05-31,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2020-06-01,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2020-06-02,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2020-06-03,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2020-06-04,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2020-06-05,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2020-06-06,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2020-06-07,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2020-06-08,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2020-06-09,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2020-06-10,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2020-06-11,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
82,2020-06-12,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2020-06-13,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2020-06-14,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2020-06-15,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2020-06-16,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2020-06-17,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2020-06-18,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2020-06-19,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2020-06-20,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2020-06-21,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2020-06-22,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2020-06-23,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2020-06-24,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2020-06-25,46.88,39.29,33.33,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2020-06-26,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2020-06-27,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2020-06-28,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2020-06-29,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2020-06-30,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2020-07-01,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2020-07-02,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2020-07-03,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
104,2020-07-04,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2020-07-05,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2020-07-06,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
107,2020-07-07,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
108,2020-07-08,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
109,2020-07-09,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2020-07-10,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
111,2020-07-11,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2020-07-12,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
113,2020-07-13,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2020-07-14,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2020-07-15,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2020-07-16,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2020-07-17,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
118,2020-07-18,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
119,2020-07-19,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
120,2020-07-20,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
121,2020-07-21,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
122,2020-07-22,42.71,34.52,29.63,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
123,2020-07-23,36.46,34.52,29.63,50.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
124,2020-07-24,36.46,34.52,29.63,50.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
125,2020-07-25,36.46,34.52,29.63,50.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
126,2020-07-26,36.46,34.52,29.63,50.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
127,2020-07-27,36.46,34.52,29.63,50.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
