,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-06,2.08,2.38,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-07,2.08,2.38,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-08,2.08,2.38,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-09,2.08,2.38,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-10,2.08,2.38,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-11,2.08,2.38,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-12,2.08,2.38,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-13,2.08,2.38,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-14,2.08,2.38,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-15,2.08,2.38,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-16,14.58,16.67,22.22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-17,14.58,16.67,22.22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-18,14.58,16.67,22.22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-19,17.71,20.24,27.78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-20,36.46,41.67,61.11,0.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-21,41.15,47.02,69.44,0.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-22,41.15,47.02,69.44,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-23,41.15,47.02,69.44,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-24,41.15,47.02,69.44,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-25,41.15,47.02,69.44,0.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-26,41.15,47.02,69.44,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-27,41.15,47.02,69.44,0.0,25.0,2.0,1.0,1.0,0.0,0.0,0.0
22,2020-03-28,41.15,47.02,69.44,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0
23,2020-03-29,41.15,47.02,69.44,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0
24,2020-03-30,41.15,47.02,69.44,0.0,30.0,5.0,1.0,0.0,0.0,0.0,0.0
25,2020-03-31,41.15,47.02,69.44,0.0,34.0,4.0,1.0,0.0,0.0,0.0,0.0
26,2020-04-01,44.27,47.02,69.44,25.0,36.0,2.0,2.0,1.0,0.0,0.0,0.0
27,2020-04-02,46.35,49.4,73.15,25.0,39.0,3.0,2.0,0.0,0.0,0.0,0.0
28,2020-04-03,46.35,49.4,73.15,25.0,40.0,1.0,3.0,1.0,0.0,0.0,0.0
29,2020-04-04,46.35,49.4,73.15,25.0,41.0,1.0,3.0,0.0,0.0,0.0,0.0
30,2020-04-05,46.35,49.4,73.15,25.0,44.0,3.0,3.0,0.0,0.0,0.0,0.0
31,2020-04-06,46.35,49.4,73.15,25.0,58.0,14.0,3.0,0.0,0.0,0.0,0.0
32,2020-04-07,46.35,49.4,73.15,25.0,65.0,7.0,3.0,0.0,0.0,0.0,0.0
33,2020-04-08,49.48,49.4,73.15,50.0,70.0,5.0,3.0,0.0,0.0,0.0,0.0
34,2020-04-09,49.48,49.4,73.15,50.0,73.0,3.0,3.0,0.0,0.0,0.0,0.0
35,2020-04-10,49.48,49.4,73.15,50.0,76.0,3.0,3.0,0.0,0.0,0.0,0.0
