,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-14,31.77,36.31,37.96,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-15,31.77,36.31,37.96,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-16,39.58,45.24,51.85,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-17,41.67,47.62,55.56,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-18,41.67,47.62,55.56,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-19,44.79,47.62,55.56,25.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-20,44.79,47.62,55.56,25.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-21,47.92,51.19,61.11,25.0,49.0,40.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-22,47.92,51.19,61.11,25.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-23,51.56,55.36,63.89,25.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-24,51.56,55.36,63.89,25.0,57.0,6.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-25,51.56,55.36,63.89,25.0,60.0,3.0,1.0,1.0,0.0,0.0,0.0
12,2020-03-26,51.56,55.36,63.89,25.0,65.0,5.0,1.0,0.0,0.0,0.0,0.0
13,2020-03-27,51.56,55.36,63.89,25.0,66.0,1.0,2.0,1.0,0.0,0.0,0.0
14,2020-03-28,51.56,55.36,63.89,25.0,74.0,8.0,3.0,1.0,0.0,0.0,0.0
15,2020-03-29,58.85,63.69,69.44,25.0,78.0,4.0,3.0,0.0,0.0,0.0,0.0
16,2020-03-30,63.02,68.45,76.85,25.0,82.0,4.0,3.0,0.0,0.0,0.0,0.0
