,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-04,13.02,14.88,13.89,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-05,13.02,14.88,13.89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-06,13.02,14.88,13.89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-07,13.02,14.88,13.89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-08,13.02,14.88,13.89,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-09,14.58,16.67,16.67,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-10,14.58,16.67,16.67,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-11,14.58,16.67,16.67,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-12,20.83,23.81,27.78,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-13,23.96,27.38,33.33,0.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-14,23.96,27.38,33.33,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-15,23.96,27.38,33.33,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-16,27.08,30.95,38.89,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-17,27.08,30.95,38.89,0.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-18,32.29,36.9,48.15,0.0,29.0,5.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-19,32.29,36.9,48.15,0.0,39.0,10.0,1.0,1.0,0.0,0.0,0.0
16,2020-03-20,48.96,55.95,77.78,0.0,54.0,15.0,1.0,0.0,0.0,0.0,0.0
17,2020-03-21,58.33,55.95,77.78,75.0,60.0,6.0,1.0,0.0,0.0,0.0,0.0
18,2020-03-22,71.88,71.43,90.74,75.0,75.0,15.0,3.0,2.0,0.0,0.0,0.0
19,2020-03-23,71.88,71.43,90.74,75.0,89.0,14.0,3.0,0.0,0.0,0.0,0.0
20,2020-03-24,71.88,71.43,90.74,75.0,114.0,25.0,4.0,1.0,0.0,0.0,0.0
21,2020-03-25,71.88,71.43,90.74,75.0,173.0,59.0,5.0,1.0,0.0,0.0,0.0
22,2020-03-26,71.88,71.43,90.74,75.0,197.0,24.0,6.0,1.0,0.0,0.0,0.0
23,2020-03-27,71.88,71.43,90.74,75.0,227.0,30.0,6.0,0.0,0.0,0.0,0.0
24,2020-03-28,71.88,71.43,90.74,75.0,278.0,51.0,8.0,2.0,0.0,0.0,0.0
25,2020-03-29,71.88,71.43,90.74,75.0,312.0,34.0,8.0,0.0,0.0,0.0,0.0
26,2020-03-30,71.88,71.43,90.74,75.0,312.0,0.0,8.0,0.0,0.0,0.0,0.0
27,2020-03-31,71.88,71.43,90.74,75.0,394.0,82.0,10.0,2.0,0.0,0.0,0.0
28,2020-04-01,71.88,71.43,90.74,75.0,423.0,29.0,12.0,2.0,0.0,0.0,0.0
29,2020-04-02,71.88,71.43,90.74,75.0,455.0,32.0,14.0,2.0,0.0,0.0,0.0
30,2020-04-03,71.88,71.43,90.74,75.0,495.0,40.0,18.0,4.0,0.0,0.0,0.0
31,2020-04-04,71.88,71.43,90.74,75.0,553.0,58.0,18.0,0.0,0.0,0.0,0.0
32,2020-04-05,71.88,71.43,90.74,75.0,574.0,21.0,22.0,4.0,0.0,0.0,0.0
33,2020-04-06,71.88,71.43,90.74,75.0,596.0,22.0,22.0,0.0,0.0,0.0,0.0
