,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-11,20.31,23.21,23.15,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-12,20.31,23.21,23.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-13,20.31,23.21,23.15,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-14,20.31,23.21,23.15,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-15,20.31,23.21,23.15,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-16,36.98,42.26,52.78,0.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-17,36.98,42.26,52.78,0.0,47.0,29.0,1.0,1.0,0.0,0.0,0.0
7,2020-03-18,40.1,45.83,58.33,0.0,98.0,51.0,1.0,0.0,0.0,0.0,0.0
8,2020-03-19,40.1,45.83,58.33,0.0,192.0,94.0,3.0,2.0,0.0,0.0,0.0
9,2020-03-20,40.1,45.83,58.33,0.0,359.0,167.0,4.0,1.0,0.0,0.0,0.0
10,2020-03-21,46.35,52.98,62.04,0.0,670.0,311.0,9.0,5.0,0.0,0.0,0.0
11,2020-03-22,46.35,52.98,62.04,0.0,1236.0,566.0,30.0,21.0,0.0,0.0,0.0
12,2020-03-23,46.35,52.98,62.04,0.0,1529.0,293.0,37.0,7.0,0.0,0.0,0.0
13,2020-03-24,49.48,56.55,67.59,0.0,1872.0,343.0,44.0,7.0,0.0,0.0,0.0
14,2020-03-25,49.48,56.55,67.59,0.0,2433.0,561.0,59.0,15.0,0.0,0.0,0.0
15,2020-03-26,49.48,56.55,67.59,0.0,3629.0,1196.0,75.0,16.0,0.0,0.0,0.0
16,2020-03-27,51.04,58.33,70.37,0.0,5698.0,2069.0,92.0,17.0,0.0,0.0,0.0
17,2020-03-28,54.17,61.9,75.93,0.0,7402.0,1704.0,108.0,16.0,0.0,0.0,0.0
18,2020-03-29,54.17,61.9,75.93,0.0,9217.0,1815.0,131.0,23.0,0.0,0.0,0.0
19,2020-03-30,54.17,61.9,75.93,0.0,10827.0,1610.0,168.0,37.0,0.0,0.0,0.0
20,2020-03-31,54.17,61.9,75.93,0.0,13531.0,2704.0,214.0,46.0,0.0,0.0,0.0
21,2020-04-01,54.17,61.9,75.93,0.0,15679.0,2148.0,277.0,63.0,0.0,0.0,0.0
22,2020-04-02,54.17,61.9,75.93,0.0,18135.0,2456.0,356.0,79.0,0.0,0.0,0.0
23,2020-04-03,54.17,61.9,75.93,0.0,20921.0,2786.0,425.0,69.0,0.0,0.0,0.0
24,2020-04-04,54.17,61.9,75.93,0.0,23934.0,3013.0,501.0,76.0,0.0,0.0,0.0
25,2020-04-05,54.17,61.9,75.93,0.0,27069.0,3135.0,574.0,73.0,0.0,0.0,0.0
26,2020-04-06,54.17,61.9,75.93,0.0,30217.0,3148.0,649.0,75.0,0.0,0.0,0.0
27,2020-04-07,58.85,61.9,75.93,37.5,34109.0,3892.0,725.0,76.0,0.0,0.0,0.0
28,2020-04-08,58.85,61.9,75.93,37.5,38226.0,4117.0,812.0,87.0,0.0,0.0,0.0
29,2020-04-09,58.85,61.9,75.93,37.5,42282.0,4056.0,908.0,96.0,0.0,0.0,0.0
30,2020-04-10,58.85,61.9,75.93,37.5,47029.0,4747.0,1006.0,98.0,0.0,0.0,0.0
31,2020-04-11,60.94,64.29,77.78,37.5,52167.0,5138.0,1101.0,95.0,0.0,0.0,0.0
32,2020-04-12,64.06,64.29,77.78,62.5,56956.0,4789.0,1198.0,97.0,0.0,0.0,0.0
33,2020-04-13,61.98,61.9,75.93,62.5,61049.0,4093.0,1296.0,98.0,0.0,0.0,0.0
34,2020-04-14,61.98,61.9,75.93,62.5,65111.0,4062.0,1403.0,107.0,0.0,0.0,0.0
35,2020-04-15,61.98,61.9,75.93,62.5,69392.0,4281.0,1518.0,115.0,0.0,0.0,0.0
36,2020-04-16,61.98,61.9,75.93,62.5,74193.0,4801.0,1643.0,125.0,0.0,0.0,0.0
37,2020-04-17,61.98,61.9,75.93,62.5,78546.0,4353.0,1769.0,126.0,0.0,0.0,0.0
38,2020-04-18,64.06,64.29,77.78,62.5,82329.0,3783.0,1890.0,121.0,0.0,0.0,0.0
39,2020-04-19,67.19,67.86,77.78,62.5,86306.0,3977.0,2017.0,127.0,0.0,0.0,0.0
40,2020-04-20,65.1,65.48,75.93,62.5,90980.0,4674.0,2140.0,123.0,0.0,0.0,0.0
41,2020-04-21,65.1,65.48,75.93,62.5,95591.0,4611.0,2259.0,119.0,0.0,0.0,0.0
42,2020-04-22,65.1,65.48,75.93,62.5,98674.0,3083.0,2376.0,117.0,0.0,0.0,0.0
43,2020-04-23,65.1,65.48,75.93,62.5,101790.0,3116.0,2491.0,115.0,0.0,0.0,0.0
44,2020-04-24,65.1,65.48,75.93,62.5,104912.0,3122.0,2600.0,109.0,0.0,0.0,0.0
45,2020-04-25,65.1,65.48,75.93,62.5,107773.0,2861.0,2706.0,106.0,0.0,0.0,0.0
46,2020-04-26,65.1,65.48,75.93,62.5,110130.0,2357.0,2805.0,99.0,0.0,0.0,0.0
47,2020-04-27,65.1,65.48,75.93,62.5,112261.0,2131.0,2900.0,95.0,0.0,0.0,0.0
48,2020-04-28,65.1,65.48,75.93,62.5,114653.0,2392.0,2992.0,92.0,0.0,0.0,0.0
49,2020-04-29,65.1,65.48,75.93,62.5,117589.0,2936.0,3081.0,89.0,0.0,0.0,0.0
50,2020-04-30,65.1,65.48,75.93,62.5,120204.0,2615.0,3174.0,93.0,0.0,0.0,0.0
51,2020-05-01,65.1,65.48,75.93,62.5,122392.0,2188.0,3258.0,84.0,0.0,0.0,0.0
52,2020-05-02,65.1,65.48,75.93,62.5,124375.0,1983.0,3336.0,78.0,0.0,0.0,0.0
53,2020-05-03,65.1,65.48,75.93,62.5,126045.0,1670.0,3397.0,61.0,0.0,0.0,0.0
54,2020-05-04,65.1,65.48,75.93,62.5,127659.0,1614.0,3461.0,64.0,0.0,0.0,0.0
55,2020-05-05,65.1,65.48,75.93,62.5,129491.0,1832.0,3520.0,59.0,0.0,0.0,0.0
56,2020-05-06,65.1,65.48,75.93,62.5,131744.0,2253.0,3584.0,64.0,0.0,0.0,0.0
57,2020-05-07,65.1,65.48,75.93,62.5,133721.0,1977.0,3641.0,57.0,0.0,0.0,0.0
58,2020-05-08,65.1,65.48,75.93,62.5,135569.0,1848.0,3689.0,48.0,0.0,0.0,0.0
59,2020-05-09,65.1,65.48,75.93,62.5,137115.0,1546.0,3739.0,50.0,0.0,0.0,0.0
60,2020-05-10,65.1,65.48,75.93,62.5,138657.0,1542.0,3786.0,47.0,0.0,0.0,0.0
61,2020-05-11,65.1,65.48,75.93,62.5,139771.0,1114.0,3841.0,55.0,0.0,0.0,0.0
62,2020-05-12,65.1,65.48,75.93,62.5,141475.0,1704.0,3894.0,53.0,0.0,0.0,0.0
63,2020-05-13,65.1,65.48,75.93,62.5,143114.0,1639.0,3952.0,58.0,0.0,0.0,0.0
64,2020-05-14,65.1,65.48,75.93,62.5,144749.0,1635.0,4007.0,55.0,0.0,0.0,0.0
65,2020-05-15,65.1,65.48,75.93,62.5,146457.0,1708.0,4055.0,48.0,0.0,0.0,0.0
66,2020-05-16,65.1,65.48,75.93,62.5,148067.0,1610.0,4096.0,41.0,0.0,0.0,0.0
67,2020-05-17,65.1,65.48,75.93,62.5,149435.0,1368.0,4140.0,44.0,0.0,0.0,0.0
68,2020-05-18,65.1,65.48,75.93,62.5,150593.0,1158.0,4171.0,31.0,0.0,0.0,0.0
69,2020-05-19,65.1,65.48,75.93,62.5,151615.0,1022.0,4199.0,28.0,0.0,0.0,0.0
70,2020-05-20,65.1,65.48,75.93,62.5,152587.0,972.0,4222.0,23.0,0.0,0.0,0.0
71,2020-05-21,65.1,65.48,75.93,62.5,153548.0,961.0,4249.0,27.0,0.0,0.0,0.0
72,2020-05-22,65.1,65.48,75.93,62.5,154500.0,952.0,4276.0,27.0,0.0,0.0,0.0
73,2020-05-23,65.1,65.48,75.93,62.5,155686.0,1186.0,4308.0,32.0,0.0,0.0,0.0
74,2020-05-24,65.1,65.48,75.93,62.5,156827.0,1141.0,4340.0,32.0,0.0,0.0,0.0
75,2020-05-25,65.1,65.48,75.93,62.5,157814.0,987.0,4369.0,29.0,0.0,0.0,0.0
76,2020-05-26,65.1,65.48,75.93,62.5,158762.0,948.0,4397.0,28.0,0.0,0.0,0.0
77,2020-05-27,65.1,65.48,75.93,62.5,159797.0,1035.0,4431.0,34.0,0.0,0.0,0.0
78,2020-05-28,65.1,65.48,75.93,62.5,160979.0,1182.0,4461.0,30.0,0.0,0.0,0.0
79,2020-05-29,65.1,65.48,75.93,62.5,162120.0,1141.0,4489.0,28.0,0.0,0.0,0.0
80,2020-05-30,65.1,65.48,75.93,62.5,163103.0,983.0,4515.0,26.0,0.0,0.0,0.0
81,2020-05-31,65.1,65.48,75.93,62.5,163942.0,839.0,4540.0,25.0,0.0,0.0,0.0
82,2020-06-01,61.46,57.74,63.89,87.5,164769.0,827.0,4563.0,23.0,0.0,0.0,0.0
83,2020-06-02,61.46,57.74,63.89,87.5,165555.0,786.0,4585.0,22.0,0.0,0.0,0.0
84,2020-06-03,61.46,57.74,63.89,87.5,166422.0,867.0,4609.0,24.0,0.0,0.0,0.0
85,2020-06-04,61.46,57.74,63.89,87.5,167410.0,988.0,4630.0,21.0,0.0,0.0,0.0
86,2020-06-05,61.46,57.74,63.89,87.5,168340.0,930.0,4648.0,18.0,0.0,0.0,0.0
87,2020-06-06,61.46,57.74,63.89,87.5,169218.0,878.0,4669.0,21.0,0.0,0.0,0.0
88,2020-06-07,66.93,63.99,63.89,87.5,170132.0,914.0,4692.0,23.0,0.0,0.0,0.0
89,2020-06-08,66.93,63.99,63.89,87.5,171121.0,989.0,4711.0,19.0,0.0,0.0,0.0
90,2020-06-09,66.93,63.99,63.89,87.5,172114.0,993.0,4729.0,18.0,0.0,0.0,0.0
91,2020-06-10,66.93,63.99,63.89,87.5,173036.0,922.0,4746.0,17.0,0.0,0.0,0.0
92,2020-06-11,66.93,63.99,63.89,87.5,174023.0,987.0,4763.0,17.0,0.0,0.0,0.0
93,2020-06-12,66.93,63.99,63.89,87.5,175218.0,1195.0,4778.0,15.0,0.0,0.0,0.0
94,2020-06-13,66.93,63.99,63.89,87.5,176677.0,1459.0,4792.0,14.0,0.0,0.0,0.0
95,2020-06-14,66.93,63.99,63.89,87.5,178239.0,1562.0,4807.0,15.0,0.0,0.0,0.0
96,2020-06-15,66.93,63.99,63.89,87.5,179831.0,1592.0,4825.0,18.0,0.0,0.0,0.0
97,2020-06-16,66.93,63.99,63.89,87.5,181298.0,1467.0,4842.0,17.0,0.0,0.0,0.0
98,2020-06-17,66.93,63.99,63.89,87.5,182727.0,1429.0,4861.0,19.0,0.0,0.0,0.0
