,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-21,27.08,30.95,44.44,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-22,34.9,32.74,47.22,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-23,34.9,32.74,47.22,50.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-24,34.9,32.74,47.22,50.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-25,50.52,50.6,69.44,50.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-26,50.52,50.6,69.44,50.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-27,50.52,50.6,69.44,50.0,23.0,9.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-28,50.52,50.6,69.44,50.0,30.0,7.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-29,50.52,50.6,69.44,50.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-30,68.23,70.83,93.52,50.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-31,68.23,70.83,93.52,50.0,44.0,11.0,0.0,0.0,0.0,0.0,0.0
11,2020-04-01,68.23,70.83,93.52,50.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-04-02,68.23,70.83,93.52,50.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0
13,2020-04-03,68.23,70.83,93.52,50.0,48.0,3.0,0.0,0.0,0.0,0.0,0.0
14,2020-04-04,68.23,70.83,93.52,50.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-04-05,68.23,70.83,93.52,50.0,52.0,4.0,0.0,0.0,0.0,0.0,0.0
16,2020-04-06,68.23,70.83,93.52,50.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-04-07,68.23,70.83,93.52,50.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-04-08,68.23,70.83,93.52,50.0,53.0,1.0,0.0,0.0,0.0,0.0,0.0
19,2020-04-09,68.23,70.83,93.52,50.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-04-10,68.23,70.83,93.52,50.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-04-11,68.23,70.83,93.52,50.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-04-12,68.23,70.83,93.52,50.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0
23,2020-04-13,68.23,70.83,93.52,50.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-04-14,68.23,70.83,93.52,50.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0
25,2020-04-15,68.23,70.83,93.52,50.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-04-16,68.23,70.83,93.52,50.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2020-04-17,68.23,70.83,93.52,50.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0
28,2020-04-18,68.23,70.83,93.52,50.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2020-04-19,68.23,70.83,93.52,50.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2020-04-20,68.23,70.83,93.52,50.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0
31,2020-04-21,68.23,70.83,93.52,50.0,61.0,5.0,0.0,0.0,0.0,0.0,0.0
32,2020-04-22,68.23,70.83,93.52,50.0,63.0,2.0,0.0,0.0,0.0,0.0,0.0
33,2020-04-23,68.23,70.83,93.52,50.0,74.0,11.0,0.0,0.0,0.0,0.0,0.0
34,2020-04-24,68.23,70.83,93.52,50.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
35,2020-04-25,68.23,70.83,93.52,50.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2020-04-26,68.23,70.83,93.52,50.0,79.0,4.0,0.0,0.0,0.0,0.0,0.0
37,2020-04-27,68.23,70.83,93.52,50.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2020-04-28,68.23,70.83,93.52,50.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2020-04-29,68.23,70.83,93.52,50.0,81.0,2.0,0.0,0.0,0.0,0.0,0.0
40,2020-04-30,68.23,70.83,93.52,50.0,83.0,2.0,0.0,0.0,0.0,0.0,0.0
41,2020-05-01,68.23,70.83,93.52,50.0,85.0,2.0,0.0,0.0,0.0,0.0,0.0
42,2020-05-02,68.23,70.83,93.52,50.0,88.0,3.0,0.0,0.0,0.0,0.0,0.0
43,2020-05-03,68.23,70.83,93.52,50.0,89.0,1.0,0.0,0.0,0.0,0.0,0.0
44,2020-05-04,68.23,70.83,93.52,50.0,97.0,8.0,0.0,0.0,0.0,0.0,0.0
45,2020-05-05,68.23,70.83,93.52,50.0,98.0,1.0,0.0,0.0,0.0,0.0,0.0
46,2020-05-06,72.4,75.6,89.81,50.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0
47,2020-05-07,72.4,75.6,89.81,50.0,101.0,1.0,0.0,0.0,0.0,0.0,0.0
48,2020-05-08,72.4,75.6,89.81,50.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2020-05-09,72.4,75.6,89.81,50.0,116.0,15.0,0.0,0.0,0.0,0.0,0.0
50,2020-05-10,72.4,75.6,89.81,50.0,121.0,5.0,0.0,0.0,0.0,0.0,0.0
51,2020-05-11,72.4,75.6,89.81,50.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2020-05-12,72.4,75.6,89.81,50.0,129.0,8.0,0.0,0.0,0.0,0.0,0.0
53,2020-05-13,72.4,75.6,89.81,50.0,139.0,10.0,0.0,0.0,0.0,0.0,0.0
54,2020-05-14,72.4,75.6,89.81,50.0,160.0,21.0,0.0,0.0,0.0,0.0,0.0
55,2020-05-15,72.4,75.6,89.81,50.0,203.0,43.0,0.0,0.0,0.0,0.0,0.0
56,2020-05-16,72.4,75.6,89.81,50.0,227.0,24.0,0.0,0.0,0.0,0.0,0.0
57,2020-05-17,72.4,75.6,89.81,50.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2020-05-18,72.4,75.6,89.81,50.0,248.0,21.0,0.0,0.0,0.0,0.0,0.0
59,2020-05-19,72.4,75.6,89.81,50.0,260.0,12.0,0.0,0.0,0.0,0.0,0.0
60,2020-05-20,72.4,75.6,89.81,50.0,264.0,4.0,0.0,0.0,0.0,0.0,0.0
61,2020-05-21,72.4,75.6,89.81,50.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2020-05-22,72.4,75.6,89.81,50.0,175.0,15.0,0.0,0.0,0.0,0.0,0.0
63,2020-05-23,72.4,75.6,89.81,50.0,198.0,23.0,0.0,0.0,0.0,0.0,0.0
64,2020-05-24,72.4,75.6,89.81,50.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2020-05-25,72.4,75.6,89.81,50.0,222.0,24.0,0.0,0.0,0.0,0.0,0.0
66,2020-05-26,69.27,72.02,84.26,50.0,253.0,31.0,0.0,0.0,0.0,0.0,0.0
67,2020-05-27,69.27,72.02,84.26,50.0,281.0,28.0,0.0,0.0,0.0,0.0,0.0
68,2020-05-28,69.27,72.02,84.26,50.0,317.0,36.0,0.0,0.0,0.0,0.0,0.0
69,2020-05-29,69.27,72.02,84.26,50.0,329.0,12.0,0.0,0.0,0.0,0.0,0.0
70,2020-05-30,69.27,72.02,84.26,50.0,413.0,84.0,0.0,0.0,0.0,0.0,0.0
71,2020-05-31,69.27,72.02,84.26,50.0,417.0,4.0,0.0,0.0,0.0,0.0,0.0
72,2020-06-01,69.27,72.02,84.26,50.0,457.0,40.0,0.0,0.0,0.0,0.0,0.0
73,2020-06-02,69.27,72.02,84.26,50.0,489.0,32.0,0.0,0.0,0.0,0.0,0.0
74,2020-06-03,69.27,72.02,84.26,50.0,507.0,18.0,0.0,0.0,0.0,0.0,0.0
