,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-03,8.33,9.52,11.11,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-04,8.33,9.52,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-05,8.33,9.52,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-06,8.33,9.52,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-07,8.33,9.52,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-08,8.33,9.52,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-09,8.33,9.52,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-10,8.33,9.52,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-11,8.33,9.52,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-12,31.77,34.52,50.0,12.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-13,36.98,40.48,50.0,12.5,3.0,2.0,1.0,1.0,0.0,0.0,0.0
11,2020-03-14,36.98,40.48,50.0,12.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0
12,2020-03-15,36.98,40.48,50.0,12.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0
13,2020-03-16,45.31,50.0,64.81,12.5,7.0,4.0,1.0,0.0,0.0,0.0,0.0
14,2020-03-17,52.6,58.33,77.78,12.5,14.0,7.0,2.0,1.0,0.0,0.0,0.0
15,2020-03-18,58.85,65.48,88.89,12.5,14.0,0.0,2.0,0.0,0.0,0.0,0.0
16,2020-03-19,58.85,65.48,88.89,12.5,16.0,2.0,2.0,0.0,0.0,0.0,0.0
17,2020-03-20,58.85,65.48,88.89,12.5,29.0,13.0,3.0,1.0,0.0,0.0,0.0
18,2020-03-21,58.85,65.48,88.89,12.5,47.0,18.0,3.0,0.0,0.0,0.0,0.0
19,2020-03-22,58.85,65.48,88.89,12.5,73.0,26.0,3.0,0.0,0.0,0.0,0.0
20,2020-03-23,58.85,65.48,88.89,12.5,73.0,0.0,3.0,0.0,0.0,0.0,0.0
21,2020-03-24,58.85,65.48,88.89,12.5,97.0,24.0,3.0,0.0,0.0,0.0,0.0
22,2020-03-25,61.98,65.48,88.89,37.5,145.0,48.0,5.0,2.0,0.0,0.0,0.0
23,2020-03-26,61.98,65.48,88.89,37.5,196.0,51.0,5.0,0.0,0.0,0.0,0.0
24,2020-03-27,61.98,65.48,88.89,37.5,310.0,114.0,5.0,0.0,0.0,0.0,0.0
25,2020-03-28,61.98,65.48,88.89,37.5,356.0,46.0,9.0,4.0,0.0,0.0,0.0
26,2020-03-29,61.98,65.48,88.89,37.5,475.0,119.0,10.0,1.0,0.0,0.0,0.0
27,2020-03-30,61.98,65.48,88.89,37.5,548.0,73.0,13.0,3.0,0.0,0.0,0.0
28,2020-03-31,61.98,65.48,88.89,37.5,645.0,97.0,17.0,4.0,0.0,0.0,0.0
29,2020-04-01,61.98,65.48,88.89,37.5,794.0,149.0,20.0,3.0,0.0,0.0,0.0
30,2020-04-02,61.98,65.48,88.89,37.5,897.0,103.0,22.0,2.0,0.0,0.0,0.0
31,2020-04-03,61.98,65.48,88.89,37.5,1072.0,175.0,27.0,5.0,0.0,0.0,0.0
32,2020-04-04,66.67,70.83,88.89,37.5,1225.0,153.0,32.0,5.0,0.0,0.0,0.0
33,2020-04-05,66.67,70.83,88.89,37.5,1308.0,83.0,37.0,5.0,0.0,0.0,0.0
34,2020-04-06,66.67,70.83,88.89,37.5,1319.0,11.0,38.0,1.0,0.0,0.0,0.0
35,2020-04-07,68.75,73.21,88.89,37.5,1462.0,143.0,45.0,7.0,0.0,0.0,0.0
36,2020-04-08,68.75,73.21,88.89,37.5,1668.0,206.0,52.0,7.0,0.0,0.0,0.0
37,2020-04-09,68.75,73.21,88.89,37.5,1892.0,224.0,57.0,5.0,0.0,0.0,0.0
38,2020-04-10,68.75,73.21,88.89,37.5,2203.0,311.0,69.0,12.0,0.0,0.0,0.0
39,2020-04-11,68.75,73.21,88.89,37.5,2511.0,308.0,73.0,4.0,0.0,0.0,0.0
40,2020-04-12,68.75,73.21,88.89,37.5,2777.0,266.0,83.0,10.0,0.0,0.0,0.0
41,2020-04-13,68.75,73.21,88.89,37.5,3102.0,325.0,93.0,10.0,0.0,0.0,0.0
42,2020-04-14,68.75,73.21,88.89,37.5,3372.0,270.0,98.0,5.0,0.0,0.0,0.0
43,2020-04-15,68.75,73.21,88.89,37.5,3764.0,392.0,108.0,10.0,0.0,0.0,0.0
