,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-01-29,1.56,1.79,2.78,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-30,1.56,1.79,2.78,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-01-31,1.56,1.79,2.78,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-02-01,7.81,8.93,2.78,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-02-02,7.81,8.93,2.78,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
5,2020-02-03,7.81,8.93,2.78,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-02-04,7.81,8.93,2.78,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-02-05,7.81,8.93,2.78,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-02-06,7.81,8.93,2.78,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-02-07,7.81,8.93,2.78,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-02-08,7.81,8.93,2.78,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
11,2020-02-09,7.81,8.93,2.78,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-02-10,7.81,8.93,2.78,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
13,2020-02-11,7.81,8.93,2.78,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-02-12,7.81,8.93,2.78,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-02-13,7.81,8.93,2.78,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-02-14,7.81,8.93,2.78,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-02-15,7.81,8.93,2.78,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-02-16,7.81,8.93,2.78,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
19,2020-02-17,7.81,8.93,2.78,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-02-18,7.81,8.93,2.78,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-02-19,7.81,8.93,2.78,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-02-20,7.81,8.93,2.78,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-02-21,7.81,8.93,2.78,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-02-22,7.81,8.93,2.78,0.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0
25,2020-02-23,7.81,8.93,2.78,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-02-24,10.94,12.5,8.33,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2020-02-25,10.94,12.5,8.33,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2020-02-26,10.94,12.5,8.33,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2020-02-27,10.94,12.5,8.33,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2020-02-28,10.94,12.5,8.33,0.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0
31,2020-02-29,10.94,12.5,8.33,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0
32,2020-03-01,15.1,17.26,15.74,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2020-03-02,15.1,17.26,15.74,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2020-03-03,15.1,17.26,15.74,0.0,27.0,6.0,0.0,0.0,0.0,0.0,0.0
35,2020-03-04,15.1,17.26,15.74,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2020-03-05,15.1,17.26,15.74,0.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0
37,2020-03-06,15.1,17.26,15.74,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2020-03-07,15.1,17.26,15.74,0.0,45.0,16.0,0.0,0.0,0.0,0.0,0.0
39,2020-03-08,18.23,20.83,21.3,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2020-03-09,18.23,20.83,21.3,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2020-03-10,20.31,23.21,21.3,0.0,74.0,29.0,0.0,0.0,0.0,0.0,0.0
42,2020-03-11,26.56,30.36,32.41,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2020-03-12,26.56,30.36,32.41,0.0,85.0,11.0,0.0,0.0,0.0,0.0,0.0
44,2020-03-13,27.6,31.55,34.26,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2020-03-14,27.6,31.55,34.26,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2020-03-15,29.69,33.93,34.26,0.0,98.0,13.0,0.0,0.0,0.0,0.0,0.0
47,2020-03-16,35.94,41.07,45.37,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2020-03-17,35.94,41.07,45.37,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2020-03-18,35.94,41.07,45.37,0.0,113.0,15.0,0.0,0.0,0.0,0.0,0.0
50,2020-03-19,35.94,41.07,45.37,0.0,140.0,27.0,0.0,0.0,0.0,0.0,0.0
51,2020-03-20,35.94,41.07,45.37,0.0,140.0,0.0,2.0,2.0,0.0,0.0,0.0
52,2020-03-21,35.94,41.07,45.37,0.0,153.0,13.0,2.0,0.0,0.0,0.0,0.0
53,2020-03-22,35.94,41.07,45.37,0.0,153.0,0.0,2.0,0.0,0.0,0.0,0.0
54,2020-03-23,47.4,54.17,62.04,0.0,198.0,45.0,2.0,0.0,0.0,0.0,0.0
55,2020-03-24,47.4,54.17,62.04,0.0,248.0,50.0,2.0,0.0,0.0,0.0,0.0
56,2020-03-25,52.08,59.52,70.37,0.0,333.0,85.0,2.0,0.0,0.0,0.0,0.0
57,2020-03-26,53.65,61.31,73.15,0.0,333.0,0.0,2.0,0.0,0.0,0.0,0.0
58,2020-03-27,59.9,68.45,84.26,0.0,405.0,72.0,2.0,0.0,0.0,0.0,0.0
