,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-15,17.71,20.24,16.67,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-16,40.62,46.43,57.41,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-17,40.62,46.43,57.41,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-18,40.62,46.43,57.41,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-19,40.62,46.43,57.41,0.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-20,40.62,46.43,57.41,0.0,33.0,10.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-21,42.71,48.81,61.11,0.0,43.0,10.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-22,49.48,56.55,69.44,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-23,51.04,58.33,72.22,0.0,46.0,3.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-24,58.85,63.69,80.56,25.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-25,62.76,68.15,80.56,25.0,60.0,10.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-26,62.76,68.15,80.56,25.0,75.0,15.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-27,68.49,74.7,90.74,25.0,88.0,13.0,1.0,1.0,0.0,0.0,0.0
13,2020-03-28,68.49,74.7,90.74,25.0,104.0,16.0,2.0,1.0,0.0,0.0,0.0
14,2020-03-29,68.49,74.7,90.74,25.0,144.0,40.0,2.0,0.0,0.0,0.0,0.0
15,2020-03-30,68.49,74.7,90.74,25.0,149.0,5.0,2.0,0.0,0.0,0.0,0.0
16,2020-03-31,68.49,74.7,90.74,25.0,172.0,23.0,2.0,0.0,0.0,0.0,0.0
17,2020-04-01,74.74,78.27,90.74,50.0,181.0,9.0,2.0,0.0,0.0,0.0,0.0
18,2020-04-02,74.74,78.27,90.74,50.0,205.0,24.0,2.0,0.0,0.0,0.0,0.0
19,2020-04-03,74.74,78.27,90.74,50.0,227.0,22.0,2.0,0.0,0.0,0.0,0.0
20,2020-04-04,74.74,78.27,90.74,50.0,266.0,39.0,2.0,0.0,0.0,0.0,0.0
21,2020-04-05,74.74,78.27,90.74,50.0,342.0,76.0,2.0,0.0,0.0,0.0,0.0
22,2020-04-06,74.74,78.27,90.74,50.0,457.0,115.0,2.0,0.0,0.0,0.0,0.0
23,2020-04-07,74.74,78.27,90.74,50.0,520.0,63.0,2.0,0.0,0.0,0.0,0.0
24,2020-04-08,74.74,78.27,90.74,50.0,545.0,25.0,3.0,1.0,0.0,0.0,0.0
25,2020-04-09,74.74,78.27,90.74,50.0,582.0,37.0,3.0,0.0,0.0,0.0,0.0
26,2020-04-10,74.74,78.27,90.74,50.0,624.0,42.0,3.0,0.0,0.0,0.0,0.0
27,2020-04-11,74.74,78.27,90.74,50.0,767.0,143.0,4.0,1.0,0.0,0.0,0.0
28,2020-04-12,74.74,78.27,90.74,50.0,865.0,98.0,4.0,0.0,0.0,0.0,0.0
29,2020-04-13,74.74,78.27,90.74,50.0,998.0,133.0,4.0,0.0,0.0,0.0,0.0
30,2020-04-14,74.74,78.27,90.74,50.0,1165.0,167.0,4.0,0.0,0.0,0.0,0.0
31,2020-04-15,74.74,78.27,90.74,50.0,1302.0,137.0,4.0,0.0,0.0,0.0,0.0
32,2020-04-16,74.74,78.27,90.74,50.0,1349.0,47.0,4.0,0.0,0.0,0.0,0.0
33,2020-04-17,74.74,78.27,90.74,50.0,1405.0,56.0,4.0,0.0,0.0,0.0,0.0
34,2020-04-18,74.74,78.27,90.74,50.0,1490.0,85.0,5.0,1.0,0.0,0.0,0.0
35,2020-04-19,74.74,78.27,90.74,50.0,1565.0,75.0,5.0,0.0,0.0,0.0,0.0
36,2020-04-20,74.74,78.27,90.74,50.0,1627.0,62.0,5.0,0.0,0.0,0.0,0.0
37,2020-04-21,74.74,78.27,90.74,50.0,1678.0,51.0,6.0,1.0,0.0,0.0,0.0
38,2020-04-22,74.74,78.27,90.74,50.0,1716.0,38.0,7.0,1.0,0.0,0.0,0.0
39,2020-04-23,74.74,78.27,90.74,50.0,1758.0,42.0,7.0,0.0,0.0,0.0,0.0
40,2020-04-24,74.74,78.27,90.74,50.0,1804.0,46.0,8.0,1.0,0.0,0.0,0.0
41,2020-04-25,74.74,78.27,90.74,50.0,1862.0,58.0,8.0,0.0,0.0,0.0,0.0
42,2020-04-26,74.74,78.27,90.74,50.0,1869.0,7.0,8.0,0.0,0.0,0.0,0.0
43,2020-04-27,74.74,78.27,90.74,50.0,1904.0,35.0,8.0,0.0,0.0,0.0,0.0
44,2020-04-28,76.3,80.06,93.52,50.0,1939.0,35.0,8.0,0.0,0.0,0.0,0.0
45,2020-04-29,76.3,80.06,93.52,50.0,2002.0,63.0,9.0,1.0,0.0,0.0,0.0
46,2020-04-30,76.3,80.06,93.52,50.0,2039.0,37.0,9.0,0.0,0.0,0.0,0.0
47,2020-05-01,76.3,80.06,93.52,50.0,2086.0,47.0,9.0,0.0,0.0,0.0,0.0
48,2020-05-02,76.3,80.06,93.52,50.0,2118.0,32.0,9.0,0.0,0.0,0.0,0.0
49,2020-05-03,76.3,80.06,93.52,50.0,2149.0,31.0,10.0,1.0,0.0,0.0,0.0
50,2020-05-04,76.3,80.06,93.52,50.0,2189.0,40.0,10.0,0.0,0.0,0.0,0.0
51,2020-05-05,76.3,80.06,93.52,50.0,2207.0,18.0,10.0,0.0,0.0,0.0,0.0
52,2020-05-06,76.3,80.06,93.52,50.0,2233.0,26.0,10.0,0.0,0.0,0.0,0.0
53,2020-05-07,76.3,80.06,93.52,50.0,2298.0,65.0,10.0,0.0,0.0,0.0,0.0
54,2020-05-08,72.14,75.3,86.11,50.0,2325.0,27.0,10.0,0.0,0.0,0.0,0.0
55,2020-05-09,72.14,75.3,86.11,50.0,2349.0,24.0,10.0,0.0,0.0,0.0,0.0
56,2020-05-10,72.14,75.3,86.11,50.0,2418.0,69.0,10.0,0.0,0.0,0.0,0.0
57,2020-05-11,72.14,75.3,86.11,50.0,2486.0,68.0,10.0,0.0,0.0,0.0,0.0
58,2020-05-12,72.14,75.3,86.11,50.0,2519.0,33.0,10.0,0.0,0.0,0.0,0.0
59,2020-05-13,72.14,75.3,86.11,50.0,2612.0,93.0,11.0,1.0,0.0,0.0,0.0
60,2020-05-14,72.14,75.3,86.11,50.0,2645.0,33.0,11.0,0.0,0.0,0.0,0.0
61,2020-05-15,72.14,75.3,86.11,50.0,2686.0,41.0,11.0,0.0,0.0,0.0,0.0
62,2020-05-16,72.14,75.3,86.11,50.0,2738.0,52.0,11.0,0.0,0.0,0.0,0.0
63,2020-05-17,72.14,75.3,86.11,50.0,2753.0,15.0,12.0,1.0,0.0,0.0,0.0
64,2020-05-18,70.57,73.51,83.33,50.0,2791.0,38.0,13.0,1.0,0.0,0.0,0.0
