,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-11-10,22.92,22.62,22.22,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-11-11,26.04,26.19,22.22,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-11-12,30.73,31.55,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-11-13,30.73,31.55,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-11-14,30.73,31.55,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-11-15,30.73,31.55,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-11-16,30.73,31.55,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-11-17,30.73,31.55,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-11-18,30.73,31.55,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-11-19,30.73,31.55,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-11-20,30.73,31.55,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-11-21,30.73,31.55,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-11-22,30.73,31.55,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-11-23,30.73,31.55,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-11-24,30.73,31.55,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-11-25,30.73,31.55,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-11-26,30.73,31.55,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-11-27,30.73,31.55,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-11-28,30.73,31.55,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-11-29,30.73,31.55,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-11-30,30.73,31.55,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-12-01,28.65,29.17,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-12-02,28.65,29.17,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-12-03,28.65,29.17,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-12-04,28.65,29.17,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2020-12-05,28.65,29.17,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-12-06,28.65,29.17,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2020-12-07,28.65,29.17,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2020-12-08,28.65,29.17,30.56,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
