,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-04-10,34.38,39.29,61.11,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-04-11,34.38,39.29,61.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-04-12,34.38,39.29,61.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-04-13,34.38,39.29,61.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-04-14,34.38,39.29,61.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-04-15,34.38,39.29,61.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-04-16,34.38,39.29,61.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-04-17,34.38,39.29,61.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-04-18,34.38,39.29,61.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-04-19,34.38,39.29,61.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-04-20,34.38,39.29,61.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-04-21,34.38,39.29,61.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-04-22,34.38,39.29,61.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-04-23,34.38,39.29,61.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-04-24,34.38,39.29,61.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-04-25,34.38,39.29,61.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-04-26,34.38,39.29,61.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-04-27,34.38,39.29,61.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-04-28,34.38,39.29,61.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-04-29,34.38,39.29,61.11,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0
20,2020-04-30,39.58,45.24,64.81,0.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0
21,2020-05-01,39.58,45.24,64.81,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0
22,2020-05-02,39.58,45.24,64.81,0.0,10.0,3.0,2.0,0.0,0.0,0.0,0.0
23,2020-05-03,39.58,45.24,64.81,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0
24,2020-05-04,39.58,45.24,64.81,0.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0
