,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-20,15.62,17.86,27.78,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-21,15.62,17.86,27.78,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-22,15.62,17.86,27.78,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-23,25.52,29.17,45.37,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0
4,2020-03-24,34.9,39.88,56.48,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
5,2020-03-25,34.9,39.88,56.48,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
6,2020-03-26,34.9,39.88,56.48,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
7,2020-03-27,38.02,43.45,62.04,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0
8,2020-03-28,38.02,43.45,62.04,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0
9,2020-03-29,38.02,43.45,62.04,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
10,2020-03-30,56.77,64.88,87.96,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
11,2020-03-31,56.77,64.88,87.96,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0
12,2020-04-01,56.77,64.88,87.96,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
13,2020-04-02,56.77,64.88,87.96,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0
14,2020-04-03,56.77,64.88,87.96,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0
15,2020-04-04,56.77,64.88,87.96,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0
16,2020-04-05,56.77,64.88,87.96,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0
17,2020-04-06,56.77,64.88,87.96,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0
18,2020-04-07,56.77,64.88,87.96,0.0,11.0,1.0,2.0,1.0,0.0,0.0,0.0
19,2020-04-08,59.9,64.88,87.96,25.0,11.0,0.0,3.0,1.0,0.0,0.0,0.0
20,2020-04-09,61.98,67.26,87.96,25.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0
21,2020-04-10,61.98,67.26,87.96,25.0,13.0,2.0,3.0,0.0,0.0,0.0,0.0
22,2020-04-11,61.98,67.26,87.96,25.0,14.0,1.0,3.0,0.0,0.0,0.0,0.0
23,2020-04-12,61.98,67.26,87.96,25.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0
24,2020-04-13,61.98,67.26,87.96,25.0,17.0,3.0,3.0,0.0,0.0,0.0,0.0
25,2020-04-14,61.98,67.26,87.96,25.0,17.0,0.0,3.0,0.0,0.0,0.0,0.0
26,2020-04-15,61.98,67.26,87.96,25.0,23.0,6.0,3.0,0.0,0.0,0.0,0.0
27,2020-04-16,61.98,67.26,87.96,25.0,23.0,0.0,3.0,0.0,0.0,0.0,0.0
28,2020-04-17,61.98,67.26,87.96,25.0,24.0,1.0,3.0,0.0,0.0,0.0,0.0
29,2020-04-18,61.98,67.26,87.96,25.0,25.0,1.0,3.0,0.0,0.0,0.0,0.0
30,2020-04-19,61.98,67.26,87.96,25.0,25.0,0.0,3.0,0.0,0.0,0.0,0.0
31,2020-04-20,61.98,67.26,87.96,25.0,25.0,0.0,3.0,0.0,0.0,0.0,0.0
32,2020-04-21,61.98,67.26,87.96,25.0,28.0,3.0,3.0,0.0,0.0,0.0,0.0
33,2020-04-22,61.98,67.26,87.96,25.0,28.0,0.0,4.0,1.0,0.0,0.0,0.0
34,2020-04-23,61.98,67.26,87.96,25.0,28.0,0.0,4.0,0.0,0.0,0.0,0.0
35,2020-04-24,61.98,67.26,87.96,25.0,29.0,1.0,4.0,0.0,0.0,0.0,0.0
36,2020-04-25,61.98,67.26,87.96,25.0,31.0,2.0,4.0,0.0,0.0,0.0,0.0
37,2020-04-26,61.98,67.26,87.96,25.0,31.0,0.0,4.0,0.0,0.0,0.0,0.0
38,2020-04-27,61.98,67.26,87.96,25.0,32.0,1.0,4.0,0.0,0.0,0.0,0.0
39,2020-04-28,61.98,67.26,87.96,25.0,32.0,0.0,4.0,0.0,0.0,0.0,0.0
40,2020-04-29,61.98,67.26,87.96,25.0,32.0,0.0,4.0,0.0,0.0,0.0,0.0
41,2020-04-30,61.98,67.26,87.96,25.0,40.0,8.0,4.0,0.0,0.0,0.0,0.0
42,2020-05-01,61.98,67.26,87.96,25.0,40.0,0.0,4.0,0.0,0.0,0.0,0.0
43,2020-05-02,61.98,67.26,87.96,25.0,34.0,0.0,4.0,0.0,0.0,0.0,0.0
44,2020-05-03,61.98,67.26,87.96,25.0,34.0,0.0,4.0,0.0,0.0,0.0,0.0
45,2020-05-04,68.23,74.4,87.96,25.0,34.0,0.0,4.0,0.0,0.0,0.0,0.0
46,2020-05-05,68.23,74.4,87.96,25.0,34.0,0.0,4.0,0.0,0.0,0.0,0.0
47,2020-05-06,68.23,74.4,87.96,25.0,34.0,0.0,4.0,0.0,0.0,0.0,0.0
48,2020-05-07,68.23,74.4,87.96,25.0,34.0,0.0,4.0,0.0,0.0,0.0,0.0
49,2020-05-08,68.23,74.4,87.96,25.0,34.0,0.0,4.0,0.0,0.0,0.0,0.0
50,2020-05-09,68.23,74.4,87.96,25.0,35.0,1.0,4.0,0.0,0.0,0.0,0.0
51,2020-05-10,68.23,74.4,87.96,25.0,36.0,1.0,4.0,0.0,0.0,0.0,0.0
52,2020-05-11,68.23,74.4,87.96,25.0,36.0,0.0,4.0,0.0,0.0,0.0,0.0
53,2020-05-12,68.23,74.4,87.96,25.0,36.0,0.0,4.0,0.0,0.0,0.0,0.0
54,2020-05-13,68.23,74.4,87.96,25.0,37.0,1.0,4.0,0.0,0.0,0.0,0.0
55,2020-05-14,68.23,74.4,87.96,25.0,37.0,0.0,4.0,0.0,0.0,0.0,0.0
56,2020-05-15,68.23,74.4,87.96,25.0,42.0,5.0,4.0,0.0,0.0,0.0,0.0
57,2020-05-16,68.23,74.4,87.96,25.0,42.0,0.0,4.0,0.0,0.0,0.0,0.0
